GPU,HASH,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,1Password  agilekeychain,combinator,3204850.0,3215015.0,3212147.11,3214215.0,93.0,94.0,93.22,93.0,64.0,65.0,64.44,64.0,2102.05,6892.7,6169.67,6832.65,18.66,61.19,54.77,60.66,1.0,98.0,78.61,97.0,
NVIDIA GeForce GTX 1080 Ti,1Password  cloudkeychain,combinator,10697.0,10706.0,10703.88,10705.0,96.0,96.0,96.0,96.0,63.0,63.0,63.0,63.0,2006.09,8418.8,7396.91,8401.8,17.81,74.74,65.67,74.59,1.0,98.0,74.26,98.0,
NVIDIA GeForce GTX 1080 Ti,3DES(PT=$salt key=$pass),combinator,1005839999.0,1009054030.0,1006820789.25,1006325601.0,92.0,93.0,92.25,92.0,82.0,84.0,83.12,83.0,2219.58,5329.55,4859.39,5246.88,19.71,47.31,43.14,46.58,0.0,93.0,75.0,91.0,
NVIDIA GeForce GTX 1080 Ti,7-Zip,combinator,1862.0,1949.0,1901.0,1894.0,98.0,98.0,98.0,98.0,62.0,64.0,62.5,62.0,2193.25,7258.55,6695.77,7258.55,19.47,64.44,59.44,64.44,0.0,98.0,79.06,97.0,
NVIDIA GeForce GTX 1080 Ti,AES-128-ECBNOKDF(PT=$salt key=$pass),combinator,2118355934.0,2188558118.0,2140504977.0,2132789670.5,96.0,96.0,96.0,96.0,62.0,62.0,62.0,62.0,1624.66,4665.25,4148.19,4650.94,14.42,41.42,36.83,41.29,0.0,97.0,72.67,94.0,
NVIDIA GeForce GTX 1080 Ti,AES-192-ECBNOKDF(PT=$salt key=$pass),combinator,1792618165.0,1886840190.0,1830597680.67,1825964903.0,93.0,94.0,93.44,93.0,62.0,62.0,62.0,62.0,1637.77,4723.75,4354.09,4692.56,14.54,41.94,38.65,41.66,0.0,97.0,79.22,96.0,
NVIDIA GeForce GTX 1080 Ti,AES-256-ECBNOKDF(PT=$salt key=$pass),combinator,1478095336.0,1545553400.0,1498686134.67,1490906526.0,94.0,94.0,94.0,94.0,62.0,63.0,62.56,63.0,1665.02,4691.69,4233.29,4691.69,14.78,41.65,37.58,41.65,6.0,98.0,79.56,94.0,
NVIDIA GeForce GTX 1080 Ti,AESCrypt(SHA256),combinator,61315.0,61494.0,61416.38,61417.0,61.0,66.0,63.0,63.0,60.0,61.0,60.62,61.0,1573.2,7661.31,6800.28,7654.19,13.97,68.02,60.37,67.95,0.0,78.0,59.94,72.5,
NVIDIA GeForce GTX 1080 Ti,AIX{smd5},combinator,1226425.0,1278129.0,1244645.25,1242186.0,97.0,97.0,97.0,97.0,80.0,81.0,80.62,81.0,2066.6,6521.25,6026.38,6521.25,18.35,57.89,53.5,57.89,1.0,97.0,81.22,97.0,
NVIDIA GeForce GTX 1080 Ti,AIX{ssha1},combinator,34917822.0,34996481.0,34958937.0,34952974.0,81.0,83.0,81.38,81.0,82.0,82.0,82.0,82.0,2087.73,6879.31,6080.36,6878.38,18.53,61.07,53.98,61.07,1.0,98.0,68.06,84.0,
