GPU,HASH,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,1Password  agilekeychain,dict4,4170710.0,4391261.0,4229590.61,4204516.0,29.0,96.0,92.06,96.0,80.0,90.0,85.44,85.0,1148.1,5874.09,5244.04,5874.09,10.19,52.15,46.56,52.15,0.0,97.0,76.8,96.0,
NVIDIA GeForce GTX 1080 Ti,7-Zip,dict4,2855.0,2871.0,2858.89,2857.5,97.0,98.0,97.11,97.0,75.0,77.0,76.44,76.5,1148.1,6144.46,5492.95,6144.46,10.19,54.55,48.77,54.55,0.0,98.0,81.65,97.0,
NVIDIA GeForce GTX 1080 Ti,AES-128-ECBNOKDF(PT=$salt key=$pass),dict4,447393720.0,447393720.0,447393720.0,447393720.0,35.0,35.0,35.0,35.0,64.0,64.0,64.0,64.0,1145.16,4102.46,2919.67,4102.46,10.17,36.42,25.92,36.42,0.0,34.0,14.4,16.0,
NVIDIA GeForce GTX 1080 Ti,AES-192-ECBNOKDF(PT=$salt key=$pass),dict4,443053595.0,443053595.0,443053595.0,443053595.0,13.0,13.0,13.0,13.0,65.0,65.0,65.0,65.0,1145.16,4106.46,2626.03,2626.14,10.17,36.46,23.31,23.31,0.0,26.0,9.67,7.5,
NVIDIA GeForce GTX 1080 Ti,AES-256-ECBNOKDF(PT=$salt key=$pass),dict4,423380824.0,423380824.0,423380824.0,423380824.0,28.0,28.0,28.0,28.0,65.0,65.0,65.0,65.0,1148.1,4106.46,2923.25,4106.46,10.19,36.46,25.95,36.46,0.0,41.0,17.0,13.0,
NVIDIA GeForce GTX 1080 Ti,AESCrypt(SHA256),dict4,211120.0,230981.0,221664.56,223316.0,96.0,98.0,96.72,96.5,82.0,85.0,83.33,84.0,1148.1,7152.46,6375.07,7152.46,10.19,63.5,56.6,63.5,0.0,99.0,83.26,96.0,
NVIDIA GeForce GTX 1080 Ti,AIX{smd5},dict4,1248076.0,1366337.0,1290425.67,1268162.0,96.0,98.0,97.11,97.0,79.0,82.0,80.5,80.5,1145.81,5534.46,4962.26,5534.46,10.17,49.13,44.05,49.13,0.0,97.0,72.04,96.0,
NVIDIA GeForce GTX 1080 Ti,AIX{ssha1},dict4,28364352.0,30501258.0,29513006.5,29561552.0,2.0,97.0,80.67,97.0,73.0,84.0,81.72,83.0,1145.81,5870.46,5254.3,5870.46,10.17,52.12,46.65,52.12,0.0,97.0,74.65,96.0,
NVIDIA GeForce GTX 1080 Ti,AIX{ssha256},dict4,14286431.0,14613219.0,14393941.42,14378316.0,30.0,95.0,81.79,94.0,78.0,85.0,82.26,83.0,1145.81,6122.46,5473.56,6122.46,10.17,54.35,48.59,54.35,0.0,94.0,75.91,93.0,
NVIDIA GeForce GTX 1080 Ti,AIX{ssha512},dict4,6767880.0,7167840.0,6859100.28,6810986.5,55.0,96.0,92.67,95.0,77.0,87.0,84.06,85.0,1145.81,6794.46,6057.91,6794.46,10.17,60.32,53.78,60.32,0.0,97.0,79.87,97.0,
NVIDIA GeForce GTX 1080 Ti,AmazonAWS4-HMAC-SHA256,dict4,26103689.0,26568336.0,26362829.44,26374438.5,48.0,73.0,60.06,61.0,71.0,71.0,71.0,71.0,1148.1,2324.09,2170.81,2324.09,10.19,20.63,19.27,20.63,0.0,72.0,49.39,56.0,
