GPU,HASH,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,1Password  agilekeychain,force,3516.0,1872451.0,1441984.47,1857380.0,64.0,93.0,86.24,92.0,54.0,59.0,57.47,58.0,1146.25,5936.9,4245.55,5936.9,10.18,52.71,37.69,52.71,0.0,98.0,51.68,82.0,
NVIDIA GeForce GTX 1080 Ti,1Password  cloudkeychain,force,0.0,0.0,0.0,0.0,73.0,74.0,73.88,74.0,54.0,54.0,54.0,54.0,1140.73,7531.15,4389.44,4407.15,10.13,66.86,38.97,39.13,0.0,97.0,38.42,0.0,
NVIDIA GeForce GTX 1080 Ti,7-Zip,force,0.0,0.0,0.0,0.0,59.0,61.0,59.67,60.0,53.0,54.0,53.44,53.0,1144.35,6209.65,4270.84,6209.65,10.16,55.13,37.92,55.13,0.0,62.0,31.89,41.0,
NVIDIA GeForce GTX 1080 Ti,AES-128-ECBNOKDF(PT=$salt key=$pass),force,111721548.0,1107703339.0,999266298.72,1098551341.0,82.0,98.0,95.39,96.0,57.0,65.0,57.78,57.0,1148.79,4176.09,2993.11,4176.09,10.2,37.07,26.57,37.07,0.0,97.0,38.87,0.0,
NVIDIA GeForce GTX 1080 Ti,AES-192-ECBNOKDF(PT=$salt key=$pass),force,311883252.0,1336539271.0,922089801.05,962397724.0,95.0,98.0,96.26,96.0,55.0,64.0,56.84,56.0,1150.0,4176.96,3195.86,4176.96,10.21,37.08,28.37,37.08,0.0,98.0,50.0,45.0,
NVIDIA GeForce GTX 1080 Ti,AES-256-ECBNOKDF(PT=$salt key=$pass),force,445822082.0,811592807.0,751332188.0,787168163.5,92.0,98.0,96.78,97.0,54.0,63.0,55.17,55.0,1148.1,4176.09,2962.36,4176.09,10.19,37.07,26.3,37.07,0.0,97.0,39.82,11.0,
NVIDIA GeForce GTX 1080 Ti,AESCrypt(SHA256),force,4.0,4.0,4.0,4.0,45.0,45.0,45.0,45.0,52.0,53.0,52.12,52.0,1147.23,7222.09,5397.3,7222.09,10.18,64.12,47.92,64.12,0.0,100.0,40.11,58.0,
NVIDIA GeForce GTX 1080 Ti,AIX{smd5},force,4221.0,204381.0,173863.0,204091.5,53.0,63.0,60.36,61.0,54.0,55.0,54.07,54.0,1145.0,5599.65,4043.37,5599.65,10.17,49.71,35.9,49.71,0.0,99.0,55.18,67.0,
NVIDIA GeForce GTX 1080 Ti,AIX{ssha1},force,17229156.0,39904399.0,38275007.44,39761816.0,78.0,93.0,90.5,92.0,59.0,63.0,62.31,63.0,1140.73,5935.65,4381.8,5935.65,10.13,52.7,38.9,52.7,0.0,98.0,55.92,90.0,
NVIDIA GeForce GTX 1080 Ti,AIX{ssha256},force,8600856.0,13696633.0,13402115.9,13659620.0,70.0,89.0,86.86,89.0,56.0,61.0,59.95,60.0,1145.35,6192.09,4780.89,6192.09,10.17,54.97,42.44,54.97,0.0,93.0,54.43,83.0,
