GPU,HASH,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,1Password  agilekeychain,hybrid,1792061.0,1822746.0,1808759.56,1802107.0,57.0,94.0,88.78,93.0,54.0,54.0,54.0,54.0,1146.19,5936.84,4436.51,5934.71,10.18,52.71,39.39,52.69,0.0,96.0,54.48,86.0,
NVIDIA GeForce GTX 1080 Ti,1Password  cloudkeychain,hybrid,5915.0,5926.0,5923.12,5924.5,95.0,95.0,95.0,95.0,53.0,54.0,53.75,54.0,1146.19,7532.84,4532.61,7532.84,10.18,66.88,40.24,66.88,0.0,98.0,44.74,0.0,
NVIDIA GeForce GTX 1080 Ti,3DES(PT=$salt key=$pass),hybrid,371533613.0,411127552.0,400272031.12,408770025.0,22.0,94.0,84.53,94.0,55.0,56.0,55.82,56.0,1144.04,4172.84,2899.01,4172.84,10.16,37.05,25.74,37.05,0.0,97.0,47.78,71.0,
NVIDIA GeForce GTX 1080 Ti,7-Zip,hybrid,1042.0,1226.0,1098.44,1077.0,98.0,99.0,98.67,99.0,55.0,56.0,55.11,55.0,1143.79,6210.84,4640.54,6210.84,10.15,55.14,41.2,55.14,0.0,98.0,55.84,84.0,
NVIDIA GeForce GTX 1080 Ti,AES-128-ECBNOKDF(PT=$salt key=$pass),hybrid,499499601.0,1391376166.0,1055436058.11,1075875708.0,34.0,96.0,81.89,96.0,58.0,61.0,59.11,59.0,1135.41,4164.21,2896.63,4164.21,10.08,36.97,25.72,36.97,0.0,97.0,37.0,1.0,
NVIDIA GeForce GTX 1080 Ti,AES-192-ECBNOKDF(PT=$salt key=$pass),hybrid,905310654.0,1400607012.0,984611876.57,912366414.5,32.0,96.0,88.43,93.0,57.0,64.0,58.43,58.0,1133.12,4159.77,3116.23,4159.77,10.06,36.93,27.67,36.93,0.0,96.0,27.47,0.0,
NVIDIA GeForce GTX 1080 Ti,AES-256-ECBNOKDF(PT=$salt key=$pass),hybrid,750503967.0,1445583460.0,853807871.14,763125429.0,34.0,95.0,88.0,94.0,56.0,65.0,57.21,57.0,1135.41,4164.21,2981.14,4164.21,10.08,36.97,26.47,36.97,0.0,95.0,38.87,34.0,
NVIDIA GeForce GTX 1080 Ti,AESCrypt(SHA256),hybrid,21468.0,21672.0,21606.38,21628.5,96.0,97.0,96.12,96.0,54.0,54.0,54.0,54.0,1146.19,7218.84,4306.69,5788.84,10.18,64.09,38.23,51.39,0.0,99.0,33.35,0.0,
NVIDIA GeForce GTX 1080 Ti,AIX{smd5},hybrid,261255.0,261379.0,261309.0,261307.0,93.0,94.0,93.44,93.0,56.0,56.0,56.0,56.0,1140.66,5596.4,3527.9,5596.4,10.13,49.68,31.32,49.68,0.0,97.0,41.38,0.0,
NVIDIA GeForce GTX 1080 Ti,AIX{ssha1},hybrid,12243093.0,13902226.0,13722438.0,13880927.5,89.0,92.0,91.5,92.0,58.0,59.0,58.58,59.0,1140.66,5932.4,3918.83,5932.4,10.13,52.67,34.79,52.67,0.0,83.0,41.86,64.0,
NVIDIA GeForce GTX 1080 Ti,AIX{ssha256},hybrid,5748926.0,6706476.0,6521692.93,6701607.0,59.0,93.0,89.5,93.0,56.0,58.0,57.64,58.0,1144.04,6188.84,3940.74,6188.84,10.16,54.94,34.99,54.94,0.0,97.0,47.18,51.5,
