GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,3204850.0,3215015.0,3212147.11,3214215.0,93.0,94.0,93.22,93.0,64.0,65.0,64.44,64.0,2102.05,6892.7,6169.67,6832.65,18.66,61.19,54.77,60.66,1.0,98.0,78.61,97.0,
NVIDIA GeForce GTX 1080 Ti,dict3,3068493.0,3197702.0,3099444.94,3086907.0,29.0,95.0,69.28,76.0,82.0,89.0,85.22,85.0,1147.91,5873.02,4691.71,5872.84,10.19,52.14,41.65,52.14,0.0,98.0,56.75,82.5,
NVIDIA GeForce GTX 1080 Ti,dict4,4170710.0,4391261.0,4229590.61,4204516.0,29.0,96.0,92.06,96.0,80.0,90.0,85.44,85.0,1148.1,5874.09,5244.04,5874.09,10.19,52.15,46.56,52.15,0.0,97.0,76.8,96.0,
NVIDIA GeForce GTX 1080 Ti,force,3516.0,1872451.0,1441984.47,1857380.0,64.0,93.0,86.24,92.0,54.0,59.0,57.47,58.0,1146.25,5936.9,4245.55,5936.9,10.18,52.71,37.69,52.71,0.0,98.0,51.68,82.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,1792061.0,1822746.0,1808759.56,1802107.0,57.0,94.0,88.78,93.0,54.0,54.0,54.0,54.0,1146.19,5936.84,4436.51,5934.71,10.18,52.71,39.39,52.69,0.0,96.0,54.48,86.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,4398437.0,4612520.0,4468989.08,4450916.0,92.0,93.0,92.31,92.0,86.0,90.0,87.62,87.0,327.78,5097.68,3478.34,5097.68,4.0,62.23,42.46,62.23,0.0,73.0,40.96,63.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,3897456.0,4098672.0,3963325.14,3933668.0,83.0,96.0,88.14,83.0,87.0,91.0,89.29,90.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict4,3986049.0,4102806.0,4035572.39,4040989.0,94.0,95.0,94.06,94.0,87.0,93.0,88.44,88.0,338.56,5042.46,4614.88,5042.46,4.13,61.55,56.33,61.55,0.0,95.0,82.05,94.0,
NVIDIA GeForce RTX 2080 SUPER,force,355857.0,4939932.0,4300525.21,4861469.0,66.0,94.0,88.07,93.0,71.0,87.0,83.21,86.0,338.56,5108.46,3155.47,5108.46,4.13,62.36,38.52,62.36,0.0,91.0,47.96,66.5,
NVIDIA GeForce RTX 2080 SUPER,hybrid,1947749.0,1986065.0,1966600.67,1967712.0,49.0,53.0,51.33,52.0,77.0,83.0,80.44,81.0,338.56,5108.46,2977.92,5108.46,4.13,62.36,36.35,62.36,0.0,50.0,22.91,14.5,
