GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,10697.0,10706.0,10703.88,10705.0,96.0,96.0,96.0,96.0,63.0,63.0,63.0,63.0,2006.09,8418.8,7396.91,8401.8,17.81,74.74,65.67,74.59,1.0,98.0,74.26,98.0,
NVIDIA GeForce GTX 1080 Ti,dict1,93.0,95.0,93.67,94.0,71.0,79.0,76.11,78.0,57.0,58.0,57.22,57.0,2020.85,8342.14,6445.89,8342.14,17.94,74.06,57.23,74.06,0.0,86.0,53.4,75.0,
NVIDIA GeForce GTX 1080 Ti,dict2,8.0,13.0,9.78,9.0,87.0,93.0,91.39,92.0,52.0,57.0,53.39,53.0,2115.89,8501.79,7697.15,8436.54,18.78,75.48,68.33,74.9,1.0,80.0,63.04,74.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,0.0,0.0,0.0,73.0,74.0,73.88,74.0,54.0,54.0,54.0,54.0,1140.73,7531.15,4389.44,4407.15,10.13,66.86,38.97,39.13,0.0,97.0,38.42,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,5915.0,5926.0,5923.12,5924.5,95.0,95.0,95.0,95.0,53.0,54.0,53.75,54.0,1146.19,7532.84,4532.61,7532.84,10.18,66.88,40.24,66.88,0.0,98.0,44.74,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,18118.0,18852.0,18432.08,18584.0,95.0,95.0,95.0,95.0,86.0,89.0,87.46,87.0,327.78,6693.68,3802.78,6693.68,4.0,81.71,46.42,81.71,0.0,95.0,47.0,49.5,
NVIDIA GeForce RTX 2080 SUPER,dict1,230.0,231.0,230.5,230.5,71.0,73.0,72.0,72.0,59.0,59.0,59.0,59.0,327.78,6627.68,2613.74,445.68,4.0,80.9,31.91,5.44,0.0,74.0,19.41,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,23.0,23.0,23.0,23.0,70.0,72.0,71.42,71.0,61.0,61.0,61.0,61.0,338.56,6638.46,5816.82,6638.46,4.13,81.04,71.01,81.04,0.0,69.0,56.74,65.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,17313.0,18362.0,17730.56,17541.0,94.0,94.0,94.0,94.0,86.0,89.0,87.72,88.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict4,16065.0,16588.0,16265.0,16340.0,94.0,94.0,94.0,94.0,88.0,89.0,88.06,88.0,338.56,6638.46,5851.01,6638.46,4.13,81.04,71.42,81.04,0.0,94.0,77.12,94.0,
NVIDIA GeForce RTX 2080 SUPER,force,2.0,2.0,2.0,2.0,70.0,74.0,71.88,71.5,62.0,63.0,62.75,63.0,338.56,6704.46,3489.83,1666.46,4.13,81.84,42.6,20.34,0.0,70.0,29.32,1.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,18508.0,19068.0,18707.11,18732.0,94.0,95.0,94.67,95.0,86.0,89.0,86.89,86.0,338.56,6704.46,3086.31,456.46,4.13,81.84,37.67,5.57,0.0,94.0,38.08,0.5,
NVIDIA GeForce RTX 3070,combinator,18674.0,18788.0,18717.77,18721.0,93.0,95.0,94.0,94.0,76.0,81.0,78.92,79.0,356.11,6714.07,4038.79,6714.07,4.35,81.96,49.3,81.96,0.0,94.0,48.93,68.5,
NVIDIA GeForce RTX 3070,dict1,226.0,226.0,226.0,226.0,48.0,68.0,54.67,48.0,59.0,59.0,59.0,59.0,356.11,6648.07,2658.37,510.07,4.35,81.15,32.45,6.23,0.0,81.0,20.41,0.0,
NVIDIA GeForce RTX 3070,dict2,22.0,22.0,22.0,22.0,67.0,72.0,68.72,68.0,61.0,61.0,61.0,61.0,356.11,6648.07,5827.47,6648.07,4.35,81.15,71.14,81.15,0.0,77.0,59.91,73.0,
NVIDIA GeForce RTX 3070,dict3,18189.0,18593.0,18387.72,18408.0,94.0,94.0,94.0,94.0,82.0,85.0,83.56,84.0,356.11,6648.07,5861.66,6648.07,4.35,81.15,71.55,81.15,0.0,94.0,73.96,93.0,
NVIDIA GeForce RTX 3070,dict4,17915.0,18227.0,18011.72,17925.0,94.0,95.0,94.17,94.0,84.0,85.0,84.33,84.0,356.11,6648.07,5861.66,6648.07,4.35,81.15,71.55,81.15,0.0,94.0,75.25,93.0,
NVIDIA GeForce RTX 3070,force,2.0,2.0,2.0,2.0,70.0,75.0,73.0,74.0,64.0,65.0,64.38,64.0,356.11,6714.07,3250.37,510.07,4.35,81.96,39.68,6.23,0.0,76.0,28.52,0.0,
NVIDIA GeForce RTX 3070,hybrid,18760.0,18852.0,18821.0,18836.0,94.0,95.0,94.22,94.0,74.0,77.0,76.0,76.0,495.0,6852.96,3256.04,648.96,6.04,83.65,39.75,7.92,0.0,95.0,38.23,0.0,
NVIDIA GeForce RTX 3090,combinator,30703.0,31039.0,30832.38,30808.0,93.0,94.0,93.15,93.0,84.0,87.0,85.92,86.0,499.66,6954.33,5935.31,6954.33,2.03,28.3,24.15,28.3,0.0,95.0,70.89,94.0,
NVIDIA GeForce RTX 3090,dict1,209.0,211.0,210.0,210.0,68.0,69.0,68.67,69.0,72.0,72.0,72.0,72.0,499.91,6888.58,5291.58,6888.58,2.03,28.03,21.53,28.03,0.0,78.0,45.25,66.0,
NVIDIA GeForce RTX 3090,dict2,23.0,23.0,23.0,23.0,73.0,77.0,74.22,74.0,74.0,74.0,74.0,74.0,499.91,6888.58,6090.44,6888.58,2.03,28.03,24.78,28.03,0.0,78.0,53.08,63.0,
NVIDIA GeForce RTX 3090,dict3,28954.0,29669.0,29180.5,29070.0,85.0,96.0,94.83,95.0,86.0,87.0,86.72,87.0,537.73,6929.34,6130.75,6929.34,2.19,28.2,24.95,28.2,0.0,96.0,76.33,95.0,
NVIDIA GeForce RTX 3090,dict4,28892.0,29505.0,29093.61,28987.0,90.0,96.0,95.0,95.0,86.0,87.0,86.78,87.0,1062.28,7455.27,6899.6,7455.27,4.32,30.34,28.07,30.34,0.0,96.0,81.87,95.0,
NVIDIA GeForce RTX 3090,force,2.0,2.0,2.0,2.0,63.0,64.0,63.33,63.0,73.0,73.0,73.0,73.0,671.34,7130.32,3740.92,932.32,2.73,29.01,15.22,3.79,3.0,85.0,38.46,12.5,
NVIDIA GeForce RTX 3090,hybrid,30643.0,30806.0,30700.25,30687.0,93.0,94.0,93.38,93.0,83.0,84.0,83.62,84.0,557.99,7012.66,3570.45,823.16,2.27,28.53,14.53,3.35,3.0,97.0,43.86,17.0,
NVIDIA RTX A4000,combinator,16331.0,16453.0,16394.38,16414.0,95.0,95.0,95.0,95.0,82.0,87.0,84.85,85.0,743.42,7153.39,4675.32,7153.39,4.54,43.68,28.55,43.68,0.0,97.0,53.5,93.0,
NVIDIA RTX A4000,dict1,209.0,213.0,211.33,212.0,40.0,73.0,62.0,73.0,68.0,68.0,68.0,68.0,743.42,7087.39,4973.17,7087.39,4.54,43.28,30.37,43.28,0.0,81.0,52.67,80.0,
