GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,1005839999.0,1009054030.0,1006820789.25,1006325601.0,92.0,93.0,92.25,92.0,82.0,84.0,83.12,83.0,2219.58,5329.55,4859.39,5246.88,19.71,47.31,43.14,46.58,0.0,93.0,75.0,91.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,371533613.0,411127552.0,400272031.12,408770025.0,22.0,94.0,84.53,94.0,55.0,56.0,55.82,56.0,1144.04,4172.84,2899.01,4172.84,10.16,37.05,25.74,37.05,0.0,97.0,47.78,71.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,960033742.0,983096061.0,968449723.77,966653058.0,92.0,92.0,92.0,92.0,84.0,86.0,85.0,85.0,327.78,3333.68,2284.6,3333.68,4.0,40.69,27.89,40.69,0.0,92.0,52.24,91.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,911189205.0,1022312507.0,996377958.77,1003576678.0,60.0,94.0,89.69,94.0,76.0,86.0,84.46,85.0,338.56,3344.46,2204.16,3344.46,4.13,40.83,26.91,40.83,0.0,94.0,45.78,59.0,
NVIDIA GeForce RTX 3070,combinator,1467958515.0,1481566615.0,1473247942.38,1472352556.0,86.0,87.0,86.38,86.0,77.0,82.0,79.77,80.0,356.11,3378.07,2333.31,3378.07,4.35,41.24,28.48,41.24,0.0,88.0,49.04,86.0,
NVIDIA GeForce RTX 3070,hybrid,1313890531.0,1569140520.0,1539448468.08,1558535210.0,46.0,91.0,86.42,90.0,70.0,79.0,76.92,77.5,500.27,3522.23,2255.28,3522.23,6.11,43.0,27.53,43.0,0.0,95.0,42.26,1.0,
NVIDIA GeForce RTX 3090,combinator,2440221458.0,2460179082.0,2448542858.23,2447400708.0,87.0,88.0,87.15,87.0,85.0,87.0,86.0,86.0,499.16,3621.83,3102.05,3621.83,2.03,14.74,12.62,14.74,0.0,94.0,71.5,89.0,
NVIDIA GeForce RTX 3090,hybrid,2051778105.0,2585478151.0,2481322124.79,2545327222.5,48.0,92.0,82.86,91.0,81.0,84.0,82.71,83.0,520.09,3641.43,2362.09,3641.43,2.12,14.82,9.61,14.82,0.0,92.0,41.43,1.0,
NVIDIA RTX A4000,combinator,1323693694.0,1339683932.0,1330028310.54,1329286900.0,88.0,89.0,88.08,88.0,83.0,87.0,85.54,86.0,955.32,3999.6,2946.11,3995.91,5.83,24.42,17.99,24.4,0.0,97.0,55.32,94.0,
NVIDIA RTX A4000,hybrid,1083037645.0,1551898816.0,1344850636.8,1377955691.0,30.0,95.0,85.53,91.0,80.0,86.0,83.6,84.0,1067.91,4117.88,2794.16,4117.88,6.52,25.15,17.06,25.15,1.0,81.0,19.76,24.0,
Radeon RX Vega,combinator,363455443.0,398853995.0,386900221.31,390868227.0,20.0,42.0,34.54,39.0,68.0,69.0,68.15,68.0,9275.57,11024.55,10562.72,11013.65,56.9,67.6,64.75,67.5,0,0,0,0,
Radeon RX Vega,hybrid,366231194.0,410136950.0,395664899.32,407095563.0,0.0,44.0,38.05,41.0,59.0,62.0,60.68,61.0,7978.12,10054.11,9506.34,10052.58,48.9,61.6,58.26,61.6,0,0,0,0,
