GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,1862.0,1949.0,1901.0,1894.0,98.0,98.0,98.0,98.0,62.0,64.0,62.5,62.0,2193.25,7258.55,6695.77,7258.55,19.47,64.44,59.44,64.44,0.0,98.0,79.06,97.0,
NVIDIA GeForce GTX 1080 Ti,dict1,17.0,17.0,17.0,17.0,78.0,84.0,79.11,79.0,56.0,57.0,56.11,56.0,1594.56,6609.11,5976.0,6597.73,14.16,58.67,53.05,58.57,2.0,72.0,58.29,70.0,
NVIDIA GeForce GTX 1080 Ti,dict2,2.0,2.0,2.0,2.0,75.0,79.0,76.67,77.0,57.0,59.0,57.28,57.0,1677.54,6681.15,6054.08,6677.84,14.89,59.31,53.75,59.28,0.0,86.0,62.71,76.0,
NVIDIA GeForce GTX 1080 Ti,dict3,2465.0,2467.0,2466.33,2466.0,97.0,98.0,97.5,97.5,80.0,82.0,81.11,81.0,1152.25,6890.18,5884.72,6150.98,10.23,61.17,52.24,54.61,0.0,98.0,84.3,97.0,
NVIDIA GeForce GTX 1080 Ti,dict4,2855.0,2871.0,2858.89,2857.5,97.0,98.0,97.11,97.0,75.0,77.0,76.44,76.5,1148.1,6144.46,5492.95,6144.46,10.19,54.55,48.77,54.55,0.0,98.0,81.65,97.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,0.0,0.0,0.0,59.0,61.0,59.67,60.0,53.0,54.0,53.44,53.0,1144.35,6209.65,4270.84,6209.65,10.16,55.13,37.92,55.13,0.0,62.0,31.89,41.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,1042.0,1226.0,1098.44,1077.0,98.0,99.0,98.67,99.0,55.0,56.0,55.11,55.0,1143.79,6210.84,4640.54,6210.84,10.15,55.14,41.2,55.14,0.0,98.0,55.84,84.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,3049.0,3088.0,3065.54,3064.0,97.0,97.0,97.0,97.0,81.0,85.0,83.46,84.0,327.78,5371.68,3857.16,5371.68,4.0,65.57,47.08,65.57,0.0,80.0,52.22,77.0,
NVIDIA GeForce RTX 2080 SUPER,dict1,30.0,31.0,30.84,31.0,68.0,72.0,69.21,69.0,60.0,60.0,60.0,60.0,327.78,5305.68,4032.65,5305.68,4.0,64.77,49.23,64.77,0.0,73.0,51.56,72.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,3.0,3.0,3.0,3.0,67.0,71.0,68.17,68.0,61.0,61.0,61.0,61.0,338.56,5316.46,4667.64,5316.46,4.13,64.9,56.98,64.9,0.0,72.0,59.61,71.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,3850.0,3897.0,3871.71,3870.0,95.0,96.0,95.35,95.0,80.0,84.0,83.12,83.0,338.56,5316.46,4863.97,5316.46,4.13,64.9,59.37,64.9,0.0,96.0,80.59,96.0,
