GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,1478095336.0,1545553400.0,1498686134.67,1490906526.0,94.0,94.0,94.0,94.0,62.0,63.0,62.56,63.0,1665.02,4691.69,4233.29,4691.69,14.78,41.65,37.58,41.65,6.0,98.0,79.56,94.0,
NVIDIA GeForce GTX 1080 Ti,dict3,59253319.0,59253319.0,59253319.0,59253319.0,3.0,3.0,3.0,3.0,61.0,61.0,61.0,61.0,1107.66,4066.02,3080.01,4066.02,9.83,36.1,27.34,36.1,0.0,27.0,9.5,1.5,
NVIDIA GeForce GTX 1080 Ti,dict4,423380824.0,423380824.0,423380824.0,423380824.0,28.0,28.0,28.0,28.0,65.0,65.0,65.0,65.0,1148.1,4106.46,2923.25,4106.46,10.19,36.46,25.95,36.46,0.0,41.0,17.0,13.0,
NVIDIA GeForce GTX 1080 Ti,force,445822082.0,811592807.0,751332188.0,787168163.5,92.0,98.0,96.78,97.0,54.0,63.0,55.17,55.0,1148.1,4176.09,2962.36,4176.09,10.19,37.07,26.3,37.07,0.0,97.0,39.82,11.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,750503967.0,1445583460.0,853807871.14,763125429.0,34.0,95.0,88.0,94.0,56.0,65.0,57.21,57.0,1135.41,4164.21,2981.14,4164.21,10.08,36.97,26.47,36.97,0.0,95.0,38.87,34.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,1561070925.0,1580795561.0,1568992049.0,1567986744.0,86.0,87.0,86.38,86.0,78.0,83.0,81.08,81.0,327.78,3333.68,2155.02,3333.68,4.0,40.69,26.31,40.69,0.0,88.0,50.87,81.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,31665728.0,42623424.0,35754403.0,32974057.0,0.0,1.0,0.67,1.0,55.0,57.0,55.67,55.0,338.56,3278.46,2236.14,3086.46,4.13,40.02,27.3,37.68,0.0,35.0,13.17,10.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,425205850.0,425205850.0,425205850.0,425205850.0,37.0,37.0,37.0,37.0,72.0,72.0,72.0,72.0,338.56,3278.46,1808.83,1808.99,4.13,40.02,22.08,22.08,1.0,52.0,21.5,18.5,
NVIDIA GeForce RTX 2080 SUPER,force,410092859.0,1807048025.0,1537835173.89,1781079081.0,57.0,95.0,82.0,88.0,70.0,80.0,75.11,75.0,338.56,3344.46,2201.81,3344.46,4.13,40.83,26.88,40.83,0.0,95.0,39.17,30.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,1337942703.0,1617900208.0,1580232142.36,1616604007.0,56.0,90.0,85.07,90.0,68.0,80.0,76.79,78.0,338.56,3344.46,1737.21,456.46,4.13,40.83,21.21,5.57,0.0,73.0,19.27,0.0,
NVIDIA GeForce RTX 3070,combinator,2973899751.0,2974756856.0,2974328303.5,2974328303.5,87.0,87.0,87.0,87.0,73.0,73.0,73.0,73.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict4,506529143.0,506529143.0,506529143.0,506529143.0,17.0,17.0,17.0,17.0,64.0,64.0,64.0,64.0,356.11,3312.07,2326.91,3312.07,4.35,40.43,28.4,40.43,0.0,16.0,6.67,4.5,
