GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,61315.0,61494.0,61416.38,61417.0,61.0,66.0,63.0,63.0,60.0,61.0,60.62,61.0,1573.2,7661.31,6800.28,7654.19,13.97,68.02,60.37,67.95,0.0,78.0,59.94,72.5,
NVIDIA GeForce GTX 1080 Ti,dict2,105.0,127.0,115.62,114.5,57.0,67.0,63.62,64.5,58.0,60.0,58.62,58.0,1657.49,7667.54,6463.67,7664.79,14.71,68.07,57.38,68.05,0.0,93.0,48.6,60.0,
NVIDIA GeForce GTX 1080 Ti,dict3,179110.0,197713.0,189635.11,189067.0,97.0,98.0,97.32,97.0,80.0,86.0,83.74,84.0,1142.88,7149.52,6366.27,7149.52,10.15,63.47,56.52,63.47,0.0,97.0,81.3,96.0,
NVIDIA GeForce GTX 1080 Ti,dict4,211120.0,230981.0,221664.56,223316.0,96.0,98.0,96.72,96.5,82.0,85.0,83.33,84.0,1148.1,7152.46,6375.07,7152.46,10.19,63.5,56.6,63.5,0.0,99.0,83.26,96.0,
NVIDIA GeForce GTX 1080 Ti,force,4.0,4.0,4.0,4.0,45.0,45.0,45.0,45.0,52.0,53.0,52.12,52.0,1147.23,7222.09,5397.3,7222.09,10.18,64.12,47.92,64.12,0.0,100.0,40.11,58.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,21468.0,21672.0,21606.38,21628.5,96.0,97.0,96.12,96.0,54.0,54.0,54.0,54.0,1146.19,7218.84,4306.69,5788.84,10.18,64.09,38.23,51.39,0.0,99.0,33.35,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,98172.0,99206.0,98454.0,98265.0,61.0,63.0,62.15,62.0,76.0,83.0,79.92,80.0,327.78,6379.68,3801.13,6379.68,4.0,77.88,46.4,77.88,0.0,66.0,33.86,62.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,144.0,154.0,148.0,147.0,40.0,53.0,44.8,44.0,61.0,62.0,61.4,61.0,338.56,6324.46,4540.18,6324.46,4.13,77.2,55.42,77.2,0.0,53.0,34.8,40.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,239718.0,247349.0,243635.61,243568.0,82.0,83.0,82.5,82.5,84.0,88.0,86.5,86.5,338.56,6324.46,5544.16,6324.46,4.13,77.2,67.68,77.2,0.0,85.0,70.57,83.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,262862.0,278320.0,267907.5,266011.5,90.0,91.0,90.22,90.0,87.0,89.0,87.78,88.0,338.56,6324.46,5576.68,6324.46,4.13,77.2,68.07,77.2,0.0,91.0,73.25,90.0,
