GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,1226425.0,1278129.0,1244645.25,1242186.0,97.0,97.0,97.0,97.0,80.0,81.0,80.62,81.0,2066.6,6521.25,6026.38,6521.25,18.35,57.89,53.5,57.89,1.0,97.0,81.22,97.0,
NVIDIA GeForce GTX 1080 Ti,dict3,874687.0,922453.0,888437.72,885811.5,66.0,98.0,88.44,97.0,76.0,80.0,78.89,79.0,1855.26,6289.21,5662.36,6094.35,16.47,55.83,50.27,54.1,2.0,98.0,64.29,84.0,
NVIDIA GeForce GTX 1080 Ti,dict4,1248076.0,1366337.0,1290425.67,1268162.0,96.0,98.0,97.11,97.0,79.0,82.0,80.5,80.5,1145.81,5534.46,4962.26,5534.46,10.17,49.13,44.05,49.13,0.0,97.0,72.04,96.0,
NVIDIA GeForce GTX 1080 Ti,force,4221.0,204381.0,173863.0,204091.5,53.0,63.0,60.36,61.0,54.0,55.0,54.07,54.0,1145.0,5599.65,4043.37,5599.65,10.17,49.71,35.9,49.71,0.0,99.0,55.18,67.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,261255.0,261379.0,261309.0,261307.0,93.0,94.0,93.44,93.0,56.0,56.0,56.0,56.0,1140.66,5596.4,3527.9,5596.4,10.13,49.68,31.32,49.68,0.0,97.0,41.38,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,1422140.0,1504967.0,1453482.31,1444527.0,93.0,93.0,93.0,93.0,84.0,87.0,85.77,86.0,327.78,4761.68,2875.68,4761.68,4.0,58.13,35.1,58.13,0.0,94.0,50.0,64.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,1293011.0,1340335.0,1309936.22,1304516.5,84.0,93.0,87.56,84.0,77.0,86.0,82.56,83.0,338.56,4706.46,4136.78,4706.46,4.13,57.45,50.5,57.45,0.0,93.0,73.61,84.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,1330094.0,1408823.0,1353227.78,1338664.0,83.0,93.0,92.06,93.0,84.0,89.0,86.89,87.0,338.56,4706.46,4136.82,4706.46,4.13,57.45,50.5,57.45,0.0,94.0,77.57,93.0,
NVIDIA GeForce RTX 2080 SUPER,force,753732.0,1672421.0,1390737.94,1668079.0,62.0,93.0,83.38,92.0,66.0,85.0,79.0,84.0,338.56,4772.46,3325.1,4772.46,4.13,58.26,40.59,58.26,0.0,93.0,49.44,62.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,1536583.0,1538788.0,1537663.88,1537581.5,93.0,93.0,93.0,93.0,83.0,84.0,83.62,84.0,338.56,4772.46,2681.38,4388.46,4.13,58.26,32.73,53.57,0.0,94.0,38.17,16.0,
NVIDIA GeForce RTX 3070,combinator,1602190.0,1659718.0,1622793.23,1617494.0,91.0,93.0,91.77,92.0,71.0,77.0,74.62,75.0,356.11,4796.07,2919.41,4796.07,4.35,58.55,35.64,58.55,0.0,93.0,46.81,79.0,
NVIDIA GeForce RTX 3070,dict3,1592958.0,1657770.0,1614792.56,1610336.5,48.0,94.0,83.89,92.0,70.0,76.0,73.83,74.0,356.11,4730.07,4332.89,4730.07,4.35,57.74,52.89,57.74,0.0,96.0,69.73,94.0,
NVIDIA GeForce RTX 3070,dict4,1680337.0,1758633.0,1700433.22,1691687.0,91.0,94.0,92.0,92.0,73.0,78.0,75.83,76.0,356.11,4730.07,4159.64,4730.07,4.35,57.74,50.78,57.74,0.0,92.0,74.17,91.0,
NVIDIA GeForce RTX 3070,force,974045.0,1843862.0,1612042.93,1842335.0,57.0,92.0,82.53,91.0,63.0,72.0,68.6,70.0,356.11,4796.07,3229.31,4796.07,4.35,58.55,39.42,58.55,0.0,96.0,48.12,70.0,
NVIDIA GeForce RTX 3070,hybrid,1766150.0,1800989.0,1779187.0,1775033.5,91.0,92.0,91.12,91.0,68.0,71.0,70.0,70.5,456.82,4885.78,2729.2,2744.28,5.58,59.64,33.32,33.5,0.0,90.0,39.86,0.0,
NVIDIA GeForce RTX 3090,combinator,1728050.0,1745566.0,1739040.36,1739987.5,71.0,75.0,72.29,72.5,79.0,82.0,80.86,81.0,499.16,5037.83,4284.61,5037.83,2.03,20.5,17.43,20.5,0.0,94.0,71.44,90.0,
NVIDIA GeForce RTX 3090,dict3,2349151.0,2439468.0,2379493.78,2372886.0,47.0,93.0,75.89,86.5,78.0,83.0,81.06,81.0,542.01,5013.34,4430.17,5013.34,2.21,20.4,18.03,20.4,0.0,94.0,65.57,90.0,
NVIDIA GeForce RTX 3090,dict4,2649108.0,2782064.0,2691689.94,2671071.5,64.0,94.0,91.5,93.0,79.0,83.0,81.28,81.5,540.61,5013.34,4430.07,5013.34,2.2,20.4,18.03,20.4,0.0,94.0,76.3,93.0,
NVIDIA GeForce RTX 3090,force,1937803.0,2783749.0,2646402.0,2760145.0,67.0,92.0,87.0,90.0,76.0,81.0,79.0,79.5,719.36,5262.34,3330.65,5262.34,2.93,21.41,13.55,21.41,0.0,92.0,45.52,68.0,
NVIDIA GeForce RTX 3090,hybrid,1986046.0,2704406.0,2372260.0,2386828.5,36.0,93.0,57.75,39.0,74.0,78.0,75.75,75.0,508.28,5045.62,4478.94,5045.62,2.07,20.53,18.22,20.53,3.0,96.0,69.92,81.0,
NVIDIA RTX A4000,combinator,1408770.0,1482322.0,1436140.15,1429242.0,92.0,94.0,93.0,93.0,77.0,83.0,80.54,81.0,974.77,5452.68,3886.05,5452.68,5.95,33.3,23.73,33.3,0.0,95.0,55.6,94.0,
