GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,6834131.0,6884807.0,6851729.88,6847537.0,91.0,92.0,91.12,91.0,82.0,85.0,83.25,83.0,2114.96,7829.8,7172.26,7802.06,18.78,69.51,63.67,69.27,1.0,99.0,79.33,95.0,
NVIDIA GeForce GTX 1080 Ti,dict3,3855476.0,3974872.0,3893691.39,3882384.5,30.0,95.0,58.06,52.5,80.0,83.0,81.56,82.0,1635.84,7387.86,6593.59,7313.61,14.52,65.59,58.54,64.93,1.0,100.0,48.52,52.0,
NVIDIA GeForce GTX 1080 Ti,dict4,6767880.0,7167840.0,6859100.28,6810986.5,55.0,96.0,92.67,95.0,77.0,87.0,84.06,85.0,1145.81,6794.46,6057.91,6794.46,10.17,60.32,53.78,60.32,0.0,97.0,79.87,97.0,
NVIDIA GeForce GTX 1080 Ti,force,3341806.0,5594474.0,5238229.93,5590354.0,71.0,97.0,91.57,95.0,58.0,62.0,61.0,62.0,1145.0,6859.65,4757.25,6859.65,10.17,60.9,42.23,60.9,0.0,98.0,54.54,86.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,2392894.0,2425453.0,2409503.38,2412455.0,43.0,88.0,78.5,88.0,58.0,58.0,58.0,58.0,1146.19,6860.84,4491.17,6860.84,10.18,60.91,39.87,60.91,0.0,98.0,45.92,46.5,
NVIDIA GeForce RTX 2080 SUPER,combinator,9111642.0,9389711.0,9207662.92,9187657.0,85.0,86.0,85.69,86.0,85.0,86.0,85.46,85.0,327.78,6021.68,3478.4,6021.68,4.0,73.51,42.46,73.51,0.0,70.0,35.54,47.5,
NVIDIA GeForce RTX 2080 SUPER,dict3,6848276.0,7091404.0,6896584.06,6877757.5,72.0,81.0,74.78,73.0,76.0,86.0,82.94,83.0,338.56,5966.46,5232.43,5966.46,4.13,72.83,63.87,72.83,0.0,60.0,42.57,48.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,7872904.0,8218452.0,7949925.83,7921419.5,82.0,92.0,90.22,92.0,85.0,89.0,86.89,87.0,338.56,5966.46,5232.47,5966.46,4.13,72.83,63.87,72.83,0.0,87.0,68.7,79.0,
NVIDIA GeForce RTX 2080 SUPER,force,6860955.0,9831289.0,9450049.75,9652496.5,70.0,86.0,82.92,85.0,76.0,88.0,84.92,86.0,338.56,6032.46,3694.47,6032.46,4.13,73.64,45.1,73.64,0.0,86.0,41.88,48.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,3524462.0,9592087.0,7052410.39,9172944.5,39.0,86.0,66.28,83.5,69.0,87.0,79.89,84.0,338.56,6032.46,3382.32,6032.46,4.13,73.64,41.29,73.64,0.0,70.0,33.44,29.0,
NVIDIA GeForce RTX 3070,combinator,7392719.0,7541454.0,7442628.5,7426832.5,67.0,69.0,68.14,68.0,73.0,77.0,75.14,75.0,356.11,6046.07,3565.57,6046.07,4.35,73.8,43.53,73.8,0.0,77.0,35.21,53.5,
NVIDIA GeForce RTX 3070,dict3,6227063.0,6412533.0,6296862.06,6283002.0,39.0,88.0,61.39,61.0,73.0,78.0,76.0,76.0,356.11,5980.07,5246.6,5980.07,4.35,73.0,64.05,73.0,0.0,48.0,36.0,45.0,
