GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,826710.0,828084.0,827681.11,827877.0,95.0,96.0,95.78,96.0,64.0,65.0,64.33,64.0,2009.88,7011.12,6452.51,7006.43,17.84,62.24,57.28,62.2,1.0,97.0,81.0,97.0,
NVIDIA GeForce GTX 1080 Ti,dict3,1047773.0,1061452.0,1053319.86,1051468.0,31.0,97.0,79.71,97.0,82.0,91.0,87.29,89.0,1133.38,6068.02,5410.29,6068.02,10.06,53.87,48.03,53.87,0.0,98.0,75.27,97.0,
NVIDIA GeForce GTX 1080 Ti,dict4,1076788.0,1121994.0,1089219.5,1084332.0,39.0,95.0,88.9,94.0,81.0,91.0,85.7,84.5,1144.23,6084.4,3616.15,3617.07,10.16,54.02,32.1,32.11,0.0,98.0,32.5,0.0,
NVIDIA GeForce GTX 1080 Ti,force,28.0,490049.0,321270.29,380838.0,68.0,97.0,88.82,89.0,54.0,60.0,57.71,58.0,1146.25,6146.9,4350.31,6146.9,10.18,54.57,38.62,54.57,0.0,97.0,52.83,85.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,471897.0,472499.0,472295.22,472336.0,93.0,94.0,93.89,94.0,55.0,56.0,55.33,55.0,1146.19,6146.84,3818.46,6146.84,10.18,54.57,33.9,54.57,0.0,98.0,43.05,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,1177123.0,1236636.0,1198222.57,1193508.5,95.0,95.0,95.0,95.0,86.0,87.0,86.71,87.0,327.78,5307.68,3318.16,5307.68,4.0,64.79,40.5,64.79,0.0,95.0,50.41,68.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,1111704.0,1169565.0,1132468.83,1130298.5,85.0,95.0,89.83,89.5,82.0,91.0,87.33,87.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict4,1060659.0,1098355.0,1070624.33,1067033.5,95.0,95.0,95.0,95.0,88.0,89.0,88.17,88.0,338.56,5252.46,4805.79,5252.46,4.13,64.12,58.66,64.12,0.0,95.0,83.64,95.0,
NVIDIA GeForce RTX 2080 SUPER,force,4638.0,225550.0,190005.4,222734.0,65.0,72.0,70.07,71.0,63.0,70.0,67.4,68.0,338.56,5318.46,3539.95,5318.46,4.13,64.92,43.21,64.92,0.0,95.0,49.1,65.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,1202820.0,1242273.0,1218248.67,1215595.0,94.0,95.0,94.89,95.0,86.0,89.0,87.11,87.0,338.56,5318.46,2872.8,2887.46,4.13,64.92,35.07,35.25,0.0,65.0,26.71,0.5,
