GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,334575.0,348946.0,343072.0,345609.0,97.0,97.0,97.0,97.0,68.0,72.0,69.62,68.5,2367.52,8498.38,7776.51,8450.32,21.02,75.45,69.04,75.02,0.0,93.0,74.39,91.0,
NVIDIA GeForce GTX 1080 Ti,dict2,193.0,193.0,193.0,193.0,61.0,64.0,62.5,62.5,60.0,60.0,60.0,60.0,1623.84,7618.38,5620.53,7617.38,14.42,67.63,49.9,67.63,0.0,88.0,42.78,69.0,
NVIDIA GeForce GTX 1080 Ti,dict3,302225.0,316150.0,306649.78,305699.0,92.0,98.0,97.44,98.0,82.0,86.0,83.78,84.0,1154.54,7136.9,6361.3,7136.9,10.25,63.36,56.47,63.36,0.0,97.0,83.3,97.0,
NVIDIA GeForce GTX 1080 Ti,force,16.0,212638.0,96056.0,11166.0,65.0,94.0,82.28,83.0,54.0,60.0,56.4,54.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,135752.0,136278.0,136091.88,136182.0,94.0,94.0,94.0,94.0,58.0,59.0,58.12,58.0,1144.04,7196.84,4100.16,1284.84,10.16,63.89,36.4,11.41,0.0,97.0,37.91,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,371365.0,382371.0,375140.54,374251.0,72.0,74.0,72.62,73.0,84.0,86.0,85.15,85.0,327.78,6357.68,3491.48,6357.68,4.0,77.61,42.62,77.61,0.0,77.0,36.41,37.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,275.0,275.0,275.0,275.0,48.0,48.0,48.0,48.0,61.0,61.0,61.0,61.0,338.56,6302.46,3746.64,6302.46,4.13,76.93,45.74,76.93,0.0,61.0,30.86,48.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,468725.0,497686.0,479578.78,477048.0,81.0,92.0,90.72,91.0,86.0,90.0,87.72,88.0,338.56,6302.46,5524.64,6302.46,4.13,76.93,67.44,76.93,0.0,92.0,76.17,92.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,441848.0,460567.0,448261.78,446426.0,92.0,92.0,92.0,92.0,88.0,89.0,88.06,88.0,338.56,6302.46,5524.64,6302.46,4.13,76.93,67.44,76.93,0.0,92.0,75.35,92.0,
NVIDIA GeForce RTX 2080 SUPER,force,1270.0,313074.0,175219.4,299289.0,61.0,70.0,63.95,64.0,64.0,83.0,73.95,77.5,338.56,6368.46,3951.05,6368.46,4.13,77.74,48.23,77.74,0.0,73.0,37.74,48.0,
