GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,131109.0,131383.0,131167.22,131114.0,97.0,97.0,97.0,97.0,67.0,68.0,67.56,68.0,2203.79,8252.38,7580.5,8252.38,19.56,73.26,67.3,73.26,6.0,82.0,64.06,80.0,
NVIDIA GeForce GTX 1080 Ti,dict2,73.0,80.0,76.33,75.5,37.0,68.0,64.08,67.0,58.0,60.0,58.58,58.0,1646.09,7657.2,6719.38,7635.95,14.61,67.98,59.65,67.79,2.0,100.0,58.46,72.0,
NVIDIA GeForce GTX 1080 Ti,dict3,129911.0,134961.0,131654.78,130997.0,97.0,98.0,97.83,98.0,82.0,85.0,83.67,83.0,1151.6,7136.9,6616.47,7136.9,10.22,63.36,58.74,63.36,0.0,98.0,83.57,97.0,
NVIDIA GeForce GTX 1080 Ti,dict4,156676.0,163448.0,158414.61,157956.0,93.0,97.0,96.72,97.0,82.0,86.0,83.83,84.0,1145.16,7130.46,6382.35,7130.46,10.17,63.3,56.66,63.3,0.0,98.0,80.75,97.0,
NVIDIA GeForce GTX 1080 Ti,force,6.0,4634.0,1996.79,250.0,63.0,83.0,72.76,68.0,53.0,55.0,53.79,54.0,1144.04,7194.96,5028.25,7194.96,10.16,63.88,44.64,63.88,0.0,98.0,44.37,64.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,56096.0,56187.0,56135.12,56116.0,94.0,94.0,94.0,94.0,60.0,60.0,60.0,60.0,1141.75,7192.4,3804.34,1280.4,10.14,63.85,33.77,11.37,0.0,97.0,34.61,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,153053.0,158528.0,154727.85,154141.0,71.0,74.0,72.38,72.0,84.0,86.0,85.15,85.0,327.78,6357.68,3305.38,445.68,4.0,77.61,40.35,5.44,0.0,77.0,30.3,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,154.0,156.0,154.8,155.0,62.0,63.0,62.4,62.0,61.0,61.0,61.0,61.0,338.56,6302.46,4515.18,6302.46,4.13,76.93,55.12,76.93,0.0,63.0,38.9,59.5,
NVIDIA GeForce RTX 2080 SUPER,dict3,195168.0,204874.0,199427.88,199874.0,91.0,92.0,91.24,91.0,86.0,90.0,87.24,87.0,338.56,6302.46,5525.03,6302.46,4.13,76.93,67.44,76.93,0.0,92.0,77.26,92.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,180897.0,188669.0,183806.28,183732.0,92.0,92.0,92.0,92.0,88.0,88.0,88.0,88.0,338.56,6302.46,5765.56,6302.46,4.13,76.93,70.38,76.93,0.0,92.0,79.91,92.0,
NVIDIA GeForce RTX 2080 SUPER,force,15.0,138658.0,68628.68,14821.0,57.0,69.0,64.84,64.0,61.0,84.0,72.08,69.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,154309.0,159098.0,155964.0,155581.0,71.0,74.0,72.33,72.0,83.0,85.0,84.22,84.0,338.56,6368.46,2894.71,456.46,4.13,77.74,35.34,5.57,0.0,71.0,27.76,0.0,
NVIDIA GeForce RTX 3070,combinator,198337.0,199935.0,198917.85,198755.0,90.0,92.0,90.69,91.0,74.0,80.0,77.54,78.0,356.11,6380.07,3436.54,3445.07,4.35,77.88,41.95,42.05,0.0,75.0,31.71,0.5,
NVIDIA GeForce RTX 3070,dict2,230.0,231.0,230.33,230.0,66.0,67.0,66.67,67.0,60.0,60.0,60.0,60.0,356.11,6314.07,4824.7,6314.07,4.35,77.08,58.9,77.08,0.0,61.0,35.5,50.5,
