GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,67610.0,67788.0,67652.5,67636.5,90.0,97.0,96.12,97.0,66.0,67.0,66.88,67.0,2216.6,7267.25,6699.8,7258.69,19.68,64.52,59.48,64.44,6.0,97.0,76.83,97.0,
NVIDIA GeForce GTX 1080 Ti,dict1,384.0,384.0,384.0,384.0,65.0,65.0,65.0,65.0,57.0,57.0,57.0,57.0,1978.21,6975.11,4483.21,4486.66,17.56,61.92,39.8,39.83,3.0,74.0,24.0,3.0,
NVIDIA GeForce GTX 1080 Ti,dict2,35.0,39.0,36.44,36.0,63.0,68.0,66.67,67.0,57.0,59.0,57.33,57.0,1664.6,6651.65,6148.08,6645.34,14.78,59.05,54.58,59.0,1.0,87.0,68.0,82.0,
NVIDIA GeForce GTX 1080 Ti,dict4,81514.0,85661.0,82491.29,82120.0,96.0,97.0,96.88,97.0,82.0,85.0,83.82,84.0,1148.1,6122.46,5648.2,6122.46,10.19,54.35,50.14,54.35,0.0,100.0,82.96,97.0,
NVIDIA GeForce GTX 1080 Ti,force,1.0,1.0,1.0,1.0,60.0,62.0,60.38,60.0,49.0,49.0,49.0,49.0,1149.44,6192.09,3722.77,3740.09,10.2,54.97,33.05,33.2,0.0,81.0,35.75,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,32492.0,32597.0,32556.62,32561.0,96.0,96.0,96.0,96.0,55.0,55.0,55.0,55.0,1143.98,6189.15,3700.68,4183.15,10.16,54.95,32.85,37.14,0.0,97.0,44.24,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,87267.0,92061.0,88774.54,88342.0,84.0,85.0,84.15,84.0,85.0,88.0,86.23,86.0,327.78,5349.68,2981.48,4330.68,4.0,65.3,36.4,52.86,0.0,73.0,36.83,50.5,
NVIDIA GeForce RTX 2080 SUPER,dict2,77.0,78.0,77.36,77.0,61.0,62.0,61.91,62.0,61.0,61.0,61.0,61.0,338.56,5294.46,4365.35,5294.46,4.13,64.63,53.29,64.63,0.0,66.0,48.94,63.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,101444.0,105794.0,103461.28,103031.0,91.0,92.0,91.11,91.0,85.0,88.0,86.56,86.5,338.56,5294.46,4648.12,5294.46,4.13,64.63,56.74,64.63,1.0,92.0,77.78,92.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,94307.0,99113.0,96146.22,95646.0,91.0,92.0,91.94,92.0,86.0,88.0,87.28,87.0,338.56,5294.46,4648.12,5294.46,4.13,64.63,56.74,64.63,0.0,93.0,77.35,92.0,
NVIDIA GeForce RTX 2080 SUPER,force,7.0,7357.0,3277.88,276.0,60.0,71.0,64.76,64.0,63.0,66.0,64.8,64.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,76854.0,79327.0,77723.5,77468.0,71.0,73.0,72.12,72.0,84.0,86.0,84.62,84.5,338.56,5360.46,2604.83,456.46,4.13,65.44,31.8,5.57,0.0,84.0,31.12,0.0,
NVIDIA GeForce RTX 3070,combinator,98986.0,99781.0,99339.29,99356.5,90.0,91.0,90.71,91.0,75.0,80.0,77.79,78.0,356.11,5380.07,2972.61,3588.07,4.35,65.67,36.29,43.8,0.0,90.0,42.93,30.5,
NVIDIA GeForce RTX 3070,dict2,117.0,119.0,118.14,118.0,57.0,72.0,66.14,67.0,60.0,60.0,60.0,60.0,356.11,5314.07,4260.35,5314.07,4.35,64.87,52.01,64.87,0.0,75.0,53.91,75.0,
NVIDIA GeForce RTX 3070,dict3,107341.0,108240.0,107704.0,107627.0,95.0,96.0,95.94,96.0,72.0,79.0,75.89,76.0,356.11,5314.07,4863.8,5314.07,4.35,64.87,59.37,64.87,0.0,96.0,80.36,95.0,
NVIDIA GeForce RTX 3070,dict4,107316.0,108341.0,107699.5,107461.0,95.0,96.0,95.94,96.0,71.0,79.0,75.33,75.5,356.11,5314.07,4863.39,5314.07,4.35,64.87,59.37,64.87,0.0,96.0,83.86,95.0,
NVIDIA GeForce RTX 3070,force,11.0,4577.0,2363.9,3914.0,60.0,77.0,65.5,66.0,63.0,64.0,63.7,64.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,99825.0,100253.0,100001.11,99982.0,91.0,92.0,91.33,91.0,73.0,76.0,75.0,75.0,500.27,5524.23,2890.12,654.23,6.11,67.43,35.28,7.99,0.0,91.0,38.08,0.0,
NVIDIA GeForce RTX 3090,combinator,150787.0,152933.0,151510.0,151300.0,82.0,84.0,82.85,83.0,82.0,86.0,84.46,85.0,499.16,5621.83,4768.2,5621.83,2.03,22.88,19.4,22.88,0.0,86.0,64.17,78.0,
NVIDIA GeForce RTX 3090,dict2,120.0,121.0,120.5,120.5,40.0,76.0,67.83,73.0,74.0,74.0,74.0,74.0,499.91,5556.58,4609.2,5556.58,2.03,22.61,18.75,22.61,0.0,76.0,57.38,71.0,
NVIDIA GeForce RTX 3090,dict3,174903.0,179483.0,176834.89,176059.0,96.0,97.0,96.39,96.0,82.0,85.0,83.94,84.0,541.8,5599.97,4940.45,5599.97,2.2,22.79,20.1,22.79,0.0,97.0,78.91,96.0,
NVIDIA GeForce RTX 3090,dict4,174197.0,177367.0,175356.76,175178.0,96.0,97.0,96.71,97.0,82.0,86.0,84.12,84.0,541.8,5599.97,4940.36,5599.84,2.2,22.79,20.1,22.79,0.0,97.0,78.09,96.0,
NVIDIA GeForce RTX 3090,force,12.0,3588.0,2135.14,3453.0,53.0,76.0,65.76,63.0,72.0,74.0,72.9,73.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,132871.0,134907.0,133650.67,133547.0,69.0,75.0,70.89,71.0,80.0,83.0,82.11,82.0,520.1,5642.77,4854.77,5642.77,2.12,22.96,19.75,22.96,0.0,87.0,64.31,86.0,
NVIDIA RTX A4000,combinator,90974.0,91958.0,91360.85,91358.0,92.0,94.0,93.0,93.0,79.0,85.0,82.62,83.0,758.86,5824.82,3720.97,5824.82,4.63,35.57,22.72,35.57,0.0,95.0,49.25,75.0,
NVIDIA RTX A4000,dict2,124.0,125.0,124.33,124.0,76.0,76.0,76.0,76.0,73.0,73.0,73.0,73.0,743.42,5743.39,5091.39,5743.39,4.54,35.07,31.09,35.07,0.0,90.0,51.87,61.0,
NVIDIA RTX A4000,dict3,91135.0,92795.0,91860.78,91871.0,92.0,93.0,92.94,93.0,76.0,86.0,81.94,82.5,805.2,5805.17,3971.78,5805.17,4.92,35.45,24.25,35.45,0.0,99.0,57.33,95.0,
NVIDIA RTX A4000,dict4,90907.0,92690.0,91556.61,91454.0,85.0,94.0,92.56,93.0,80.0,87.0,84.17,84.5,830.97,5830.94,5392.01,5826.19,5.07,35.61,32.93,35.58,3.0,96.0,80.43,96.0,
NVIDIA RTX A4000,force,12.0,3666.0,2103.5,3490.5,56.0,79.0,67.35,66.0,75.0,76.0,75.05,75.0,743.73,5809.7,3147.09,905.7,4.54,35.48,19.22,5.53,0.0,97.0,29.35,1.0,
NVIDIA RTX A4000,hybrid,91176.0,91890.0,91416.0,91387.0,92.0,93.0,92.75,93.0,80.0,83.0,81.88,82.0,1124.16,6193.88,3619.47,1289.88,6.86,37.82,22.1,7.88,1.0,95.0,41.91,3.0,
Radeon RX Vega,combinator,69995.0,70303.0,70091.08,70046.0,11.0,95.0,83.85,95.0,68.0,69.0,68.31,68.0,5547.38,6864.41,6395.53,6854.98,34.0,42.1,39.21,42.0,0,0,0,0,
Radeon RX Vega,dict1,400.0,400.0,400.0,400.0,0.0,0.0,0.0,0.0,54.0,54.0,54.0,54.0,4305.16,5601.45,4792.19,4657.51,26.4,34.3,29.36,28.55,0,0,0,0,
Radeon RX Vega,dict2,40.0,40.0,40.0,40.0,21.0,76.0,66.72,72.5,62.0,64.0,62.56,62.5,4579.6,5865.04,5728.08,5864.05,28.1,36.0,35.08,35.9,0,0,0,0,
Radeon RX Vega,dict3,69873.0,70231.0,69984.11,69933.0,11.0,95.0,86.72,94.5,69.0,70.0,69.89,70.0,5026.8,6361.01,6210.47,6351.01,30.8,39.0,38.06,38.9,0,0,0,0,
Radeon RX Vega,dict4,69874.0,70172.0,69949.06,69913.0,14.0,95.0,85.61,94.0,70.0,71.0,70.78,71.0,6852.89,8389.2,8035.75,8187.12,42.0,51.4,49.27,50.2,0,0,0,0,
Radeon RX Vega,force,3.0,3.0,3.0,3.0,23.0,73.0,63.0,73.0,60.0,62.0,61.12,61.0,7626.17,9291.66,8646.19,8291.62,46.7,57.0,53.0,50.8,0,0,0,0,
