GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,1836650.0,1840135.0,1837963.89,1837821.0,93.0,94.0,93.78,94.0,69.0,71.0,70.11,70.0,887.95,5889.25,3927.79,5889.25,7.88,52.28,34.87,52.28,0.0,96.0,50.96,94.0,
NVIDIA GeForce GTX 1080 Ti,dict3,1613217.0,1692844.0,1636384.18,1630345.0,55.0,96.0,86.18,95.0,83.0,91.0,87.82,88.0,1145.16,6077.52,5607.81,6077.52,10.17,53.96,49.79,53.96,0.0,98.0,67.62,89.0,
NVIDIA GeForce GTX 1080 Ti,force,1434.0,926231.0,696402.9,907217.0,76.0,93.0,89.33,92.0,56.0,62.0,59.76,61.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,898903.0,913465.0,906881.67,903819.0,80.0,93.0,90.67,92.0,60.0,62.0,61.11,61.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,combinator,2343201.0,2443313.0,2379936.62,2373006.0,93.0,94.0,93.46,93.0,86.0,89.0,87.31,87.0,327.78,5307.68,3547.96,5307.68,4.0,64.79,43.31,64.79,0.0,67.0,38.56,66.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,2189301.0,2331065.0,2231410.56,2221439.5,84.0,96.0,89.5,89.5,80.0,89.0,86.0,86.0,338.56,5252.46,4582.47,5252.46,4.13,64.12,55.94,64.12,0.0,94.0,74.23,85.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,2168346.0,2289346.0,2220218.29,2215951.0,85.0,94.0,92.94,94.0,85.0,89.0,87.29,87.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,force,727291.0,2472086.0,1916584.65,2378167.0,53.0,94.0,82.82,93.0,72.0,89.0,83.24,86.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,2081561.0,2441537.0,2307678.62,2395237.5,53.0,94.0,81.0,93.0,81.0,89.0,85.12,86.5,338.56,5318.46,2986.47,5318.46,4.13,64.92,36.46,64.92,0.0,93.0,33.24,1.0,
NVIDIA GeForce RTX 3070,combinator,2174352.0,2186966.0,2180871.62,2182456.0,87.0,91.0,87.85,87.0,77.0,81.0,79.31,79.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict3,2104852.0,2178452.0,2121233.33,2116788.5,48.0,95.0,87.83,93.5,73.0,80.0,76.83,77.0,356.11,5272.07,4601.8,5272.07,4.35,64.36,56.17,64.36,0.0,94.0,66.41,87.5,
NVIDIA GeForce RTX 3070,dict4,2320212.0,2375708.0,2340760.72,2332291.5,87.0,94.0,93.11,93.0,74.0,80.0,77.33,77.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,force,109988.0,2376421.0,2137175.14,2371177.0,73.0,95.0,87.93,91.0,69.0,78.0,76.0,77.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,2287674.0,2390408.0,2354460.75,2387085.5,83.0,93.0,89.38,93.0,75.0,78.0,76.75,77.0,489.27,5471.23,3101.62,4449.23,5.97,66.79,37.86,54.31,0.0,93.0,33.9,15.0,
NVIDIA GeForce RTX 3090,combinator,3126602.0,3173997.0,3142275.92,3137577.0,74.0,79.0,74.54,74.0,84.0,86.0,85.31,85.0,541.8,5623.97,3776.79,5623.97,2.2,22.88,15.37,22.88,0.0,81.0,46.28,77.0,
NVIDIA GeForce RTX 3090,dict3,3445350.0,3568002.0,3483253.5,3452903.5,39.0,95.0,80.33,94.0,82.0,86.0,84.06,84.0,543.11,5557.84,4903.87,5557.84,2.21,22.61,19.95,22.61,0.0,95.0,71.13,94.0,
NVIDIA GeForce RTX 3090,force,181907.0,3974806.0,3163089.67,3966480.0,47.0,93.0,84.07,93.0,78.0,85.0,82.4,83.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,3081074.0,3142414.0,3106291.12,3097070.5,44.0,81.0,72.0,74.0,82.0,83.0,82.5,82.5,532.6,5613.27,5105.27,5613.27,2.17,22.84,20.77,22.84,0.0,96.0,71.6,88.0,
NVIDIA RTX A4000,combinator,2082360.0,2104233.0,2091359.15,2090331.0,93.0,94.0,93.92,94.0,83.0,87.0,85.0,85.0,,,,,,,,,,,,,
NVIDIA RTX A4000,dict3,1871561.0,1901949.0,1880899.11,1879404.0,48.0,95.0,74.5,76.5,80.0,87.0,83.67,84.0,842.96,5800.93,4186.2,5800.93,5.15,35.42,25.56,35.42,0.0,96.0,51.97,56.0,
NVIDIA RTX A4000,dict4,2016344.0,2079768.0,2033859.76,2028414.0,48.0,94.0,87.82,93.0,80.0,87.0,84.0,84.0,,,,,,,,,,,,,
NVIDIA RTX A4000,force,1425612.0,2084210.0,1944283.21,2079116.5,65.0,94.0,87.79,94.0,83.0,87.0,85.36,85.5,,,,,,,,,,,,,
NVIDIA RTX A4000,hybrid,2026702.0,2092635.0,2074280.38,2089211.0,74.0,94.0,89.0,94.0,83.0,86.0,84.5,84.5,,,,,,,,,,,,,
Radeon RX Vega,combinator,1552818.0,1565305.0,1556987.0,1555654.0,13.0,44.0,37.92,39.0,62.0,64.0,63.08,63.0,5593.89,7105.91,6600.77,6865.4,34.3,43.6,40.47,42.1,0,0,0,0,
Radeon RX Vega,dict3,1479563.0,1515123.0,1488889.67,1485583.5,23.0,96.0,75.67,94.5,69.0,70.0,69.56,70.0,5010.74,6336.24,6188.47,6335.42,30.7,38.8,37.91,38.8,0,0,0,0,
Radeon RX Vega,dict4,1543838.0,1569505.0,1553362.78,1553557.5,16.0,96.0,49.83,40.0,71.0,72.0,71.67,72.0,,,,,,,,,,,,,
Radeon RX Vega,force,2837.0,1585758.0,1217869.94,1584147.5,22.0,96.0,69.89,86.0,60.0,68.0,65.28,66.5,8197.24,9847.18,9367.64,9722.3,50.3,60.4,57.43,59.6,0,0,0,0,
Radeon RX Vega,hybrid,1553659.0,1557565.0,1556335.0,1556618.5,12.0,96.0,43.0,39.0,57.0,58.0,57.75,58.0,9171.22,10780.43,10275.25,10747.73,56.2,66.1,63.0,65.9,0,0,0,0,
