GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,81665.0,83937.0,82343.88,82137.5,96.0,97.0,96.62,97.0,82.0,85.0,83.5,83.5,2213.52,7253.88,6693.87,7253.88,19.65,64.4,59.43,64.4,6.0,98.0,77.28,97.0,
NVIDIA GeForce GTX 1080 Ti,dict1,389.0,389.0,389.0,389.0,48.0,48.0,48.0,48.0,59.0,59.0,59.0,59.0,1622.02,6611.48,4117.53,4119.39,14.4,58.7,36.55,36.57,0.0,76.0,15.67,3.5,
NVIDIA GeForce GTX 1080 Ti,dict2,35.0,39.0,36.5,36.0,63.0,76.0,67.61,67.0,57.0,59.0,58.0,58.0,1641.34,6628.32,6000.65,6622.01,14.57,58.85,53.27,58.79,3.0,72.0,57.71,69.0,
NVIDIA GeForce GTX 1080 Ti,dict4,81387.0,84654.0,82238.06,81921.0,93.0,97.0,96.56,97.0,82.0,85.0,83.56,83.5,1145.16,6122.46,5689.81,6122.46,10.17,54.35,50.51,54.35,0.0,97.0,84.22,97.0,
NVIDIA GeForce GTX 1080 Ti,force,3.0,3.0,3.0,3.0,67.0,70.0,67.89,68.0,55.0,55.0,55.0,55.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,30684.0,31260.0,31128.75,31249.5,96.0,97.0,96.62,97.0,59.0,59.0,59.0,59.0,1141.41,6184.4,3607.69,1280.4,10.13,54.9,32.03,11.37,0.0,97.0,40.04,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,76990.0,79821.0,77937.77,77695.0,72.0,73.0,72.62,73.0,83.0,86.0,84.85,85.0,327.78,5349.68,3312.34,5349.68,4.0,65.3,40.43,65.3,0.0,73.0,37.79,56.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,79.0,80.0,79.4,79.0,62.0,64.0,63.0,63.0,61.0,61.0,61.0,61.0,338.56,5294.46,4365.91,5294.46,4.13,64.63,53.29,64.63,0.0,64.0,50.44,64.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,99633.0,106352.0,101798.67,101276.0,83.0,92.0,90.22,91.0,86.0,89.0,87.06,87.0,338.56,5294.46,4619.15,5294.46,4.13,64.63,56.39,64.63,0.0,93.0,77.23,92.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,93510.0,98004.0,95123.44,94602.0,91.0,92.0,91.78,92.0,87.0,88.0,87.89,88.0,338.56,5294.46,4843.97,5294.46,4.13,64.63,59.13,64.63,0.0,92.0,79.82,92.0,
