GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,975759.0,976472.0,976081.22,976165.0,95.0,95.0,95.0,95.0,70.0,71.0,70.56,71.0,887.95,5679.25,2155.53,1027.25,7.88,50.42,19.14,9.12,0.0,97.0,16.17,0.0,
NVIDIA GeForce GTX 1080 Ti,dict2,451.0,451.0,451.0,451.0,60.0,60.0,60.0,60.0,61.0,61.0,61.0,61.0,1658.14,6382.79,4020.85,4021.61,14.72,56.67,35.7,35.7,0.0,98.0,28.83,0.0,
NVIDIA GeForce GTX 1080 Ti,dict3,932671.0,992694.0,945594.56,936926.5,28.0,98.0,94.11,98.0,81.0,87.0,84.0,84.0,1142.88,5867.52,3506.07,3506.67,10.15,52.09,31.13,31.13,0.0,97.0,24.83,0.0,
NVIDIA GeForce GTX 1080 Ti,force,24.0,482655.0,317106.86,346052.5,68.0,95.0,83.64,81.0,56.0,62.0,59.68,60.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,478895.0,479586.0,479336.0,479370.5,94.0,95.0,94.12,94.0,61.0,61.0,61.0,61.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,combinator,626201.0,642250.0,630591.21,629256.0,59.0,66.0,63.5,64.5,80.0,84.0,83.21,84.0,327.78,5097.68,3473.84,5097.68,4.0,62.23,42.41,62.23,0.0,67.0,39.73,67.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,1134503.0,1205314.0,1154663.72,1148669.0,83.0,95.0,93.72,95.0,83.0,89.0,87.22,87.0,338.56,5042.46,4401.51,5042.46,4.13,61.55,53.73,61.55,0.0,95.0,79.55,95.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,1092723.0,1131901.0,1103149.17,1100419.5,95.0,95.0,95.0,95.0,87.0,88.0,87.89,88.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,force,4682.0,211102.0,179687.67,208228.0,64.0,68.0,65.67,66.0,67.0,73.0,71.33,72.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,1213326.0,1234768.0,1222335.12,1221514.5,95.0,95.0,95.0,95.0,86.0,87.0,86.25,86.0,338.56,5108.46,2891.07,4044.46,4.13,62.36,35.29,49.37,0.0,61.0,31.8,40.0,
NVIDIA GeForce RTX 3070,combinator,1119940.0,1131333.0,1123487.15,1122641.0,88.0,89.0,88.38,88.0,78.0,82.0,80.38,80.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict3,1103949.0,1159559.0,1117895.39,1113520.5,48.0,95.0,87.78,95.0,82.0,85.0,83.83,84.0,356.11,5064.07,4450.07,5064.07,4.35,61.82,54.32,61.82,0.0,95.0,73.22,93.0,
NVIDIA GeForce RTX 3070,dict4,1172247.0,1209073.0,1188462.11,1188292.5,94.0,95.0,94.72,95.0,83.0,84.0,83.56,84.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,force,100627.0,1235413.0,1023561.12,1234737.0,67.0,95.0,85.47,94.0,69.0,79.0,75.65,77.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,1205969.0,1213521.0,1211492.38,1212695.5,94.0,95.0,94.25,94.0,76.0,79.0,77.62,77.5,499.77,5267.23,3202.63,4851.23,6.1,64.3,39.09,59.22,0.0,94.0,44.1,31.0,
NVIDIA GeForce RTX 3090,combinator,1655625.0,1687665.0,1668506.77,1667870.0,78.0,81.0,78.62,78.0,85.0,86.0,85.77,86.0,540.61,5413.34,3853.34,5413.34,2.2,22.03,15.68,22.03,0.0,87.0,51.38,82.0,
NVIDIA GeForce RTX 3090,dict3,1802495.0,1875037.0,1820122.72,1812267.5,46.0,96.0,86.0,95.0,84.0,87.0,86.06,86.0,541.8,5349.97,4723.06,5349.97,2.2,21.77,19.22,21.77,0.0,96.0,73.09,95.0,
NVIDIA GeForce RTX 3090,force,1123024.0,2039785.0,1888391.86,2038118.0,67.0,94.0,88.57,94.0,79.0,85.0,83.5,84.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,1834085.0,1855977.0,1847601.12,1853973.5,88.0,89.0,88.38,88.0,82.0,84.0,83.25,83.0,520.1,5392.77,4696.77,5392.77,2.12,21.94,19.11,21.94,0.0,93.0,71.14,90.0,
NVIDIA RTX A4000,combinator,1067884.0,1076975.0,1071623.46,1071133.0,94.0,96.0,94.92,95.0,84.0,88.0,86.0,86.0,,,,,,,,,,,,,
NVIDIA RTX A4000,dict3,982464.0,999652.0,989413.5,989005.0,95.0,96.0,95.67,96.0,90.0,91.0,90.33,90.0,842.96,5590.93,4151.07,5590.93,5.15,34.14,25.35,34.14,0.0,97.0,62.34,97.0,
NVIDIA RTX A4000,dict4,1028164.0,1029694.0,1028984.5,1029188.0,95.0,96.0,95.17,95.0,90.0,91.0,90.33,90.0,,,,,,,,,,,,,
NVIDIA RTX A4000,force,3797.0,1068141.0,689153.0,722737.0,55.0,96.0,79.58,87.5,81.0,89.0,85.42,85.0,,,,,,,,,,,,,
NVIDIA RTX A4000,hybrid,1062402.0,1064488.0,1063882.5,1064026.5,95.0,95.0,95.0,95.0,83.0,86.0,84.62,85.0,,,,,,,,,,,,,
Radeon RX Vega,combinator,632567.0,640168.0,634579.92,633440.0,11.0,77.0,57.85,75.0,62.0,64.0,63.54,64.0,5573.81,6888.34,6528.05,6880.39,34.2,42.2,40.02,42.2,0,0,0,0,
Radeon RX Vega,dict3,794593.0,809634.0,799697.76,798112.0,0.0,97.0,74.82,94.0,70.0,71.0,70.59,71.0,5021.58,6541.61,6213.81,6295.04,30.8,40.1,38.09,38.6,0,0,0,0,
Radeon RX Vega,dict4,799457.0,805116.0,801702.47,801430.0,14.0,95.0,83.0,94.0,73.0,73.0,73.0,73.0,,,,,,,,,,,,,
Radeon RX Vega,force,1589.0,810160.0,591721.14,699815.0,19.0,96.0,72.64,77.0,61.0,68.0,65.64,67.0,8096.49,9711.98,9317.54,9681.62,49.6,59.5,57.12,59.3,0,0,0,0,
Radeon RX Vega,hybrid,631968.0,635289.0,633415.62,633367.5,11.0,76.0,56.5,73.5,57.0,58.0,57.75,58.0,9155.84,10798.46,10245.0,10773.22,56.1,66.2,62.8,66.0,0,0,0,0,
