GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,24457.0,24471.0,24465.22,24466.0,96.0,98.0,97.33,97.0,61.0,62.0,61.22,61.0,888.6,7065.25,4344.24,7065.25,7.89,62.72,38.57,62.72,0.0,99.0,49.34,67.0,
NVIDIA GeForce GTX 1080 Ti,dict1,436.0,436.0,436.0,436.0,73.0,73.0,73.0,73.0,58.0,58.0,58.0,58.0,1646.02,7759.04,4702.42,4702.53,14.61,68.88,41.75,41.75,2.0,70.0,33.17,27.5,
NVIDIA GeForce GTX 1080 Ti,dict2,35.0,39.0,36.28,36.0,61.0,67.0,64.61,65.0,57.0,59.0,57.5,57.0,1656.64,7767.29,6769.54,7767.29,14.71,68.96,60.1,68.96,0.0,99.0,70.94,84.0,
NVIDIA GeForce GTX 1080 Ti,dict3,27498.0,27750.0,27555.22,27550.5,97.0,99.0,98.5,99.0,81.0,86.0,83.94,83.0,1145.94,7256.84,6492.8,7256.59,10.17,64.43,57.64,64.42,0.0,99.0,81.83,98.0,
NVIDIA GeForce GTX 1080 Ti,dict4,32270.0,32371.0,32329.22,32341.0,97.0,99.0,98.61,99.0,81.0,84.0,81.78,82.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,force,2.0,2.0,2.0,2.0,70.0,75.0,71.67,71.0,54.0,55.0,54.33,54.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,11832.0,11979.0,11873.88,11832.0,95.0,97.0,96.5,97.0,57.0,58.0,57.25,57.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,combinator,31819.0,32002.0,31884.54,31844.0,97.0,98.0,97.15,97.0,78.0,83.0,81.08,82.0,327.78,6483.68,3714.88,6483.68,4.0,79.15,45.35,79.15,0.0,97.0,47.5,39.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,101.0,101.0,101.0,101.0,63.0,64.0,63.25,63.0,61.0,62.0,61.88,62.0,338.56,6428.46,4951.06,6428.46,4.13,78.47,60.44,78.47,0.0,70.0,51.08,69.5,
NVIDIA GeForce RTX 2080 SUPER,dict3,31114.0,31780.0,31406.0,31357.5,96.0,97.0,96.67,97.0,81.0,86.0,84.0,84.0,338.56,6428.46,5667.6,6428.46,4.13,78.47,69.18,78.47,0.0,98.0,76.21,97.0,
