GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,172469696.0,177670578.0,175181882.38,175179577.0,98.0,98.0,98.0,98.0,59.0,61.0,60.0,60.0,1557.16,4593.81,4087.8,4593.81,13.82,40.78,36.29,40.78,0.0,98.0,73.11,97.0,
NVIDIA GeForce GTX 1080 Ti,dict3,21412170.0,21554424.0,21490078.0,21496859.0,26.0,28.0,26.75,26.5,68.0,69.0,68.75,69.0,1633.02,2746.26,2370.67,2727.38,14.5,24.38,21.05,24.21,0.0,22.0,13.0,17.0,
NVIDIA GeForce GTX 1080 Ti,dict4,71368706.0,72138953.0,71849932.82,71863918.0,44.0,52.0,48.09,48.0,65.0,66.0,65.18,65.0,1145.81,2242.46,2037.17,2242.46,10.17,19.91,18.09,19.91,0.0,53.0,39.12,48.0,
NVIDIA GeForce GTX 1080 Ti,force,28469611.0,49661024.0,47704971.86,49375986.5,94.0,96.0,94.14,94.0,52.0,52.0,52.0,52.0,1142.79,4183.65,2890.92,4183.65,10.15,37.14,25.67,37.14,0.0,94.0,42.16,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,46090049.0,47856353.0,46708364.08,46427867.5,94.0,95.0,94.08,94.0,50.0,51.0,50.92,51.0,1146.06,4182.71,2992.47,4182.71,10.17,37.13,26.57,37.13,0.0,96.0,37.03,11.5,
NVIDIA GeForce RTX 2080 SUPER,combinator,338741187.0,339373186.0,338943876.08,338916367.0,95.0,95.0,95.0,95.0,80.0,84.0,82.69,83.0,327.78,3341.68,2091.86,3341.68,4.0,40.79,25.54,40.79,0.0,91.0,46.18,58.5,
NVIDIA GeForce RTX 2080 SUPER,dict3,23160940.0,25114460.0,24058331.0,23978962.0,21.0,26.0,23.75,24.0,54.0,55.0,54.25,54.0,338.56,2082.46,1307.61,2082.46,4.13,25.42,15.96,25.42,0.0,22.0,11.0,13.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,95681489.0,101525656.0,97539274.5,97303009.5,34.0,40.0,37.12,37.5,66.0,73.0,69.62,69.5,338.56,2082.46,1680.17,2082.46,4.13,25.42,20.51,25.42,0.0,40.0,28.62,35.0,
NVIDIA GeForce RTX 2080 SUPER,force,190437667.0,311370594.0,298926195.38,310843831.0,63.0,93.0,88.23,93.0,69.0,80.0,76.85,78.0,338.56,3356.46,1950.39,3356.46,4.13,40.97,23.81,40.97,0.0,93.0,42.72,30.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,278877872.0,322686314.0,306601733.8,312788711.5,34.0,92.0,76.2,84.0,69.0,78.0,74.2,75.0,338.56,3352.46,2213.92,3352.46,4.13,40.92,27.03,40.92,0.0,93.0,38.13,37.0,
NVIDIA GeForce RTX 3070,combinator,571371589.0,574755280.0,572448366.38,572123925.0,85.0,91.0,89.15,89.0,76.0,80.0,78.0,78.0,356.11,3392.07,2145.97,3392.07,4.35,41.41,26.2,41.41,0.0,99.0,48.79,90.0,
NVIDIA GeForce RTX 3070,dict3,27006078.0,27673445.0,27397544.0,27513109.0,8.0,12.0,10.67,12.0,68.0,68.0,68.0,68.0,356.11,2076.07,1431.33,2076.07,4.35,25.34,17.47,25.34,0.0,12.0,7.25,11.0,
NVIDIA GeForce RTX 3070,dict4,99838348.0,105120225.0,102096747.38,102333151.5,30.0,34.0,31.38,30.5,64.0,67.0,65.25,65.5,356.11,2076.07,1830.45,2076.07,4.35,25.34,22.34,25.34,0.0,39.0,22.71,26.0,
NVIDIA GeForce RTX 3070,force,233127714.0,385395553.0,371321183.36,384381840.0,88.0,95.0,90.29,90.0,70.0,73.0,71.64,72.0,356.11,3396.07,1936.82,1988.07,4.35,41.46,23.64,24.27,0.0,91.0,36.88,0.0,
NVIDIA GeForce RTX 3070,hybrid,477514412.0,604058966.0,574196410.94,598736246.0,27.0,93.0,82.29,92.0,67.0,76.0,72.82,73.0,436.54,3471.52,2057.82,2641.52,5.33,42.38,25.12,32.25,0.0,93.0,32.32,3.5,
NVIDIA GeForce RTX 3090,combinator,976445314.0,985025694.0,979471248.62,978694434.0,90.0,90.0,90.0,90.0,79.0,82.0,80.77,81.0,498.06,3642.73,3119.4,3642.73,2.03,14.82,12.69,14.82,0.0,97.0,72.83,93.0,
NVIDIA GeForce RTX 3090,dict3,29961933.0,30981658.0,30567829.67,30759898.0,4.0,7.0,5.67,6.0,76.0,76.0,76.0,76.0,540.23,3585.84,2824.98,3585.84,2.2,14.59,11.49,14.59,0.0,8.0,4.38,5.5,
NVIDIA GeForce RTX 3090,dict4,67006312.0,77504541.0,71806921.92,71146590.0,15.0,39.0,25.0,23.0,72.0,77.0,74.0,73.0,540.61,3583.34,3076.38,3583.34,2.2,14.58,12.52,14.58,0.0,36.0,15.56,15.0,
NVIDIA GeForce RTX 3090,force,421881107.0,702385953.0,679809772.47,695419328.0,24.0,92.0,85.05,88.0,78.0,84.0,81.79,82.0,723.67,3876.34,2692.36,3876.34,2.94,15.77,10.96,15.77,0.0,93.0,49.23,79.5,
NVIDIA GeForce RTX 3090,hybrid,680430804.0,1002848012.0,923481520.94,981337433.0,35.0,94.0,83.0,93.0,78.0,82.0,79.88,80.0,498.32,3641.66,2917.19,3641.66,2.03,14.82,11.87,14.82,3.0,97.0,31.77,12.0,
NVIDIA RTX A4000,combinator,523120753.0,526815539.0,524350493.92,524017408.0,90.0,93.0,90.92,91.0,81.0,85.0,82.92,83.0,1011.36,4073.32,2659.71,4073.32,6.18,24.87,16.24,24.87,7.0,98.0,53.55,30.0,
NVIDIA RTX A4000,dict3,27100904.0,27558604.0,27354105.0,27402807.0,9.0,13.0,11.67,13.0,80.0,81.0,80.33,80.0,574.05,2368.02,1287.49,736.02,3.51,14.46,7.86,4.49,0.0,28.0,5.68,1.0,
NVIDIA RTX A4000,dict4,95093688.0,97018440.0,95765382.12,95735029.5,29.0,43.0,34.62,34.5,79.0,83.0,80.88,81.0,704.06,2535.83,2275.45,2515.73,4.3,15.49,13.9,15.36,0.0,47.0,25.23,25.0,
NVIDIA RTX A4000,force,0.0,366341222.0,326259684.21,364419608.0,48.0,92.0,84.5,90.0,80.0,86.0,83.5,84.0,702.66,3770.63,2409.11,3770.63,4.29,23.03,14.71,23.03,0.0,98.0,48.48,65.0,
NVIDIA RTX A4000,hybrid,462557868.0,549238098.0,522396602.83,543786203.5,39.0,94.0,86.28,93.0,79.0,85.0,82.17,82.5,911.89,3973.86,2894.46,3973.86,5.57,24.27,17.67,24.27,0.0,92.0,37.07,19.0,
Radeon RX Vega,combinator,65314524.0,65566902.0,65396541.0,65380254.0,16.0,45.0,39.46,42.0,57.0,58.0,57.92,58.0,9353.19,10610.58,10288.98,10341.61,57.3,65.0,63.07,63.4,0,0,0,0,
Radeon RX Vega,dict3,7629322.0,7759613.0,7680976.25,7674496.5,0.0,34.0,3.44,1.0,72.0,73.0,72.25,72.0,4575.83,5901.21,5675.0,5900.69,28.1,36.2,34.81,36.2,0,0,0,0,
Radeon RX Vega,dict4,33119214.0,34673293.0,33556901.78,33361145.5,0.0,59.0,34.67,49.0,73.0,73.0,73.0,73.0,6969.61,8286.88,8061.51,8273.45,42.7,50.8,49.42,50.7,0,0,0,0,
Radeon RX Vega,force,106392435.0,142127079.0,136809106.85,142030847.0,15.0,95.0,59.38,57.0,71.0,72.0,71.85,72.0,7680.2,8932.16,8548.67,8773.35,47.1,54.8,52.41,53.8,0,0,0,0,
Radeon RX Vega,hybrid,62678574.0,65948674.0,64036264.45,63483826.0,16.0,55.0,40.45,42.0,60.0,62.0,61.36,61.0,8312.3,9945.7,9648.17,9920.5,51.0,61.0,59.14,60.8,0,0,0,0,
