GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,445732420.0,459368681.0,453511519.38,454954771.5,90.0,97.0,95.62,96.0,62.0,65.0,63.0,62.5,1556.52,4573.44,4076.26,4573.44,13.82,40.6,36.19,40.6,0.0,97.0,78.28,96.0,
NVIDIA GeForce GTX 1080 Ti,dict3,37694651.0,37884063.0,37789357.0,37789357.0,25.0,28.0,26.5,26.5,69.0,69.0,69.0,69.0,1721.03,2860.14,2562.53,2826.45,15.28,25.39,22.75,25.09,2.0,30.0,17.12,23.5,
NVIDIA GeForce GTX 1080 Ti,dict4,88014711.0,89221084.0,88565015.67,88533357.0,30.0,43.0,38.22,40.0,64.0,65.0,64.78,65.0,1148.1,2240.46,1997.79,2240.46,10.19,19.89,17.74,19.89,0.0,51.0,37.78,47.0,
NVIDIA GeForce GTX 1080 Ti,force,67321854.0,270891146.0,251500053.36,270284924.5,90.0,97.0,92.21,92.0,53.0,54.0,53.93,54.0,1145.35,4176.09,3084.02,4176.09,10.17,37.07,27.38,37.07,0.0,96.0,50.1,71.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,143353127.0,147594071.0,145328818.09,144488137.0,73.0,96.0,93.82,96.0,52.0,52.0,52.0,52.0,1141.62,4168.27,3088.51,4168.27,10.14,37.01,27.42,37.01,0.0,97.0,42.41,11.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,808684033.0,812838911.0,811280548.46,811591026.0,97.0,97.0,97.0,97.0,85.0,88.0,86.31,86.0,327.78,3333.68,2144.05,3333.68,4.0,40.69,26.17,40.69,0.0,91.0,51.56,91.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,24653420.0,26145520.0,25315825.75,25232181.5,19.0,22.0,21.25,22.0,53.0,53.0,53.0,53.0,338.56,2078.46,1413.32,1822.46,4.13,25.37,17.25,22.25,0.0,30.0,15.33,20.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,30292657.0,38667561.0,33786497.89,32811305.0,11.0,40.0,25.78,28.5,57.0,64.0,59.17,58.0,338.56,2078.46,1867.95,2078.46,4.13,25.37,22.8,25.37,0.0,27.0,17.61,23.0,
NVIDIA GeForce RTX 2080 SUPER,force,244365110.0,1516212597.0,1392724096.72,1491500823.0,63.0,93.0,85.78,91.0,73.0,88.0,84.11,86.0,338.56,3344.46,2094.18,3344.46,4.13,40.83,25.56,40.83,0.0,94.0,46.36,59.5,
NVIDIA GeForce RTX 2080 SUPER,hybrid,539642361.0,708234053.0,676101511.41,704827996.0,38.0,92.0,79.24,91.0,68.0,84.0,79.71,83.0,338.56,3344.46,2108.24,3344.46,4.13,40.83,25.74,40.83,0.0,94.0,41.96,23.5,
