GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,2085703.0,2188736.0,2136066.78,2128888.0,59.0,62.0,60.67,60.0,60.0,63.0,61.33,61.0,2181.02,7265.67,6419.07,7265.67,19.36,64.5,56.99,64.5,0.0,97.0,54.17,68.0,
NVIDIA GeForce GTX 1080 Ti,dict3,3504166.0,3677383.0,3560036.33,3547796.5,26.0,97.0,86.72,97.0,75.0,85.0,82.0,82.0,1149.91,6169.21,5514.58,6169.21,10.21,54.77,48.96,54.77,0.0,97.0,73.65,96.0,
NVIDIA GeForce GTX 1080 Ti,dict4,4521049.0,4589968.0,4554357.89,4544381.0,96.0,97.0,96.39,96.0,81.0,85.0,83.17,83.0,1146.41,6167.21,5512.51,6167.21,10.18,54.75,48.94,54.75,0.0,97.0,78.22,96.0,
NVIDIA GeForce GTX 1080 Ti,force,403406.0,3276222.0,2111592.35,3229585.0,55.0,95.0,80.8,94.0,54.0,60.0,57.25,58.5,1145.0,6229.65,4975.98,6229.65,10.17,55.31,44.18,55.31,0.0,97.0,56.83,59.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,1104927.0,1482545.0,1228182.5,1188549.0,20.0,63.0,49.5,59.0,54.0,55.0,54.12,54.0,1141.75,6226.4,5151.83,6226.4,10.14,55.28,45.74,55.28,0.0,69.0,36.61,39.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,2835129.0,2845872.0,2840812.46,2840229.0,68.0,72.0,69.15,69.0,78.0,82.0,80.23,80.0,327.78,5391.68,4026.78,5391.68,4.0,65.82,49.15,65.82,0.0,64.0,45.09,64.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,3742922.0,3917546.0,3791018.11,3772797.0,80.0,95.0,91.67,95.0,82.0,86.0,85.22,85.5,338.56,5336.46,4684.86,5336.46,4.13,65.14,57.19,65.14,0.0,95.0,77.91,95.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,3756469.0,3773267.0,3762640.22,3762565.0,94.0,95.0,94.89,95.0,86.0,88.0,86.83,87.0,338.56,5336.46,4655.42,5336.46,4.13,65.14,56.83,65.14,0.0,95.0,79.27,95.0,
NVIDIA GeForce RTX 2080 SUPER,force,1929905.0,4315151.0,3932683.08,4297409.0,51.0,95.0,86.38,95.0,70.0,84.0,81.08,84.0,338.56,5402.46,3972.57,5402.46,4.13,65.95,48.49,65.95,0.0,95.0,57.05,67.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,2630542.0,2727306.0,2699226.56,2704427.0,63.0,73.0,66.11,66.0,75.0,80.0,78.33,79.0,338.56,5402.46,3636.12,5402.46,4.13,65.95,44.39,65.95,0.0,58.0,33.24,52.0,
NVIDIA GeForce RTX 3070,combinator,6431873.0,6509768.0,6458128.54,6451215.0,73.0,78.0,76.62,77.0,78.0,81.0,79.77,80.0,356.11,5422.07,4109.36,5422.07,4.35,66.19,50.16,66.19,0.0,95.0,54.1,73.0,
NVIDIA GeForce RTX 3070,dict3,6731114.0,6953150.0,6805699.83,6779638.5,38.0,95.0,77.94,94.0,79.0,83.0,82.11,83.0,356.11,5356.07,4703.99,5356.07,4.35,65.38,57.42,65.38,0.0,95.0,54.48,45.0,
NVIDIA GeForce RTX 3070,dict4,7548486.0,7662268.0,7601246.67,7608806.0,85.0,95.0,93.44,95.0,81.0,84.0,83.33,84.0,356.11,5356.07,4703.99,5356.07,4.35,65.38,57.42,65.38,0.0,95.0,78.61,94.0,
NVIDIA GeForce RTX 3070,force,312914.0,8334066.0,7292860.93,8315307.5,62.0,94.0,87.57,93.5,65.0,76.0,72.79,73.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,5454209.0,6572245.0,6218059.81,6436328.5,31.0,80.0,72.94,76.5,74.0,78.0,76.31,76.5,500.27,5566.23,4206.73,5566.23,6.11,67.95,51.35,67.95,0.0,79.0,47.45,67.5,
NVIDIA GeForce RTX 3090,combinator,8546576.0,8856842.0,8640297.23,8582422.0,66.0,71.0,67.69,66.0,84.0,86.0,85.23,85.0,499.16,5661.83,4801.53,5661.83,2.03,23.04,19.54,23.04,0.0,77.0,53.56,66.0,
NVIDIA GeForce RTX 3090,dict3,10909395.0,11392200.0,11090866.45,11080628.0,26.0,96.0,79.27,94.0,84.0,86.0,84.82,85.0,541.67,5637.34,5000.41,5637.34,2.2,22.94,20.35,22.94,0.0,95.0,62.12,94.0,
NVIDIA GeForce RTX 3090,dict4,12247396.0,12528194.0,12371440.5,12321412.5,94.0,96.0,94.56,94.5,86.0,86.0,86.0,86.0,540.61,5637.34,4972.67,5637.34,2.2,22.94,20.23,22.94,0.0,95.0,75.48,94.0,
NVIDIA GeForce RTX 3090,force,273797.0,13505399.0,12077480.22,13408811.0,63.0,94.0,85.39,93.0,77.0,85.0,82.78,84.0,723.67,5886.34,4879.56,5886.34,2.94,23.95,19.85,23.95,0.0,95.0,64.1,84.0,
NVIDIA GeForce RTX 3090,hybrid,8168449.0,9339310.0,8295695.67,8202449.0,65.0,68.0,66.92,67.0,79.0,84.0,82.92,83.0,515.38,5689.43,5073.44,5678.05,2.1,23.15,20.64,23.1,0.0,86.0,52.0,68.0,
NVIDIA RTX A4000,combinator,5720516.0,5802178.0,5753568.38,5751087.0,78.0,79.0,78.31,78.0,84.0,88.0,86.23,86.0,983.44,6091.41,4657.11,6085.59,6.01,37.2,28.44,37.16,2.0,97.0,46.95,64.0,
NVIDIA RTX A4000,dict3,5977288.0,6140157.0,6024863.28,6015542.0,38.0,96.0,89.56,95.0,89.0,90.0,89.67,90.0,723.32,5765.29,4620.6,5765.29,4.42,35.21,28.22,35.21,0.0,97.0,66.27,96.0,
NVIDIA RTX A4000,dict4,6643689.0,6673328.0,6655326.44,6653618.0,95.0,95.0,95.0,95.0,90.0,91.0,90.22,90.0,838.27,5878.25,5374.35,5878.25,5.12,35.9,32.82,35.9,0.0,98.0,81.95,97.0,
NVIDIA RTX A4000,force,496236.0,7213039.0,6371070.0,7194884.5,67.0,96.0,88.86,94.5,81.0,86.0,83.86,84.0,,,,,,,,,,,,,
NVIDIA RTX A4000,hybrid,5679316.0,5879033.0,5758131.2,5762815.0,59.0,79.0,75.87,79.0,83.0,87.0,85.33,86.0,1041.16,6149.12,5141.43,6138.0,6.36,37.55,31.4,37.48,4.0,98.0,59.04,81.0,
Radeon RX Vega,combinator,4882437.0,4924931.0,4910309.69,4910672.0,9.0,80.0,49.69,49.0,68.0,69.0,68.77,69.0,9167.66,10952.02,10549.78,10943.71,56.2,67.1,64.67,67.1,0,0,0,0,
