GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,1103138.0,1111673.0,1105704.75,1104626.0,90.0,97.0,95.5,96.0,64.0,65.0,64.75,65.0,888.29,6303.62,4678.54,6301.25,7.89,55.96,41.54,55.94,0.0,97.0,59.0,95.0,
NVIDIA GeForce GTX 1080 Ti,dict3,832256.0,878772.0,847937.89,844947.5,35.0,96.0,60.89,58.5,79.0,83.0,81.5,82.0,1142.88,6489.52,5792.36,6489.52,10.15,57.61,51.42,57.61,0.0,97.0,56.57,66.0,
NVIDIA GeForce GTX 1080 Ti,dict4,1253998.0,1286939.0,1264155.11,1263162.5,74.0,96.0,94.78,96.0,80.0,84.0,83.11,83.5,1145.0,6491.65,5794.42,6491.65,10.17,57.63,51.44,57.63,0.0,98.0,79.04,96.0,
NVIDIA GeForce GTX 1080 Ti,force,54283.0,677688.0,596298.63,662021.0,95.0,97.0,96.47,97.0,57.0,58.0,57.89,58.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,163364.0,224751.0,182986.86,175539.0,99.0,100.0,99.43,99.0,57.0,58.0,57.14,57.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,combinator,1031165.0,1052224.0,1038877.08,1036729.0,96.0,97.0,96.08,96.0,85.0,87.0,85.92,86.0,327.78,5691.68,4079.73,5691.68,4.0,69.48,49.8,69.48,0.0,97.0,60.09,96.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,1071961.0,1132336.0,1096808.11,1097316.5,69.0,79.0,76.44,78.0,83.0,90.0,86.56,87.0,338.56,5636.46,4974.3,5636.46,4.13,68.8,60.72,68.8,0.0,79.0,63.04,76.5,
NVIDIA GeForce RTX 2080 SUPER,dict4,1407828.0,1444587.0,1420081.0,1407828.0,86.0,95.0,89.0,86.0,88.0,91.0,90.0,91.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,force,491658.0,3179712.0,2122468.0,3120660.5,57.0,91.0,78.67,90.0,66.0,87.0,78.33,84.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,1079160.0,1096928.0,1089482.5,1089121.0,87.0,96.0,92.25,94.5,82.0,86.0,84.62,85.0,338.56,5702.46,3475.1,5702.46,4.13,69.61,42.42,69.61,0.0,96.0,51.74,86.0,
