GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,166.0,166.0,166.0,166.0,99.0,99.0,99.0,99.0,56.0,56.0,56.0,56.0,1584.79,3038.75,2911.46,3031.56,14.07,26.98,25.85,26.91,0.0,99.0,83.5,98.0,
NVIDIA GeForce GTX 1080 Ti,dict1,13.0,13.0,13.0,13.0,98.0,99.0,98.94,99.0,60.0,60.0,60.0,60.0,1645.56,3036.36,2932.36,3024.86,14.61,26.96,26.03,26.85,2.0,99.0,86.72,98.0,
NVIDIA GeForce GTX 1080 Ti,dict2,1.0,1.0,1.0,1.0,98.0,99.0,98.94,99.0,58.0,58.0,58.0,58.0,1657.49,3046.79,2951.0,3046.79,14.71,27.05,26.2,27.05,0.0,100.0,87.48,98.0,
NVIDIA GeForce GTX 1080 Ti,dict3,192.0,192.0,192.0,192.0,98.0,99.0,98.79,99.0,73.0,73.0,73.0,73.0,1142.23,2531.52,2435.73,2531.52,10.14,22.47,21.62,22.47,0.0,99.0,88.28,98.0,
NVIDIA GeForce GTX 1080 Ti,dict4,217.0,217.0,217.0,217.0,98.0,99.0,98.06,98.0,67.0,67.0,67.0,67.0,1145.16,2534.46,2438.77,2534.46,10.17,22.5,21.65,22.5,0.0,99.0,85.9,98.0,
NVIDIA GeForce GTX 1080 Ti,force,83.0,83.0,83.0,83.0,99.0,99.0,99.0,99.0,51.0,51.0,51.0,51.0,1145.16,2602.59,2063.45,2602.59,10.17,23.11,18.32,23.11,0.0,99.0,55.8,98.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,85.0,85.0,85.0,85.0,99.0,99.0,99.0,99.0,50.0,50.0,50.0,50.0,1146.19,2600.84,1993.04,2600.84,10.18,23.09,17.69,23.09,0.0,99.0,49.52,70.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,358.0,360.0,358.69,358.0,96.0,96.0,96.0,96.0,69.0,70.0,69.62,70.0,327.78,1761.68,1212.89,1761.68,4.0,21.5,14.81,21.5,0.0,96.0,50.32,93.0,
NVIDIA GeForce RTX 2080 SUPER,dict1,22.0,22.0,22.0,22.0,96.0,96.0,96.0,96.0,62.0,62.0,62.0,62.0,327.78,1695.68,1213.19,1695.68,4.0,20.7,14.81,20.7,0.0,95.0,58.65,95.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,3.0,3.0,3.0,3.0,95.0,96.0,95.95,96.0,62.0,63.0,62.05,62.0,338.56,1706.46,1601.27,1706.46,4.13,20.83,19.55,20.83,0.0,96.0,83.08,95.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,352.0,354.0,352.67,352.5,95.0,95.0,95.0,95.0,68.0,71.0,69.78,70.0,338.56,1706.46,1548.7,1706.46,4.13,20.83,18.91,20.83,0.0,96.0,82.65,95.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,352.0,354.0,353.28,353.5,95.0,95.0,95.0,95.0,80.0,82.0,80.89,81.0,338.56,1706.46,1548.7,1706.46,4.13,20.83,18.91,20.83,0.0,96.0,82.62,95.0,
NVIDIA GeForce RTX 2080 SUPER,force,359.0,360.0,359.38,359.0,96.0,96.0,96.0,96.0,69.0,71.0,70.25,70.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,358.0,360.0,358.67,358.0,95.0,96.0,95.89,96.0,68.0,69.0,68.78,69.0,338.56,1772.46,1079.64,456.46,4.13,21.64,13.18,5.57,0.0,96.0,40.9,0.0,
NVIDIA GeForce RTX 3070,combinator,262.0,263.0,262.07,262.0,96.0,97.0,96.93,97.0,65.0,65.0,65.0,65.0,356.11,1826.07,1290.9,1826.07,4.35,22.29,15.76,22.29,0.0,99.0,54.54,96.0,
NVIDIA GeForce RTX 3070,dict1,7.0,8.0,7.94,8.0,96.0,97.0,96.94,97.0,56.0,57.0,56.56,57.0,356.11,1760.07,1324.36,1760.07,4.35,21.49,16.17,21.49,0.0,99.0,60.97,96.0,
NVIDIA GeForce RTX 3070,dict2,2.0,2.0,2.0,2.0,96.0,97.0,96.94,97.0,60.0,60.0,60.0,60.0,356.11,1760.07,1656.11,1760.07,4.35,21.49,20.22,21.49,0.0,99.0,85.44,96.0,
NVIDIA GeForce RTX 3070,dict3,258.0,260.0,258.83,259.0,92.0,97.0,96.67,97.0,70.0,72.0,70.83,71.0,356.11,1760.07,1604.15,1760.07,4.35,21.49,19.58,21.49,0.0,99.0,81.48,96.0,
NVIDIA GeForce RTX 3070,dict4,257.0,259.0,258.5,259.0,96.0,97.0,96.89,97.0,70.0,73.0,71.17,71.0,356.11,1760.07,1656.11,1760.07,4.35,21.49,20.22,21.49,0.0,99.0,85.78,96.0,
NVIDIA GeForce RTX 3070,force,262.0,262.0,262.0,262.0,96.0,97.0,96.89,97.0,66.0,66.0,66.0,66.0,356.11,1826.07,1225.56,1826.07,4.35,22.29,14.96,22.29,0.0,99.0,50.07,96.0,
