GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,289432384.0,289496147.0,289463692.25,289457651.5,95.0,95.0,95.0,95.0,62.0,63.0,62.75,63.0,2274.92,5323.45,4797.51,5294.73,20.2,47.26,42.59,47.01,1.0,96.0,74.11,95.0,
NVIDIA GeForce GTX 1080 Ti,dict3,21182942.0,21407367.0,21276265.25,21257376.0,20.0,28.0,25.0,26.0,68.0,69.0,68.75,69.0,1151.66,2236.96,1875.34,2236.96,10.22,19.86,16.65,19.86,0.0,23.0,13.67,17.0,
NVIDIA GeForce GTX 1080 Ti,dict4,72170736.0,72328768.0,72281132.64,72304490.0,47.0,53.0,49.91,50.0,67.0,68.0,67.09,67.0,1145.81,2230.46,2027.42,2230.46,10.17,19.8,18.0,19.8,0.0,53.0,39.81,47.5,
NVIDIA GeForce GTX 1080 Ti,force,29262744.0,66016651.0,61379889.71,65784128.0,86.0,96.0,91.86,92.0,54.0,55.0,54.86,55.0,1145.0,4171.65,2988.33,4171.65,10.17,37.04,26.53,37.04,0.0,96.0,47.0,55.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,160615604.0,172467651.0,163281260.55,162293900.0,35.0,95.0,89.27,95.0,56.0,57.0,56.91,57.0,1146.19,4172.84,2961.95,4172.84,10.18,37.05,26.3,37.05,0.0,95.0,39.9,8.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,647587011.0,677132102.0,657922798.77,655717997.0,89.0,90.0,89.69,90.0,86.0,90.0,86.77,87.0,327.78,3333.68,2130.54,3333.68,4.0,40.69,26.01,40.69,0.0,90.0,46.93,80.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,23533029.0,25206292.0,24170022.0,23970383.5,23.0,25.0,24.25,24.5,58.0,58.0,58.0,58.0,338.56,2070.46,1421.24,2070.46,4.13,25.27,17.35,25.27,0.0,19.0,11.62,14.5,
NVIDIA GeForce RTX 2080 SUPER,dict4,96700995.0,101649667.0,99394269.75,99827279.0,33.0,40.0,36.5,36.0,73.0,79.0,76.5,77.5,338.56,2070.46,1804.09,2070.46,4.13,25.27,22.02,25.27,0.0,40.0,28.23,34.0,
NVIDIA GeForce RTX 2080 SUPER,force,261062055.0,496395631.0,462561282.42,470873997.5,59.0,96.0,88.67,94.0,75.0,89.0,85.67,86.0,338.56,3344.46,2498.43,3344.46,4.13,40.83,30.5,40.83,0.0,94.0,60.55,87.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,0.0,688256761.0,616638510.29,665171816.0,60.0,92.0,83.94,92.0,79.0,89.0,85.12,86.0,338.56,3344.46,2052.21,3344.46,4.13,40.83,25.05,40.83,0.0,93.0,39.7,27.0,
