GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,6355.0,6371.0,6360.0,6358.0,95.0,96.0,95.78,96.0,67.0,68.0,67.89,68.0,2199.0,6906.3,5493.84,6905.73,19.52,61.31,48.77,61.31,0.0,97.0,43.6,53.5,
NVIDIA GeForce GTX 1080 Ti,dict1,24.0,24.0,24.0,24.0,85.0,91.0,89.89,90.0,57.0,58.0,57.39,57.0,1602.31,6251.11,5742.99,6235.86,14.23,55.5,50.99,55.36,2.0,93.0,72.11,88.0,
NVIDIA GeForce GTX 1080 Ti,dict2,2.0,2.0,2.0,2.0,90.0,92.0,91.11,91.0,57.0,58.0,57.17,57.0,1678.85,6327.15,5684.08,6324.46,14.9,56.17,50.46,56.15,0.0,93.0,73.18,90.0,
NVIDIA GeForce GTX 1080 Ti,dict4,7837.0,8154.0,7906.89,7868.0,97.0,98.0,97.83,98.0,82.0,86.0,83.5,83.0,1148.1,5789.21,5443.72,5786.46,10.19,51.4,48.33,51.37,0.0,98.0,79.74,97.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,0.0,0.0,0.0,91.0,92.0,91.11,91.0,53.0,53.0,53.0,53.0,1144.12,5851.65,5108.29,5851.65,10.16,51.95,45.35,51.95,0.0,97.0,68.79,93.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,3328.0,3335.0,3332.25,3332.5,94.0,95.0,94.25,94.0,56.0,57.0,56.25,56.0,1146.19,5852.84,3555.04,3568.84,10.18,51.96,31.56,31.68,0.0,98.0,38.63,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,9713.0,9976.0,9779.69,9719.0,94.0,95.0,94.08,94.0,85.0,89.0,87.0,87.0,327.78,5013.68,2788.23,5013.68,4.0,61.2,34.04,61.2,0.0,95.0,45.76,41.0,
NVIDIA GeForce RTX 2080 SUPER,dict1,63.0,65.0,63.64,63.0,65.0,69.0,66.36,66.0,62.0,62.0,62.0,62.0,327.78,4947.68,3072.65,4947.68,4.0,60.4,37.51,60.4,0.0,73.0,40.55,69.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,6.0,6.0,6.0,6.0,65.0,69.0,66.28,66.0,61.0,61.0,61.0,61.0,338.56,4958.46,4404.47,4958.46,4.13,60.53,53.77,60.53,0.0,78.0,64.28,76.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,9676.0,10088.0,9828.17,9797.5,93.0,93.0,93.0,93.0,86.0,88.0,86.78,86.5,338.56,4958.46,4404.11,4958.46,4.13,60.53,53.76,60.53,0.0,94.0,77.92,94.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,9135.0,9681.0,9299.94,9254.0,93.0,94.0,93.72,94.0,87.0,88.0,87.22,87.0,338.56,4958.46,4404.11,4958.46,4.13,60.53,53.76,60.53,0.0,94.0,77.84,94.0,
NVIDIA GeForce RTX 2080 SUPER,force,0.0,0.0,0.0,0.0,66.0,69.0,67.0,67.0,64.0,66.0,64.88,65.0,338.56,5024.46,2817.75,5024.46,4.13,61.33,34.4,61.33,0.0,74.0,32.92,31.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,9925.0,10148.0,10011.62,10000.0,94.0,94.0,94.0,94.0,85.0,88.0,86.62,87.0,338.56,5024.46,2401.61,456.46,4.13,61.33,29.32,5.57,0.0,94.0,36.64,0.0,
NVIDIA GeForce RTX 3070,combinator,9916.0,9963.0,9929.07,9916.0,93.0,94.0,93.93,94.0,75.0,81.0,78.36,78.5,356.11,5046.07,2910.23,5046.07,4.35,61.6,35.53,61.6,0.0,93.0,44.97,33.5,
NVIDIA GeForce RTX 3070,dict1,122.0,122.0,122.0,122.0,65.0,74.0,70.5,71.5,55.0,56.0,55.33,55.0,356.11,4980.07,2624.03,510.07,4.35,60.79,32.03,6.23,0.0,73.0,27.71,0.0,
NVIDIA GeForce RTX 3070,dict2,12.0,12.0,12.0,12.0,68.0,74.0,70.78,71.0,59.0,60.0,59.89,60.0,356.11,4980.07,4402.12,4980.07,4.35,60.79,53.74,60.79,0.0,75.0,59.25,72.0,
NVIDIA GeForce RTX 3070,dict3,9803.0,9860.0,9823.0,9821.0,94.0,95.0,94.06,94.0,78.0,83.0,81.06,81.0,356.11,4980.07,4402.16,4980.07,4.35,60.79,53.74,60.79,0.0,94.0,75.58,93.0,
NVIDIA GeForce RTX 3070,dict4,9849.0,9940.0,9873.89,9862.0,93.0,95.0,94.11,94.0,76.0,81.0,78.94,79.0,356.11,4980.07,4402.16,4980.07,4.35,60.79,53.74,60.79,0.0,94.0,75.54,92.0,
NVIDIA GeForce RTX 3070,force,1.0,1.0,1.0,1.0,66.0,73.0,69.75,69.5,65.0,66.0,65.25,65.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,9982.0,10014.0,9994.33,9993.0,93.0,94.0,93.89,94.0,73.0,76.0,74.67,75.0,500.27,5190.23,2749.27,654.23,6.11,63.36,33.56,7.99,0.0,94.0,36.18,0.0,
NVIDIA GeForce RTX 3090,combinator,16350.0,16452.0,16375.08,16355.0,93.0,94.0,93.23,93.0,82.0,85.0,84.0,84.0,499.16,5287.83,4783.83,5287.83,2.03,21.52,19.47,21.52,0.0,94.0,76.16,94.0,
NVIDIA GeForce RTX 3090,dict1,125.0,127.0,125.67,125.5,70.0,80.0,74.33,74.0,70.0,70.0,70.0,70.0,499.91,5222.58,4477.53,5222.58,2.03,21.25,18.22,21.25,0.0,76.0,57.89,68.0,
NVIDIA GeForce RTX 3090,dict2,12.0,12.0,12.0,12.0,72.0,75.0,72.5,72.0,74.0,74.0,74.0,74.0,499.91,5222.58,4632.69,5222.58,2.03,21.25,18.85,21.25,0.0,76.0,58.25,69.0,
NVIDIA GeForce RTX 3090,dict3,15972.0,16208.0,16037.06,16001.0,89.0,96.0,94.39,94.5,83.0,86.0,84.89,85.0,543.17,5265.84,4676.01,5265.84,2.21,21.43,19.03,21.43,0.0,95.0,78.46,94.0,
NVIDIA GeForce RTX 3090,dict4,16099.0,16442.0,16159.17,16099.0,87.0,96.0,94.06,94.0,83.0,85.0,84.0,84.0,541.8,5265.97,4675.58,5265.84,2.2,21.43,19.03,21.43,0.0,95.0,76.0,94.0,
NVIDIA GeForce RTX 3090,force,1.0,1.0,1.0,1.0,66.0,74.0,71.75,72.0,74.0,74.0,74.0,74.0,730.17,5514.84,3069.41,986.84,2.97,22.44,12.49,4.02,0.0,74.0,29.96,0.0,
NVIDIA GeForce RTX 3090,hybrid,16471.0,16551.0,16507.5,16508.5,93.0,93.0,93.0,93.0,80.0,82.0,81.38,81.5,508.51,5297.18,4613.18,5297.18,2.07,21.55,18.77,21.55,3.0,97.0,68.14,97.0,
NVIDIA RTX A4000,combinator,7100.0,7185.0,7137.57,7132.5,78.0,82.0,79.0,79.0,81.0,86.0,83.71,84.0,1002.51,5793.37,4113.76,5740.27,6.12,35.38,25.12,35.05,0.0,96.0,55.35,85.0,
NVIDIA RTX A4000,dict1,121.0,121.0,121.0,121.0,71.0,72.0,71.83,72.0,64.0,66.0,65.0,65.0,743.42,5407.39,4916.55,5407.39,4.54,33.02,30.02,33.02,0.0,83.0,62.53,78.0,
NVIDIA RTX A4000,dict2,11.0,11.0,11.0,11.0,70.0,71.0,70.94,71.0,72.0,73.0,72.28,72.0,743.42,5407.39,4847.87,5407.39,4.54,33.02,29.6,33.02,0.0,87.0,67.6,84.0,
NVIDIA RTX A4000,dict3,8637.0,8686.0,8646.94,8637.0,95.0,95.0,95.0,95.0,85.0,89.0,87.5,88.0,692.45,5360.17,3518.76,5356.42,4.23,32.73,21.49,32.71,0.0,97.0,52.68,96.0,
NVIDIA RTX A4000,dict4,8527.0,8568.0,8554.06,8556.0,95.0,95.0,95.0,95.0,84.0,89.0,86.78,87.0,845.53,5695.64,4999.7,5527.23,5.16,34.78,30.53,33.75,0.0,98.0,77.04,97.0,
NVIDIA RTX A4000,force,1.0,1.0,1.0,1.0,60.0,68.0,67.0,68.0,76.0,77.0,76.75,77.0,,,,,,,,,,,,,
NVIDIA RTX A4000,hybrid,7154.0,7220.0,7177.62,7173.0,78.0,79.0,78.62,79.0,80.0,83.0,81.62,81.5,1040.84,5759.69,3739.94,5759.69,6.36,35.17,22.84,35.17,3.0,99.0,47.84,45.0,
Radeon RX Vega,combinator,2484.0,2497.0,2495.15,2497.0,19.0,77.0,66.69,72.0,68.0,69.0,68.92,69.0,9436.26,10955.63,10299.2,10133.74,57.8,67.2,63.13,62.1,0,0,0,0,
Radeon RX Vega,dict1,23.0,23.0,23.0,23.0,21.0,77.0,71.06,76.0,55.0,56.0,55.78,56.0,4792.47,6545.38,5915.2,6520.06,29.4,40.1,36.27,40.0,0,0,0,0,
Radeon RX Vega,dict2,2.0,2.0,2.0,2.0,18.0,77.0,71.22,76.0,61.0,62.0,61.06,61.0,4553.31,6554.65,5972.3,6325.4,27.9,40.2,36.61,38.8,0,0,0,0,
Radeon RX Vega,dict3,4720.0,4730.0,4722.29,4721.0,14.0,95.0,86.47,94.0,71.0,72.0,71.29,71.0,4611.52,6438.62,6054.91,6419.9,28.3,39.5,37.14,39.4,0,0,0,0,
Radeon RX Vega,dict4,4680.0,4709.0,4701.76,4705.0,12.0,95.0,86.53,95.0,72.0,73.0,72.18,72.0,8262.34,10108.52,9636.89,10098.19,50.6,62.0,59.08,61.9,0,0,0,0,
Radeon RX Vega,force,0.0,0.0,0.0,0.0,25.0,86.0,73.44,83.0,62.0,63.0,62.11,62.0,,,,,,,,,,,,,
Radeon RX Vega,hybrid,3831.0,3847.0,3837.38,3835.5,11.0,76.0,61.38,75.0,64.0,66.0,64.25,64.0,8520.28,10618.59,9609.46,9140.6,52.2,65.1,58.9,56.0,0,0,0,0,
