GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,16871237188.0,18190207618.0,17664300931.0,17797879459.0,56.0,68.0,64.5,67.0,54.0,55.0,54.5,54.5,2019.66,5053.18,4041.87,5052.12,17.93,44.86,35.88,44.85,0.0,73.0,35.89,37.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,4283699348.0,9500400760.0,9039317206.0,9404787108.0,34.0,88.0,79.38,87.0,55.0,56.0,55.38,55.0,1137.56,4170.21,2569.83,1276.21,10.1,37.02,22.81,11.33,0.0,89.0,29.48,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,15714776070.0,17352222411.0,16742736708.25,16951974176.0,32.0,38.0,35.0,35.0,57.0,58.0,57.5,57.5,327.78,3337.68,1274.35,445.68,4.0,40.74,15.56,5.44,0.0,51.0,11.17,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,34493608282.0,54847506896.0,42179579922.12,40808597596.0,47.0,65.0,60.59,63.0,63.0,64.0,63.06,63.0,338.56,3348.46,1696.33,456.46,4.13,40.87,20.71,5.57,0.0,33.0,10.63,0.0,
NVIDIA GeForce RTX 3070,combinator,38330962524.0,38330962524.0,38330962524.0,38330962524.0,55.0,55.0,55.0,55.0,60.0,60.0,60.0,60.0,356.11,3386.07,1050.32,510.07,4.35,41.33,12.82,6.23,0.0,67.0,8.95,0.0,
NVIDIA GeForce RTX 3070,hybrid,46635177216.0,58481725464.0,50950118891.0,50578625577.5,32.0,73.0,64.22,66.0,59.0,60.0,59.78,60.0,495.0,3524.96,1845.45,648.96,6.04,43.03,22.53,7.92,0.0,74.0,24.23,0.0,
NVIDIA GeForce RTX 3090,hybrid,50655777556.0,80973416365.0,71288814246.56,73352875654.5,34.0,69.0,58.69,63.0,68.0,72.0,71.25,71.0,516.05,3652.2,3260.46,3652.2,2.1,14.86,13.27,14.86,4.0,81.0,50.81,71.5,
NVIDIA RTX A4000,hybrid,50555291989.0,55761846866.0,54675793157.76,55464334688.0,33.0,69.0,64.18,69.0,69.0,72.0,70.82,71.0,,,,,,,,,,,,,
Radeon RX Vega,combinator,12791018633.0,15512518393.0,13413587039.0,13010787655.0,0.0,26.0,19.83,23.5,57.0,58.0,57.17,57.0,,,,,,,,,,,,,
Radeon RX Vega,hybrid,1978405817.0,34012637288.0,22976851778.15,25922118840.0,0.0,42.0,27.23,35.0,53.0,55.0,53.92,54.0,,,,,,,,,,,,,
