GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,11032203253.0,13886724183.0,11872464207.0,11638436144.0,17.0,42.0,32.0,40.0,54.0,54.0,54.0,54.0,2022.04,5060.68,4452.39,5060.68,17.95,44.93,39.53,44.93,0.0,38.0,21.2,24.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,4597862150.0,8199758240.0,7863516860.0,8189155475.5,28.0,79.0,70.33,78.5,55.0,55.0,55.0,55.0,1137.56,4176.21,2819.89,4176.21,10.1,37.08,25.03,37.08,0.0,79.0,26.89,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,44206287981.0,44206287981.0,44206287981.0,44206287981.0,46.0,46.0,46.0,46.0,61.0,61.0,61.0,61.0,327.78,3343.68,2023.23,3343.68,4.0,40.82,24.7,40.82,0.0,42.0,14.9,14.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,0.0,49407374981.0,27032281010.94,20650909262.0,44.0,67.0,51.19,44.0,61.0,64.0,62.75,63.0,338.56,3354.46,1854.4,1366.46,4.13,40.95,22.64,16.68,0.0,44.0,17.82,0.0,
NVIDIA GeForce RTX 3070,combinator,39306329027.0,39306329027.0,39306329027.0,39306329027.0,50.0,50.0,50.0,50.0,58.0,58.0,58.0,58.0,356.11,3394.07,1145.07,510.07,4.35,41.43,13.98,6.23,0.0,68.0,12.53,0.0,
NVIDIA GeForce RTX 3070,hybrid,39109044972.0,53750856923.0,43745948782.71,40690108304.0,37.0,71.0,62.06,63.0,58.0,59.0,58.76,59.0,495.0,3532.96,2080.0,2090.96,6.04,43.13,25.39,25.52,0.0,74.0,26.89,0.0,
NVIDIA GeForce RTX 3090,hybrid,57037624797.0,80946640472.0,74681418456.29,77599885337.0,13.0,69.0,61.65,69.0,68.0,72.0,70.65,71.0,502.37,3651.7,2952.35,3651.7,2.04,14.86,12.01,14.86,3.0,79.0,46.44,59.0,
NVIDIA RTX A4000,hybrid,49725766117.0,55787332552.0,54329985703.59,55105702359.0,35.0,69.0,63.35,69.0,68.0,72.0,70.0,70.0,,,,,,,,,,,,,
Radeon RX Vega,combinator,12731210423.0,15368091545.0,13288625417.17,12857260147.5,0.0,24.0,18.5,21.5,56.0,56.0,56.0,56.0,,,,,,,,,,,,,
Radeon RX Vega,hybrid,2003132278.0,35262876059.0,23758889917.62,26543304433.0,0.0,39.0,28.23,36.0,51.0,53.0,52.77,53.0,,,,,,,,,,,,,
