GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,16833958648.0,18113258461.0,17596474392.0,17719340229.5,53.0,69.0,64.5,68.0,55.0,55.0,55.0,55.0,2018.66,5079.5,4056.58,5067.43,17.92,45.09,36.01,44.99,0.0,75.0,32.11,29.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,8084661064.0,8196044469.0,8153124246.27,8186440431.0,78.0,79.0,78.36,78.0,55.0,56.0,55.18,55.0,1132.04,4183.77,2494.53,1271.77,10.05,37.14,22.15,11.29,0.0,88.0,28.15,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,38823204033.0,38823204033.0,38823204033.0,38823204033.0,41.0,41.0,41.0,41.0,60.0,60.0,60.0,60.0,327.78,3353.68,1720.48,445.68,4.0,40.94,21.0,5.44,0.0,36.0,12.34,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,35680808886.0,56111356171.0,40885598119.0,38219817494.0,47.0,70.0,60.0,60.0,61.0,63.0,62.56,63.0,338.56,3364.46,1591.38,456.46,4.13,41.07,19.43,5.57,0.0,42.0,12.18,0.0,
NVIDIA GeForce RTX 3070,combinator,38425335208.0,38425335208.0,38425335208.0,38425335208.0,48.0,48.0,48.0,48.0,56.0,56.0,56.0,56.0,356.11,3408.07,868.03,510.07,4.35,41.6,10.6,6.23,0.0,66.0,8.26,0.0,
NVIDIA GeForce RTX 3070,hybrid,46567984256.0,55152993546.0,52874479115.59,54226221571.0,41.0,70.0,65.12,70.0,58.0,60.0,58.76,59.0,495.98,3546.96,1869.24,648.96,6.05,43.3,22.82,7.92,0.0,73.0,22.58,0.0,
NVIDIA GeForce RTX 3090,hybrid,20907857262.0,27261175448.0,25931902474.5,26509969647.0,33.0,40.0,38.92,39.5,68.0,70.0,69.0,69.0,491.03,3663.7,3240.77,3663.7,2.0,14.91,13.19,14.91,3.0,82.0,49.67,73.0,
NVIDIA RTX A4000,hybrid,51245840579.0,55945522318.0,54557406133.24,55103255509.0,49.0,69.0,67.06,69.0,68.0,72.0,70.24,70.0,,,,,,,,,,,,,
Radeon RX Vega,combinator,12783189711.0,15673321211.0,13543834112.83,13183130356.0,0.0,23.0,18.5,22.0,55.0,55.0,55.0,55.0,,,,,,,,,,,,,
Radeon RX Vega,hybrid,2008269688.0,31521602806.0,26870546785.92,30202941542.0,0.0,42.0,31.04,37.0,50.0,52.0,51.44,52.0,,,,,,,,,,,,,
