GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,14140475769.0,18276959144.0,15994647040.4,14803239114.0,18.0,64.0,50.8,57.0,56.0,57.0,56.8,57.0,2012.22,5081.62,4059.64,5081.31,17.86,45.11,36.04,45.11,0.0,53.0,26.89,42.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,4614867406.0,8168310673.0,7804959342.77,8068899954.0,33.0,80.0,75.23,79.0,56.0,56.0,56.0,56.0,1132.41,4185.77,2714.88,2728.77,10.05,37.16,24.1,24.23,0.0,88.0,23.67,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,36134842663.0,36134842663.0,36134842663.0,36134842663.0,41.0,41.0,41.0,41.0,60.0,60.0,60.0,60.0,327.78,3355.68,1316.03,445.68,4.0,40.96,16.06,5.44,0.0,38.0,11.13,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,35023394172.0,57946209033.0,41468789249.71,37660159331.0,48.0,65.0,59.24,60.0,61.0,63.0,62.12,62.0,338.56,3366.46,1853.19,456.46,4.13,41.09,22.62,5.57,0.0,44.0,17.45,0.0,
NVIDIA GeForce RTX 3070,combinator,39320354591.0,39320354591.0,39320354591.0,39320354591.0,49.0,49.0,49.0,49.0,55.0,55.0,55.0,55.0,356.11,3412.07,944.55,510.07,4.35,41.65,11.53,6.23,0.0,57.0,7.42,0.0,
NVIDIA GeForce RTX 3070,hybrid,38838697745.0,57380470783.0,44104853488.29,41076176401.0,34.0,82.0,62.47,63.0,57.0,58.0,57.88,58.0,495.0,3550.96,1986.77,648.96,6.04,43.35,24.25,7.92,0.0,74.0,23.87,0.0,
NVIDIA GeForce RTX 3090,hybrid,42440085362.0,80930164314.0,74249510469.56,78905323919.5,39.0,69.0,65.81,69.0,67.0,71.0,69.88,70.0,491.03,3671.7,3274.2,3671.7,2.0,14.94,13.32,14.94,3.0,78.0,50.19,67.5,
NVIDIA RTX A4000,hybrid,49957420448.0,55702388679.0,54162650486.35,54842849937.0,35.0,69.0,64.65,69.0,68.0,71.0,69.41,69.0,,,,,,,,,,,,,
Radeon RX Vega,combinator,12767132749.0,15409804281.0,13383244017.0,12972077132.5,0.0,25.0,19.67,23.5,54.0,54.0,54.0,54.0,,,,,,,,,,,,,
Radeon RX Vega,hybrid,1974936469.0,41024533299.0,31084654405.43,30435258707.0,0.0,45.0,33.29,39.0,49.0,51.0,50.76,51.0,,,,,,,,,,,,,
