GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,17659846958.0,18049973762.0,17823364505.0,17791818650.0,27.0,47.0,37.75,38.5,55.0,55.0,55.0,55.0,2021.22,5071.18,4053.13,5061.0,17.94,45.02,35.98,44.93,0.0,52.0,19.78,18.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,3198376205.0,20800513881.0,13257945658.54,12153740113.0,5.0,70.0,52.0,68.0,56.0,60.0,57.31,56.0,1135.41,4176.21,3818.6,4176.21,10.08,37.08,33.9,37.08,0.0,79.0,48.06,71.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,44273476795.0,44273476795.0,44273476795.0,44273476795.0,46.0,46.0,46.0,46.0,62.0,62.0,62.0,62.0,327.78,3343.68,2338.59,3343.68,4.0,40.82,28.55,40.82,0.0,38.0,25.56,32.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,38962380612.0,48769993897.0,43250439903.94,43172837948.0,44.0,69.0,63.44,66.5,63.0,64.0,63.69,64.0,338.56,3354.46,2822.36,3354.46,4.13,40.95,34.45,40.95,0.0,37.0,22.59,27.0,
NVIDIA GeForce RTX 3070,combinator,38388774567.0,38388774567.0,38388774567.0,38388774567.0,57.0,57.0,57.0,57.0,58.0,58.0,58.0,58.0,356.11,3394.07,1875.42,1875.58,4.35,41.43,22.89,22.9,0.0,68.0,21.0,11.0,
NVIDIA GeForce RTX 3070,hybrid,47481474125.0,57552735279.0,53313158031.41,54085283589.0,37.0,70.0,65.35,70.0,60.0,61.0,60.53,61.0,505.5,3543.46,3138.47,3543.46,6.17,43.26,38.31,43.26,0.0,80.0,41.73,61.0,
NVIDIA GeForce RTX 3090,hybrid,51665068426.0,70396853016.0,66052272548.62,66580467066.0,22.0,63.0,55.94,63.0,71.0,73.0,72.56,73.0,491.03,3641.7,3221.7,3641.7,2.0,14.82,13.11,14.82,3.0,78.0,50.67,72.0,
NVIDIA RTX A4000,hybrid,37230237727.0,55243138237.0,49274481192.06,54751970564.0,39.0,69.0,64.44,69.0,73.0,76.0,74.17,74.0,,,,,,,,,,,,,
Radeon RX Vega,combinator,12293481202.0,15348304634.0,13094024180.17,12646088722.5,0.0,24.0,19.17,23.0,55.0,56.0,55.67,56.0,,,,,,,,,,,,,
Radeon RX Vega,hybrid,2009336854.0,30084959985.0,22877826214.62,26432143694.0,0.0,45.0,28.31,36.0,51.0,53.0,52.54,53.0,,,,,,,,,,,,,
