GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,13345.0,13353.0,13351.0,13352.0,97.0,97.0,97.0,97.0,67.0,68.0,67.62,68.0,887.95,5931.25,3623.81,5931.25,7.88,52.66,32.17,52.66,0.0,97.0,44.47,0.0,
NVIDIA GeForce GTX 1080 Ti,dict1,77.0,78.0,77.45,77.0,24.0,65.0,60.64,64.0,58.0,58.0,58.0,58.0,1628.14,6604.79,5775.83,6604.79,14.45,58.64,51.28,58.64,2.0,97.0,58.83,75.5,
NVIDIA GeForce GTX 1080 Ti,dict2,8.0,9.0,8.28,8.0,77.0,81.0,80.44,81.0,58.0,61.0,58.72,58.5,1656.64,6633.29,6036.24,6633.29,14.71,58.89,53.59,58.89,0.0,83.0,65.4,79.0,
NVIDIA GeForce GTX 1080 Ti,dict4,16392.0,16899.0,16545.83,16592.0,97.0,97.0,97.0,97.0,82.0,85.0,83.61,83.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,force,0.0,0.0,0.0,0.0,60.0,61.0,60.25,60.0,54.0,55.0,54.25,54.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,6288.0,6328.0,6315.0,6319.5,96.0,97.0,96.38,96.0,58.0,59.0,58.62,59.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,combinator,15387.0,15802.0,15542.15,15644.0,72.0,73.0,72.62,73.0,84.0,87.0,85.62,86.0,327.78,5349.68,2866.92,2550.68,4.0,65.3,35.0,31.14,0.0,84.0,38.5,12.0,
NVIDIA GeForce RTX 2080 SUPER,dict1,147.0,149.0,148.0,148.0,62.0,63.0,62.8,63.0,60.0,60.0,60.0,60.0,327.78,5283.68,2245.72,445.68,4.0,64.5,27.41,5.44,0.0,66.0,21.04,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,15.0,15.0,15.0,15.0,62.0,65.0,63.83,64.0,61.0,62.0,61.89,62.0,338.56,5294.46,4648.12,5294.46,4.13,64.63,56.74,64.63,0.0,64.0,52.65,63.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,19674.0,20683.0,20023.33,19942.5,91.0,92.0,91.11,91.0,86.0,89.0,87.22,87.0,338.56,5294.46,4675.05,5294.46,4.13,64.63,57.07,64.63,0.0,92.0,75.79,92.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,18456.0,19029.0,18635.28,18574.5,92.0,92.0,92.0,92.0,87.0,89.0,88.11,88.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,force,1.0,1.0,1.0,1.0,62.0,62.0,62.0,62.0,63.0,63.0,63.0,63.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,15479.0,15926.0,15712.0,15743.0,72.0,74.0,72.78,73.0,84.0,86.0,85.11,85.0,338.56,5360.46,2514.67,456.46,4.13,65.44,30.7,5.57,0.0,72.0,26.5,0.0,
NVIDIA GeForce RTX 3070,combinator,19973.0,20055.0,19987.64,19973.0,91.0,92.0,91.07,91.0,75.0,81.0,78.36,78.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict1,238.0,239.0,238.5,238.5,69.0,73.0,71.0,71.0,56.0,56.0,56.0,56.0,356.11,5314.07,1806.71,510.07,4.35,64.87,22.05,6.23,0.0,75.0,16.73,0.0,
NVIDIA GeForce RTX 3070,dict2,23.0,24.0,23.67,24.0,64.0,75.0,70.5,71.0,60.0,60.0,60.0,60.0,356.11,5314.07,4667.47,5314.07,4.35,64.87,56.98,64.87,0.0,75.0,63.87,75.0,
NVIDIA GeForce RTX 3070,dict3,20602.0,20979.0,20728.0,20686.0,96.0,96.0,96.0,96.0,83.0,85.0,84.17,84.0,356.11,5314.07,4694.41,5314.07,4.35,64.87,57.3,64.87,0.0,96.0,75.71,95.0,
NVIDIA GeForce RTX 3070,dict4,20613.0,21021.0,20747.39,20695.0,96.0,97.0,96.06,96.0,83.0,85.0,83.94,84.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,force,2.0,2.0,2.0,2.0,64.0,71.0,67.0,66.5,64.0,65.0,64.12,64.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,20020.0,20085.0,20047.25,20044.5,91.0,91.0,91.0,91.0,74.0,77.0,75.62,75.5,499.77,5523.73,2593.0,653.73,6.1,67.43,31.65,7.98,0.0,91.0,29.9,0.0,
NVIDIA GeForce RTX 3090,combinator,26152.0,26787.0,26413.86,26322.0,70.0,74.0,71.07,70.0,83.0,86.0,84.86,85.0,540.61,5663.34,3345.3,5663.34,2.2,23.04,13.61,23.04,0.0,88.0,41.7,13.0,
NVIDIA GeForce RTX 3090,dict1,234.0,237.0,235.5,235.5,76.0,76.0,76.0,76.0,70.0,70.0,70.0,70.0,499.91,5556.58,4292.58,5556.58,2.03,22.61,17.47,22.61,0.0,76.0,38.88,44.0,
NVIDIA GeForce RTX 3090,dict2,23.0,24.0,23.33,23.0,69.0,76.0,72.61,73.5,74.0,74.0,74.0,74.0,499.91,5556.58,4924.61,5556.58,2.03,22.61,20.04,22.61,0.0,75.0,56.96,71.0,
