GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,277953.0,278394.0,278136.0,278122.5,96.0,97.0,96.88,97.0,66.0,68.0,67.25,67.0,2242.83,6774.12,6270.68,6774.12,19.91,60.14,55.67,60.14,6.0,97.0,76.78,96.5,
NVIDIA GeForce GTX 1080 Ti,dict2,188.0,189.0,188.5,188.5,63.0,78.0,73.5,76.5,60.0,60.0,60.0,60.0,1670.88,6147.22,4654.94,6144.72,14.83,54.57,41.33,54.55,1.0,87.0,46.44,77.0,
NVIDIA GeForce GTX 1080 Ti,dict3,274784.0,296922.0,281626.56,280806.0,54.0,98.0,93.22,97.0,79.0,88.0,82.83,83.0,1151.66,5624.96,5041.54,5624.96,10.22,49.94,44.76,49.94,0.0,97.0,77.13,96.0,
NVIDIA GeForce GTX 1080 Ti,dict4,331269.0,343161.0,334687.28,333681.5,96.0,97.0,96.94,97.0,82.0,85.0,83.56,83.5,1145.81,5618.46,5035.3,5618.46,10.17,49.88,44.7,49.88,0.0,97.0,79.91,97.0,
NVIDIA GeForce GTX 1080 Ti,force,8.0,5968.0,2832.67,342.0,71.0,86.0,78.67,76.5,51.0,53.0,51.21,51.0,1144.35,5683.65,4433.13,5683.65,10.16,50.46,39.36,50.46,0.0,97.0,56.41,82.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,147388.0,147534.0,147486.75,147516.0,95.0,96.0,95.62,96.0,58.0,58.0,58.0,58.0,1140.66,5680.4,3586.18,4677.4,10.13,50.43,31.84,41.53,0.0,97.0,43.5,24.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,411545.0,429535.0,418507.77,417800.0,92.0,93.0,92.15,92.0,85.0,88.0,86.85,87.0,327.78,4845.68,3252.28,4845.68,4.0,59.15,39.7,59.15,0.0,68.0,41.52,67.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,404935.0,433632.0,413986.28,411288.5,86.0,96.0,93.56,95.0,86.0,90.0,87.56,87.5,338.56,4790.46,4210.25,4790.46,4.13,58.48,51.39,58.48,0.0,93.0,76.57,92.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,396002.0,424926.0,403806.17,401500.0,95.0,96.0,95.28,95.0,87.0,88.0,87.5,87.5,338.56,4790.46,4209.86,4790.46,4.13,58.48,51.39,58.48,0.0,96.0,80.78,95.0,
NVIDIA GeForce RTX 2080 SUPER,force,1581.0,293077.0,214904.4,279088.0,58.0,77.0,65.53,64.0,63.0,84.0,77.67,82.0,,,,,,,,,,,,,
