GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,dict2,244.0,245.0,244.5,244.5,82.0,83.0,82.5,82.5,60.0,60.0,60.0,60.0,1614.65,6593.95,4712.9,6549.95,14.33,58.54,41.84,58.15,0.0,98.0,45.5,45.0,
NVIDIA GeForce GTX 1080 Ti,dict3,375357.0,391886.0,379287.83,377755.0,92.0,98.0,97.33,98.0,81.0,89.0,84.94,85.0,1151.6,6086.9,3619.47,3619.57,10.22,54.04,32.13,32.13,0.0,97.0,30.67,0.0,
NVIDIA GeForce GTX 1080 Ti,force,24.0,250343.0,150209.89,249809.0,76.0,87.0,83.53,86.0,57.0,64.0,61.58,63.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,346397.0,418396.0,388620.5,399766.5,90.0,97.0,94.88,95.0,64.0,79.0,71.12,70.0,1146.19,6146.84,5377.68,6146.84,10.18,54.57,47.74,54.57,0.0,98.0,67.77,97.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,472227.0,486397.0,476961.23,475520.0,95.0,95.0,95.0,95.0,86.0,88.0,87.38,87.0,327.78,5307.68,4477.8,5307.68,4.0,64.79,54.66,64.79,0.0,78.0,58.83,76.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,457997.0,476016.0,464037.76,461431.0,85.0,95.0,93.76,95.0,86.0,90.0,87.53,87.0,338.56,5252.46,4611.6,5252.46,4.13,64.12,56.29,64.12,0.0,95.0,79.87,95.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,446531.0,464921.0,450891.67,449177.0,95.0,95.0,95.0,95.0,87.0,88.0,87.89,88.0,338.56,5252.46,4611.95,5252.46,4.13,64.12,56.3,64.12,0.0,95.0,80.22,95.0,
NVIDIA GeForce RTX 2080 SUPER,force,1896.0,490151.0,343700.78,390783.0,64.0,96.0,79.67,73.0,66.0,88.0,81.67,85.0,338.56,5318.46,4571.57,5318.46,4.13,64.92,55.81,64.92,0.0,77.0,54.85,67.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,483128.0,496382.0,487903.67,487061.0,93.0,96.0,94.89,95.0,86.0,89.0,87.56,88.0,338.56,5318.46,4552.4,5318.46,4.13,64.92,55.57,64.92,0.0,68.0,46.08,62.0,
NVIDIA GeForce RTX 3070,combinator,485159.0,488491.0,487055.69,487361.0,94.0,96.0,94.85,95.0,80.0,84.0,82.23,82.0,356.11,5338.07,4551.55,5338.07,4.35,65.16,55.56,65.16,0.0,90.0,71.79,87.0,
