GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,31982680.0,33108359.0,32562950.25,32596641.5,67.0,69.0,67.88,68.0,60.0,62.0,60.88,60.5,2208.08,7261.23,6432.32,7208.73,19.6,64.46,57.11,64.0,1.0,76.0,57.16,74.0,
NVIDIA GeForce GTX 1080 Ti,dict3,23620597.0,28496608.0,26334520.5,26610438.5,30.0,98.0,57.75,51.5,71.0,77.0,74.0,74.0,1151.6,6086.9,4990.24,6086.9,10.22,54.04,44.3,54.04,0.0,98.0,36.44,22.0,
NVIDIA GeForce GTX 1080 Ti,dict4,39038801.0,40669805.0,39808195.22,39776952.0,97.0,98.0,97.78,98.0,74.0,78.0,76.39,76.5,1148.1,6080.46,5437.21,6080.46,10.19,53.98,48.27,53.98,0.0,98.0,79.74,97.0,
NVIDIA GeForce GTX 1080 Ti,force,16690267.0,69442047.0,63982392.36,69224083.0,63.0,96.0,91.86,96.0,61.0,63.0,62.36,63.0,1145.54,6150.09,4658.12,6150.09,10.17,54.6,41.35,54.6,0.0,96.0,53.43,82.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,0.0,13059230.0,10280845.38,10968043.0,46.0,96.0,66.85,66.0,54.0,56.0,54.38,54.0,1140.66,6142.4,4038.83,6142.4,10.13,54.53,35.86,54.53,0.0,71.0,31.95,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,46412447.0,48597701.0,47260327.86,46905878.0,67.0,75.0,71.79,72.0,83.0,84.0,83.07,83.0,327.78,5307.68,3469.77,5307.68,4.0,64.79,42.36,64.79,0.0,73.0,46.38,73.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,25800503.0,28119163.0,26877878.0,26795923.0,68.0,75.0,71.0,70.5,72.0,78.0,73.75,72.5,338.56,5252.46,4160.59,5252.46,4.13,64.12,50.79,64.12,0.0,78.0,46.67,66.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,39456797.0,41671708.0,40781315.28,40796356.0,81.0,95.0,90.11,94.0,85.0,89.0,86.67,86.0,338.56,5252.46,4611.99,5252.46,4.13,64.12,56.3,64.12,0.0,95.0,76.48,92.0,
NVIDIA GeForce RTX 2080 SUPER,force,23085306.0,102298825.0,88109062.31,101763755.0,54.0,90.0,81.62,89.0,73.0,87.0,82.81,85.0,338.56,5318.46,3553.08,5318.46,4.13,64.92,43.37,64.92,0.0,91.0,47.26,57.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,47108555.0,50357805.0,48504741.4,48480829.0,70.0,77.0,74.5,75.0,77.0,81.0,80.1,80.5,338.56,5318.46,3112.97,5318.46,4.13,64.92,38.0,64.92,0.0,73.0,37.45,49.0,
NVIDIA GeForce RTX 3070,combinator,33748776.0,34327581.0,34022399.92,34004298.0,58.0,59.0,58.69,59.0,70.0,71.0,70.85,71.0,356.11,5338.07,3581.59,5338.07,4.35,65.16,43.72,65.16,0.0,74.0,42.6,72.0,
