GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,577345090.0,599496541.0,588798524.75,588335012.5,95.0,96.0,95.12,95.0,63.0,66.0,64.25,63.5,2250.2,5282.88,4800.7,5276.81,19.98,46.9,42.62,46.85,1.0,97.0,75.58,96.0,
NVIDIA GeForce GTX 1080 Ti,dict4,284694326.0,284694326.0,284694326.0,284694326.0,47.0,47.0,47.0,47.0,68.0,68.0,68.0,68.0,1148.1,2233.4,1870.27,2230.46,10.19,19.83,16.6,19.8,0.0,47.0,25.83,30.5,
NVIDIA GeForce GTX 1080 Ti,force,0.0,3261335007.0,2451374825.17,2873488396.0,94.0,97.0,95.83,96.0,63.0,70.0,65.0,64.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,0.0,607194374.0,316051420.75,204981227.5,32.0,97.0,87.55,94.0,52.0,62.0,54.2,53.0,1146.19,4172.84,3816.89,4172.84,10.18,37.05,33.89,37.05,0.0,96.0,65.53,96.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,906987487.0,922701774.0,913085337.0,911995223.0,92.0,92.0,92.0,92.0,85.0,88.0,86.23,86.0,327.78,3333.68,2832.8,3333.68,4.0,40.69,34.58,40.69,0.0,91.0,71.67,90.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,330288164.0,330288164.0,330288164.0,330288164.0,34.0,34.0,34.0,34.0,78.0,78.0,78.0,78.0,338.56,2070.46,1204.75,1204.99,4.13,25.27,14.71,14.71,0.0,25.0,16.5,23.0,
NVIDIA GeForce RTX 2080 SUPER,force,0.0,4791656417.0,2861621377.43,4091294266.0,51.0,80.0,67.43,71.0,72.0,83.0,79.0,78.0,338.56,3344.46,2442.88,3344.46,4.13,40.83,29.82,40.83,0.0,95.0,48.0,56.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,0.0,949774528.0,855021498.25,927806631.0,60.0,95.0,87.19,93.0,77.0,86.0,83.94,85.0,338.56,3344.46,2814.12,3344.46,4.13,40.83,34.35,40.83,0.0,92.0,62.47,87.0,
NVIDIA GeForce RTX 3070,combinator,880106297.0,881909515.0,880750561.77,880454579.0,91.0,93.0,91.92,92.0,78.0,80.0,79.31,79.0,356.11,3378.07,2844.9,3378.07,4.35,41.24,34.73,41.24,0.0,93.0,70.53,92.0,
NVIDIA GeForce RTX 3070,dict4,368094221.0,368094221.0,368094221.0,368094221.0,34.0,34.0,34.0,34.0,71.0,71.0,71.0,71.0,356.11,2058.07,1207.96,1209.58,4.35,25.12,14.75,14.77,0.0,26.0,11.25,9.5,
