GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,dict4,314115611.0,314115611.0,314115611.0,314115611.0,41.0,41.0,41.0,41.0,69.0,69.0,69.0,69.0,1145.16,2223.52,1864.18,2223.52,10.17,19.74,16.55,19.74,0.0,37.0,17.33,16.5,
NVIDIA GeForce GTX 1080 Ti,force,574193497.0,12421869789.0,7546330368.6,10820590110.0,89.0,97.0,94.6,96.0,64.0,67.0,64.8,64.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,740201858.0,1354935130.0,912324671.06,935636880.5,20.0,50.0,42.94,48.0,56.0,58.0,56.19,56.0,1146.19,4172.84,2896.3,4172.84,10.18,37.05,25.71,37.05,0.0,77.0,16.38,3.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,4340485399.0,5500082740.0,4633775183.14,4434034365.0,45.0,49.0,46.29,46.0,74.0,76.0,75.14,75.0,327.78,3333.68,2629.3,3333.68,4.0,40.69,32.1,40.69,0.0,44.0,26.38,36.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,366673591.0,366673591.0,366673591.0,366673591.0,29.0,29.0,29.0,29.0,74.0,74.0,74.0,74.0,338.56,2070.46,1493.32,2070.46,4.13,25.27,18.23,25.27,0.0,33.0,16.83,19.5,
NVIDIA GeForce RTX 2080 SUPER,force,534877683.0,16639867758.0,9724055202.6,13028573287.0,54.0,79.0,71.2,76.0,75.0,85.0,79.8,78.0,338.56,3344.46,1984.48,3344.46,4.13,40.83,24.22,40.83,0.0,73.0,34.69,44.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,7540015767.0,10009056260.0,9098787927.67,9747291756.0,37.0,47.0,43.67,47.0,73.0,76.0,75.0,76.0,338.56,3344.46,1737.21,456.46,4.13,40.83,21.21,5.57,0.0,47.0,19.27,22.0,
NVIDIA GeForce RTX 3070,combinator,8257239742.0,8257651659.0,8257445700.5,8257445700.5,67.0,68.0,67.5,67.5,75.0,75.0,75.0,75.0,356.11,3378.07,2239.61,3378.07,4.35,41.24,27.34,41.24,0.0,62.0,31.31,33.0,
NVIDIA GeForce RTX 3070,dict4,256987487.0,257281758.0,257134622.5,257134622.5,19.0,21.0,20.0,20.0,74.0,74.0,74.0,74.0,356.11,2058.07,1329.22,2058.07,4.35,25.12,16.23,25.12,0.0,20.0,9.71,12.0,
NVIDIA GeForce RTX 3070,force,726436966.0,16696793457.0,11477293416.17,15283140113.0,75.0,96.0,91.33,94.5,70.0,72.0,71.17,71.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,10888161.0,4613603664.0,3335221159.41,4225287072.0,0.0,60.0,45.35,59.0,63.0,69.0,67.0,68.0,511.75,3532.73,2494.0,3532.73,6.25,43.12,30.44,43.12,0.0,100.0,20.47,3.0,
NVIDIA GeForce RTX 3090,combinator,7326956451.0,8437665543.0,7750005238.0,7485393720.0,32.0,51.0,41.33,41.0,81.0,81.0,81.0,81.0,499.16,3621.83,2928.05,3621.83,2.03,14.74,11.91,14.74,0.0,55.0,33.56,52.0,
NVIDIA GeForce RTX 3090,dict4,462814962.0,462814962.0,462814962.0,462814962.0,16.0,16.0,16.0,16.0,80.0,80.0,80.0,80.0,542.01,3553.34,2047.86,2048.23,2.21,14.46,8.33,8.33,0.0,23.0,6.0,0.0,
NVIDIA GeForce RTX 3090,force,1300661870.0,22405333145.0,13456380969.14,14108494755.0,60.0,95.0,76.14,72.0,80.0,82.0,81.14,81.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,0.0,13855883134.0,10173106663.2,12496468832.0,1.0,93.0,55.1,65.5,72.0,82.0,78.3,80.0,533.16,3655.84,2306.56,3655.84,2.17,14.88,9.39,14.88,0.0,96.0,13.91,0.0,
NVIDIA RTX A4000,dict4,252568956.0,252804515.0,252686735.5,252686735.5,16.0,24.0,20.0,20.0,84.0,84.0,84.0,84.0,889.66,2665.62,2073.97,2665.62,5.43,16.28,12.66,16.28,0.0,31.0,14.0,12.0,
NVIDIA RTX A4000,force,728908151.0,14372480931.0,7587400035.4,6710662711.0,76.0,97.0,92.0,96.0,82.0,84.0,82.8,83.0,,,,,,,,,,,,,
NVIDIA RTX A4000,hybrid,10614043449.0,10614043449.0,10614043449.0,10614043449.0,83.0,83.0,83.0,83.0,81.0,81.0,81.0,81.0,1097.91,4147.88,2917.71,4147.88,6.7,25.33,17.82,25.33,1.0,96.0,25.5,3.0,
Radeon RX Vega,combinator,724406154.0,729918750.0,725652377.69,724906120.0,16.0,42.0,33.62,33.0,68.0,69.0,68.77,69.0,8961.85,10265.17,9636.03,9321.82,54.9,62.9,59.06,57.15,0,0,0,0,
Radeon RX Vega,dict3,50999260.0,50999260.0,50999260.0,50999260.0,0.0,0.0,0.0,0.0,71.0,71.0,71.0,71.0,4620.31,5907.08,5439.62,5897.43,28.3,36.2,33.36,36.2,0,0,0,0,
Radeon RX Vega,dict4,160736178.0,169812913.0,165064037.29,166390605.0,0.0,58.0,24.86,29.0,72.0,72.0,72.0,72.0,9538.12,10886.36,10383.76,10633.06,58.5,66.7,63.66,65.2,0,0,0,0,
Radeon RX Vega,force,18043248.0,1302167916.0,1001388883.72,1133415657.0,8.0,97.0,58.33,61.0,59.0,66.0,63.11,64.0,,,,,,,,,,,,,
Radeon RX Vega,hybrid,609029040.0,843050504.0,781775940.0,838061778.0,0.0,59.0,37.06,38.0,57.0,61.0,59.75,60.0,8086.09,9706.46,8786.85,8677.85,49.6,59.5,53.87,53.2,0,0,0,0,
