GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,dict3,30770210.0,40720857.0,34717854.67,32662497.0,11.0,13.0,12.0,12.0,67.0,67.0,67.0,67.0,1890.88,4852.18,4111.93,4852.18,16.79,43.08,36.51,43.08,0.0,3.0,0.75,0.5,
NVIDIA GeForce GTX 1080 Ti,dict4,702777907.0,702777907.0,702777907.0,702777907.0,6.0,6.0,6.0,6.0,65.0,65.0,65.0,65.0,1145.81,4106.46,2626.98,2627.61,10.17,36.46,23.32,23.33,0.0,20.0,3.33,0.0,
NVIDIA GeForce GTX 1080 Ti,force,252911213.0,5402783904.0,4150284889.14,5119551445.0,64.0,97.0,79.86,70.0,57.0,61.0,58.57,58.0,1145.0,4171.65,2834.09,4171.65,10.17,37.04,25.16,37.04,0.0,97.0,37.82,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,0.0,2441980171.0,614923256.25,8856427.0,1.0,96.0,32.0,15.5,54.0,54.0,54.0,54.0,1140.66,4168.4,2985.4,4168.4,10.13,37.01,26.5,37.01,0.0,66.0,6.67,0.0,
NVIDIA GeForce RTX 2080 SUPER,force,497569836.0,6195793741.0,3378146074.43,3737172227.0,55.0,74.0,62.14,61.0,68.0,71.0,69.29,69.0,338.56,3344.46,1871.14,1900.46,4.13,40.83,22.84,23.2,0.0,73.0,29.0,13.5,
NVIDIA GeForce RTX 2080 SUPER,hybrid,3395005176.0,3395005176.0,3395005176.0,3395005176.0,35.0,35.0,35.0,35.0,69.0,69.0,69.0,69.0,338.56,3344.46,2010.38,3344.46,4.13,40.83,24.54,40.83,0.0,67.0,19.73,5.0,
NVIDIA GeForce RTX 3070,force,303246881.0,5484871087.0,4157297369.83,5371815672.5,35.0,92.0,63.0,63.5,65.0,66.0,65.17,65.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,force,1228362987.0,8948936123.0,5520673661.0,5952697767.0,65.0,94.0,79.25,79.0,75.0,77.0,76.0,76.0,725.0,3846.34,2197.71,980.34,2.95,15.65,8.94,3.99,0.0,80.0,32.56,0.0,
NVIDIA GeForce RTX 3090,hybrid,2673601055.0,2673601055.0,2673601055.0,2673601055.0,17.0,17.0,17.0,17.0,76.0,76.0,76.0,76.0,516.63,3640.55,2702.71,3638.18,2.1,14.81,11.0,14.8,3.0,89.0,29.4,5.0,
NVIDIA RTX A4000,force,168974355.0,7996865974.0,5324236551.5,6820340559.0,70.0,95.0,79.67,77.0,76.0,78.0,77.17,77.0,,,,,,,,,,,,,
NVIDIA RTX A4000,hybrid,6799081057.0,6799081057.0,6799081057.0,6799081057.0,71.0,71.0,71.0,71.0,80.0,80.0,80.0,80.0,1042.22,4090.56,2749.96,4089.81,6.36,24.98,16.79,24.97,3.0,97.0,27.18,7.0,
Radeon RX Vega,dict3,42505039.0,42505039.0,42505039.0,42505039.0,0.0,0.0,0.0,0.0,70.0,70.0,70.0,70.0,4600.36,5907.68,5313.0,5371.98,28.2,36.2,32.55,32.9,0,0,0,0,
Radeon RX Vega,dict4,408101383.0,408101383.0,408101383.0,408101383.0,7.0,7.0,7.0,7.0,71.0,71.0,71.0,71.0,8412.29,9857.19,9159.17,8834.62,51.6,60.4,56.16,54.2,0,0,0,0,
Radeon RX Vega,force,255267519.0,10693860618.0,4768105966.25,4061647864.0,3.0,17.0,7.0,4.0,65.0,67.0,66.0,66.0,,,,,,,,,,,,,
Radeon RX Vega,hybrid,431883095.0,440933533.0,435387086.67,433344632.0,14.0,59.0,43.0,56.0,63.0,63.0,63.0,63.0,8530.12,10145.65,9308.29,9111.89,52.3,62.2,57.07,55.85,0,0,0,0,
