GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,dict3,31434003.0,40778789.0,35212711.33,33425342.0,1.0,4.0,2.67,3.0,62.0,62.0,62.0,62.0,1104.73,4066.02,3326.15,4066.02,9.81,36.1,29.53,36.1,0.0,3.0,1.12,0.5,
NVIDIA GeForce GTX 1080 Ti,dict4,680507819.0,680507819.0,680507819.0,680507819.0,43.0,43.0,43.0,43.0,67.0,67.0,67.0,67.0,1145.16,4106.46,2922.07,4106.46,10.17,36.46,25.94,36.46,0.0,13.0,3.0,0.0,
NVIDIA GeForce GTX 1080 Ti,force,257995558.0,4618125492.0,2851664890.33,2960604844.0,76.0,97.0,89.0,94.0,58.0,64.0,60.17,58.5,1144.29,4171.65,2692.93,2727.65,10.16,37.04,23.91,24.22,0.0,98.0,29.83,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,8799072.0,2681421187.0,1161402027.08,639682745.0,1.0,90.0,43.77,34.0,55.0,58.0,56.54,56.0,1132.41,4160.77,3226.1,4159.77,10.05,36.94,28.64,36.93,0.0,97.0,14.32,0.0,
NVIDIA GeForce RTX 2080 SUPER,force,345943049.0,6714004746.0,3538918110.25,3547862323.0,57.0,72.0,62.75,61.0,65.0,67.0,66.0,66.0,338.56,3344.46,1737.21,456.46,4.13,40.83,21.21,5.57,0.0,72.0,27.64,16.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,3493277865.0,4241780201.0,4015061383.0,4162593733.0,50.0,71.0,62.25,64.0,65.0,69.0,67.75,68.5,338.56,3344.46,2046.89,2896.46,4.13,40.83,24.99,35.36,0.0,70.0,17.17,7.5,
NVIDIA GeForce RTX 3070,combinator,3306822137.0,3306822137.0,3306822137.0,3306822137.0,91.0,91.0,91.0,91.0,68.0,68.0,68.0,68.0,356.11,3378.07,1265.08,510.07,4.35,41.24,15.44,6.23,0.0,68.0,13.43,0.0,
NVIDIA GeForce RTX 3070,force,207074993.0,5439539915.0,3987882510.33,5182994021.5,56.0,87.0,68.17,62.0,60.0,61.0,60.67,61.0,356.11,3378.07,1771.9,510.07,4.35,41.24,21.63,6.23,0.0,90.0,22.36,0.0,
NVIDIA GeForce RTX 3070,hybrid,5727875397.0,5741089201.0,5734482299.0,5734482299.0,92.0,92.0,92.0,92.0,66.0,66.0,66.0,66.0,505.5,3528.28,2055.82,2094.28,6.17,43.07,25.1,25.56,0.0,98.0,17.42,0.0,
NVIDIA GeForce RTX 3090,force,603683452.0,11656916393.0,6256042420.5,6381784918.5,67.0,78.0,71.75,71.0,73.0,74.0,73.5,73.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,0.0,7746986580.0,4144310707.0,4685945541.0,40.0,95.0,70.0,75.0,74.0,76.0,75.33,76.0,419.93,3543.29,2205.28,3543.29,1.71,14.42,8.97,14.42,0.0,73.0,13.14,0.0,
NVIDIA RTX A4000,combinator,3341309911.0,3341309911.0,3341309911.0,3341309911.0,92.0,92.0,92.0,92.0,81.0,81.0,81.0,81.0,743.42,3793.39,1566.9,905.39,4.54,23.16,9.57,5.53,0.0,43.0,5.62,0.0,
NVIDIA RTX A4000,dict3,60978774.0,60978774.0,60978774.0,60978774.0,2.0,2.0,2.0,2.0,81.0,81.0,81.0,81.0,880.62,3862.61,1769.66,1045.73,5.38,23.59,10.81,6.39,0.0,37.0,8.73,4.0,
NVIDIA RTX A4000,force,179256000.0,6411559590.0,4228693501.0,5306791770.5,46.0,91.0,65.5,64.0,71.0,72.0,71.5,71.5,743.73,3793.7,2563.54,3793.7,4.54,23.17,15.65,23.17,0.0,97.0,44.08,36.0,
NVIDIA RTX A4000,hybrid,3349389876.0,5810141439.0,4988363928.33,5805560470.0,24.0,92.0,69.0,91.0,75.0,78.0,77.0,78.0,,,,,,,,,,,,,
Radeon RX Vega,combinator,484171364.0,484171364.0,484171364.0,484171364.0,14.0,14.0,14.0,14.0,65.0,65.0,65.0,65.0,5649.23,6686.2,6061.36,6014.78,34.6,41.0,37.16,36.9,0,0,0,0,
Radeon RX Vega,dict3,42164391.0,42164391.0,42164391.0,42164391.0,0.0,0.0,0.0,0.0,68.0,68.0,68.0,68.0,5060.42,6378.77,5674.2,5343.12,31.0,39.1,34.78,32.8,0,0,0,0,
Radeon RX Vega,dict4,402475587.0,402475587.0,402475587.0,402475587.0,18.0,18.0,18.0,18.0,72.0,72.0,72.0,72.0,6615.13,7920.71,7157.99,6871.78,40.6,48.6,43.88,42.1,0,0,0,0,
Radeon RX Vega,force,456574278.0,5579830049.0,3455192967.0,3892183770.5,3.0,17.0,11.5,13.0,59.0,63.0,60.25,59.5,,,,,,,,,,,,,
Radeon RX Vega,hybrid,412929177.0,523003994.0,486549977.53,516696752.0,0.0,57.0,39.06,42.0,56.0,59.0,58.24,58.0,7866.7,9464.52,8560.29,8445.96,48.2,58.0,52.49,51.8,0,0,0,0,
