GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,899098336.0,939489334.0,916208082.67,911765047.0,41.0,44.0,42.89,43.0,60.0,65.0,61.56,61.0,2223.48,5250.12,3738.09,3738.89,19.74,46.61,33.19,33.19,6.0,95.0,32.83,7.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,2019122143.0,2635737733.0,2089843170.0,2043564083.0,68.0,97.0,93.75,96.0,59.0,64.0,59.83,59.5,1146.19,4172.84,3584.23,4172.84,10.18,37.05,31.82,37.05,0.0,97.0,61.32,93.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,2174889712.0,2572925063.0,2306035379.85,2251290015.0,43.0,50.0,46.38,46.0,78.0,84.0,81.69,82.0,327.78,3333.68,2530.05,3333.68,4.0,40.69,30.88,40.69,0.0,64.0,39.77,61.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,1201450042.0,4424895764.0,3288803402.33,3891902959.0,1.0,72.0,50.07,58.0,62.0,87.0,78.87,84.0,338.56,3344.46,2502.57,3344.46,4.13,40.83,30.55,40.83,0.0,44.0,24.86,37.0,
NVIDIA GeForce RTX 3070,combinator,2153975516.0,6039962558.0,4809279012.0,5864081810.0,31.0,85.0,68.86,72.0,73.0,79.0,76.0,75.5,356.11,3378.07,2537.55,3378.07,4.35,41.24,30.98,41.24,0.0,94.0,52.95,62.0,
NVIDIA GeForce RTX 3070,hybrid,672655107.0,4574290876.0,2809360605.65,3344095443.0,12.0,70.0,53.65,70.0,61.0,71.0,67.82,69.0,501.25,3522.23,2959.02,3522.23,6.12,43.0,36.12,43.0,0.0,83.0,41.88,59.0,
NVIDIA GeForce RTX 3090,combinator,3124995380.0,3550636504.0,3396669463.31,3512623081.0,50.0,51.0,50.54,51.0,81.0,83.0,82.23,82.0,499.16,3621.83,3101.53,3621.83,2.03,14.74,12.62,14.74,0.0,72.0,46.28,56.5,
NVIDIA GeForce RTX 3090,hybrid,0.0,2940962326.0,2433918674.2,2888327064.0,2.0,71.0,44.2,48.0,70.0,78.0,75.33,77.0,523.76,3645.93,3151.21,3645.93,2.13,14.84,12.82,14.84,0.0,68.0,32.57,38.0,
NVIDIA RTX A4000,combinator,2314444842.0,2705324775.0,2489843291.57,2452411131.0,29.0,58.0,50.0,57.0,81.0,85.0,83.14,83.0,710.76,3760.73,3057.78,3760.73,4.34,22.96,18.67,22.96,0.0,70.0,41.86,55.0,
NVIDIA RTX A4000,hybrid,10663547.0,3099194364.0,2209945344.53,2905839499.0,2.0,69.0,47.53,65.0,70.0,82.0,76.47,77.0,1082.91,4132.88,3390.79,4132.88,6.61,25.24,20.71,25.24,1.0,91.0,36.58,13.5,
Radeon RX Vega,combinator,555076820.0,558588253.0,555786900.31,555354245.0,17.0,43.0,39.31,41.0,68.0,70.0,68.85,69.0,9266.02,10575.76,10239.42,10533.56,56.8,64.8,62.77,64.6,0,0,0,0,
Radeon RX Vega,hybrid,450284395.0,571454715.0,536571599.76,566404597.0,0.0,58.0,40.88,41.0,58.0,62.0,60.59,61.0,7820.21,9457.38,9261.5,9441.7,47.9,58.0,56.77,57.9,0,0,0,0,
