GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,2634770509.0,4122277051.0,3433622069.78,3478735774.0,25.0,54.0,47.0,50.0,69.0,72.0,70.89,71.0,1534.98,4561.62,3264.74,4561.62,13.63,40.5,28.98,40.5,0.0,95.0,33.0,0.0,
NVIDIA GeForce GTX 1080 Ti,dict3,57532893.0,57532893.0,57532893.0,57532893.0,10.0,10.0,10.0,10.0,63.0,63.0,63.0,63.0,1713.36,4688.63,3412.82,4673.7,15.21,41.62,30.3,41.49,5.0,85.0,20.71,6.0,
NVIDIA GeForce GTX 1080 Ti,dict4,527108193.0,527108193.0,527108193.0,527108193.0,21.0,21.0,21.0,21.0,64.0,64.0,64.0,64.0,1148.1,4106.46,2923.25,4106.46,10.19,36.46,25.95,36.46,0.0,20.0,7.2,0.0,
NVIDIA GeForce GTX 1080 Ti,force,88991875.0,8669422995.0,3886301097.67,3634224921.0,64.0,97.0,90.17,95.0,55.0,58.0,56.5,56.5,1144.29,4171.65,2053.03,1283.65,10.16,37.04,18.23,11.4,0.0,97.0,14.86,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,3581496317.0,7833333520.0,4764564089.0,3821713259.5,22.0,98.0,79.0,98.0,59.0,65.0,61.0,60.0,1146.06,4172.71,2701.02,2728.71,10.17,37.04,23.98,24.23,0.0,97.0,25.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,4408463851.0,4998257717.0,4564406781.57,4464436834.0,51.0,57.0,53.71,52.0,74.0,77.0,75.57,76.0,327.78,3333.68,2416.5,3333.68,4.0,40.69,29.5,40.69,0.0,55.0,28.38,41.0,
NVIDIA GeForce RTX 2080 SUPER,force,340715194.0,25814981140.0,11113487379.5,9149126592.0,47.0,61.0,54.0,54.0,68.0,75.0,71.0,70.5,338.56,3344.46,1264.83,456.46,4.13,40.83,15.44,5.57,0.0,63.0,15.79,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,8935682267.0,9097641177.0,9016661722.0,9016661722.0,51.0,73.0,62.0,62.0,76.0,76.0,76.0,76.0,338.56,3344.46,2121.56,3344.46,4.13,40.83,25.9,40.83,0.0,43.0,15.75,3.5,
NVIDIA GeForce RTX 3070,combinator,7324036919.0,7352400519.0,7338218719.0,7338218719.0,46.0,62.0,54.0,54.0,73.0,74.0,73.5,73.5,356.11,3378.07,2401.61,3378.07,4.35,41.24,29.32,41.24,0.0,51.0,30.6,49.0,
NVIDIA GeForce RTX 3070,dict4,590563220.0,590563220.0,590563220.0,590563220.0,8.0,8.0,8.0,8.0,70.0,70.0,70.0,70.0,356.11,3312.07,1834.42,1834.58,4.35,40.43,22.39,22.39,0.0,14.0,3.67,0.0,
NVIDIA GeForce RTX 3070,force,0.0,25372036143.0,8221683379.67,1782220432.5,20.0,94.0,61.5,61.5,66.0,69.0,66.67,66.0,356.11,3378.07,1091.79,510.07,4.35,41.24,13.33,6.23,0.0,62.0,10.86,0.0,
NVIDIA GeForce RTX 3070,hybrid,0.0,11534649522.0,6502796610.0,7973740308.0,57.0,96.0,81.0,90.0,68.0,71.0,70.0,71.0,435.54,3457.5,1830.07,589.5,5.32,42.21,22.34,7.2,0.0,86.0,18.44,0.0,
NVIDIA GeForce RTX 3090,force,910418279.0,43044914828.0,20398565605.2,23169177679.0,20.0,93.0,65.6,90.0,74.0,78.0,75.8,76.0,723.67,3848.15,1541.36,982.15,2.94,15.66,6.27,4.0,0.0,92.0,14.14,0.0,
NVIDIA GeForce RTX 3090,hybrid,0.0,8382191038.0,6735572709.07,7807338765.5,20.0,90.0,57.36,63.0,75.0,80.0,77.86,78.0,504.28,3625.62,2067.14,2069.53,2.05,14.75,8.41,8.42,3.0,93.0,42.5,31.0,
NVIDIA RTX A4000,force,683798312.0,22550863458.0,11272127921.0,10926924957.0,15.0,95.0,65.25,75.5,78.0,80.0,79.0,79.0,743.73,3793.7,2153.48,905.7,4.54,23.17,13.15,5.53,0.0,96.0,14.78,0.0,
NVIDIA RTX A4000,hybrid,9599504695.0,9606811955.0,9603158325.0,9603158325.0,84.0,84.0,84.0,84.0,81.0,81.0,81.0,81.0,949.39,3999.36,2380.09,1111.36,5.8,24.42,14.53,6.79,0.0,96.0,23.55,0.0,
Radeon RX Vega,combinator,361912256.0,364706774.0,362574429.15,362474528.0,16.0,42.0,38.46,40.0,65.0,68.0,66.69,67.0,9219.59,10504.95,9979.47,10033.88,56.5,64.4,61.18,61.5,0,0,0,0,
Radeon RX Vega,dict3,40531284.0,40531284.0,40531284.0,40531284.0,0.0,0.0,0.0,0.0,71.0,71.0,71.0,71.0,4576.57,5888.97,5183.64,4859.84,28.1,36.1,31.78,29.8,0,0,0,0,
Radeon RX Vega,dict4,266524166.0,266524166.0,266524166.0,266524166.0,10.0,10.0,10.0,10.0,74.0,74.0,74.0,74.0,6898.44,8228.47,7543.55,7511.43,42.3,50.4,46.24,46.0,0,0,0,0,
Radeon RX Vega,force,507905114.0,13000900228.0,6392454501.8,5359446537.0,4.0,23.0,13.2,14.0,66.0,69.0,67.4,67.0,7658.17,9249.01,8434.24,8213.91,46.9,56.7,51.7,50.4,0,0,0,0,
Radeon RX Vega,hybrid,299616844.0,330572021.0,311215949.2,308324292.5,22.0,59.0,48.6,54.5,60.0,63.0,61.6,62.0,8425.9,10043.76,9187.05,9023.43,51.7,61.6,56.34,55.3,0,0,0,0,
