GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,68250.0,70780.0,69617.62,69945.5,91.0,97.0,96.12,97.0,70.0,74.0,71.12,70.0,2253.85,8308.0,7629.18,8303.09,20.01,73.76,67.73,73.71,1.0,98.0,76.11,97.0,
NVIDIA GeForce GTX 1080 Ti,dict2,55.0,61.0,57.25,56.5,74.0,83.0,76.38,76.0,58.0,60.0,58.5,58.0,1680.16,7676.96,6822.26,7666.27,14.92,68.15,60.57,68.06,0.0,97.0,64.75,76.0,
NVIDIA GeForce GTX 1080 Ti,dict4,77569.0,81246.0,78361.28,78053.0,96.0,97.0,96.89,97.0,82.0,85.0,83.44,83.5,1145.16,7130.46,6610.16,7130.46,10.17,63.3,58.68,63.3,0.0,99.0,84.04,97.0,
NVIDIA GeForce GTX 1080 Ti,force,5.0,5.0,5.0,5.0,76.0,84.0,77.11,76.0,54.0,54.0,54.0,54.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,32003.0,32016.0,32008.57,32003.0,96.0,97.0,96.14,96.0,61.0,61.0,61.0,61.0,1146.19,7196.84,4522.67,7196.84,10.18,63.89,40.15,63.89,0.0,99.0,48.5,48.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,74651.0,76914.0,75589.54,75288.0,73.0,75.0,74.0,74.0,84.0,86.0,85.38,85.0,327.78,6357.68,4219.96,6357.68,4.0,77.61,51.51,77.61,0.0,84.0,48.36,78.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,60.0,61.0,60.93,61.0,43.0,44.0,43.86,44.0,60.0,60.0,60.0,60.0,338.56,6302.46,5109.81,6302.46,4.13,76.93,62.38,76.93,0.0,68.0,48.4,59.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,96867.0,100763.0,98441.22,98066.0,91.0,92.0,91.67,92.0,86.0,89.0,87.06,87.0,338.56,6302.46,5524.64,6302.46,4.13,76.93,67.44,76.93,0.0,92.0,77.13,92.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,89951.0,92387.0,90920.89,90751.0,92.0,93.0,92.06,92.0,87.0,89.0,87.89,88.0,338.56,6302.46,5524.64,6302.46,4.13,76.93,67.44,76.93,0.0,92.0,77.43,92.0,
NVIDIA GeForce RTX 2080 SUPER,force,8.0,7233.0,3386.12,320.0,58.0,65.0,61.04,59.5,63.0,71.0,64.17,64.0,338.56,6368.46,4796.61,6368.46,4.13,77.74,58.55,77.74,0.0,71.0,44.44,59.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,85834.0,87723.0,86524.78,86245.0,84.0,85.0,84.44,84.0,85.0,86.0,85.44,85.0,338.56,6368.46,3665.2,6368.46,4.13,77.74,44.74,77.74,0.0,84.0,42.59,42.5,
NVIDIA GeForce RTX 3070,combinator,93527.0,94066.0,93738.46,93739.0,91.0,92.0,91.23,91.0,77.0,82.0,79.54,80.0,356.11,6380.07,4254.59,6380.07,4.35,77.88,51.94,77.88,0.0,85.0,49.56,81.0,
NVIDIA GeForce RTX 3070,dict2,100.0,101.0,100.62,101.0,68.0,71.0,69.75,70.0,60.0,60.0,60.0,60.0,356.11,6314.07,5321.16,6314.07,4.35,77.08,64.96,77.08,0.0,76.0,55.25,73.5,
