GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,8335.0,8493.0,8414.38,8423.5,88.0,95.0,93.38,94.0,58.0,60.0,59.0,59.0,2249.89,4271.38,3929.49,4265.25,19.97,37.92,34.89,37.87,1.0,96.0,73.94,94.5,
NVIDIA GeForce GTX 1080 Ti,dict2,94.0,99.0,96.88,97.5,94.0,96.0,94.75,94.5,57.0,59.0,58.25,58.5,1681.12,3625.27,3170.99,3623.77,14.92,32.18,28.15,32.17,0.0,95.0,68.64,94.0,
NVIDIA GeForce GTX 1080 Ti,dict3,9152.0,9174.0,9168.5,9170.5,94.0,96.0,94.89,95.0,71.0,71.0,71.0,71.0,1680.05,3633.13,3366.01,3615.32,14.92,32.25,29.88,32.1,3.0,96.0,79.83,95.0,
NVIDIA GeForce GTX 1080 Ti,dict4,10126.0,10133.0,10130.11,10130.0,93.0,95.0,93.89,94.0,66.0,68.0,67.17,67.0,1138.88,3081.52,2828.71,3081.52,10.11,27.36,25.11,27.36,0.0,95.0,77.43,94.0,
NVIDIA GeForce GTX 1080 Ti,force,8.0,7019.0,3111.2,286.0,88.0,97.0,95.08,95.0,53.0,54.0,53.32,53.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,4100.0,4151.0,4116.75,4112.0,96.0,97.0,96.38,96.0,57.0,57.0,57.0,57.0,1145.54,3154.84,2155.47,1284.84,10.17,28.01,19.14,11.41,0.0,94.0,37.81,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,30368.0,30504.0,30401.0,30388.0,82.0,83.0,82.5,82.5,76.0,83.0,80.33,80.5,327.78,3597.68,2234.22,3597.68,4.0,43.92,27.27,43.92,0.0,85.0,45.39,81.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,246.0,246.0,246.0,246.0,79.0,79.0,79.0,79.0,61.0,61.0,61.0,61.0,338.56,3540.46,1939.87,1939.99,4.13,43.22,23.68,23.68,0.0,76.0,40.62,48.5,
NVIDIA GeForce RTX 2080 SUPER,dict3,28984.0,29291.0,29211.59,29251.0,80.0,81.0,80.35,80.0,77.0,83.0,81.35,82.0,338.56,3540.46,3122.9,3540.46,4.13,43.22,38.12,43.22,0.0,82.0,65.52,81.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,28397.0,28680.0,28472.5,28442.0,80.0,81.0,80.17,80.0,85.0,86.0,85.39,85.0,338.56,3540.46,3123.29,3540.46,4.13,43.22,38.13,43.22,0.0,82.0,68.74,81.0,
NVIDIA GeForce RTX 2080 SUPER,force,836.0,30706.0,23561.68,30402.0,73.0,83.0,80.63,82.0,62.0,77.0,71.79,74.0,338.56,3606.46,2364.8,3606.46,4.13,44.02,28.87,44.02,0.0,82.0,45.4,73.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,28863.0,29694.0,29408.0,29485.5,82.0,83.0,82.5,82.5,75.0,80.0,77.5,77.0,338.56,3608.46,1948.64,456.46,4.13,44.05,23.79,5.57,0.0,82.0,33.22,0.0,
NVIDIA GeForce RTX 3070,combinator,90408.0,90886.0,90622.5,90598.5,92.0,94.0,93.0,93.0,76.0,80.0,78.17,78.0,356.11,6490.07,3738.67,6490.07,4.35,79.22,45.64,79.22,0.0,93.0,47.04,72.0,
NVIDIA GeForce RTX 3070,dict2,135.0,136.0,135.2,135.0,87.0,88.0,87.8,88.0,60.0,60.0,60.0,60.0,356.11,6422.07,4603.38,6422.07,4.35,78.39,56.19,78.39,0.0,91.0,60.8,85.5,
