GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,2098076256.0,2173379516.0,2143298086.25,2153909717.0,84.0,92.0,91.0,92.0,67.0,74.0,70.12,70.0,1532.52,4566.69,4061.96,4566.69,13.61,40.54,36.06,40.54,0.0,96.0,70.67,94.5,
NVIDIA GeForce GTX 1080 Ti,dict4,281334037.0,281334037.0,281334037.0,281334037.0,43.0,43.0,43.0,43.0,68.0,68.0,68.0,68.0,1146.19,2230.84,1869.57,2230.84,10.18,19.81,16.6,19.81,0.0,47.0,23.17,24.0,
NVIDIA GeForce GTX 1080 Ti,force,585312316.0,2644424845.0,2231859586.0,2290343248.0,85.0,98.0,95.93,97.0,64.0,71.0,65.73,64.0,1145.54,4176.09,3772.27,4176.09,10.17,37.07,33.49,37.07,0.0,97.0,67.93,95.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,0.0,1562453171.0,1149612002.07,1167133834.0,0.0,96.0,76.93,96.0,57.0,61.0,57.87,57.0,1145.94,4173.15,3416.16,4172.59,10.17,37.05,30.33,37.04,0.0,99.0,40.75,20.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,3556914886.0,3565055432.0,3560985159.0,3560985159.0,92.0,92.0,92.0,92.0,86.0,86.0,86.0,86.0,327.78,3333.68,2832.8,3333.68,4.0,40.69,34.58,40.69,0.0,41.0,32.11,37.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,221104904.0,226062334.0,223583619.0,223583619.0,24.0,26.0,25.0,25.0,64.0,64.0,64.0,64.0,338.56,2070.46,1218.99,1247.46,4.13,25.27,14.88,15.23,1.0,35.0,21.83,29.0,
NVIDIA GeForce RTX 2080 SUPER,force,555973015.0,3660988040.0,3047006935.4,3557719018.5,65.0,91.0,84.3,89.0,81.0,88.0,84.8,85.0,338.56,3344.46,2442.79,3344.46,4.13,40.83,29.82,40.83,0.0,86.0,38.8,36.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,0.0,3565102942.0,3081187034.85,3405570210.0,54.0,91.0,81.62,89.0,70.0,88.0,83.46,86.0,338.56,3344.46,2869.95,3344.46,4.13,40.83,35.03,40.83,0.0,49.0,26.47,33.0,
NVIDIA GeForce RTX 3070,combinator,3269830852.0,3273447553.0,3271639202.5,3271639202.5,85.0,89.0,87.0,87.0,77.0,77.0,77.0,77.0,356.11,3378.07,2730.65,3378.07,4.35,41.24,33.33,41.24,0.0,83.0,63.86,81.0,
NVIDIA GeForce RTX 3070,dict4,263718784.0,263817502.0,263768143.0,263768143.0,14.0,20.0,17.0,17.0,59.0,59.0,59.0,59.0,356.11,2058.07,1208.46,1212.07,4.35,25.12,14.75,14.8,0.0,18.0,8.12,7.0,
NVIDIA GeForce RTX 3070,force,607870216.0,3830801831.0,2980702571.83,3685333139.5,89.0,97.0,94.17,95.0,73.0,76.0,75.33,76.0,356.11,3378.07,2370.97,3378.07,4.35,41.24,28.94,41.24,0.0,98.0,55.0,64.0,
NVIDIA GeForce RTX 3070,hybrid,2392171236.0,3454950583.0,3307205086.58,3371637816.5,41.0,92.0,85.42,89.0,63.0,74.0,71.0,71.5,435.36,3467.34,2556.17,3456.34,5.31,42.33,31.2,42.19,0.0,96.0,40.3,25.0,
NVIDIA GeForce RTX 3090,combinator,5400408749.0,5400408749.0,5400408749.0,5400408749.0,78.0,78.0,78.0,78.0,84.0,84.0,84.0,84.0,499.16,3621.83,2376.49,3621.83,2.03,14.74,9.67,14.74,0.0,88.0,35.2,1.0,
NVIDIA GeForce RTX 3090,dict4,450957923.0,450957923.0,450957923.0,450957923.0,19.0,19.0,19.0,19.0,73.0,73.0,73.0,73.0,537.73,3553.34,2347.95,3553.34,2.19,14.46,9.55,14.46,0.0,23.0,9.8,9.0,
NVIDIA GeForce RTX 3090,force,39984076.0,6034836661.0,3937110938.43,5358011914.0,80.0,96.0,91.14,94.0,80.0,82.0,80.57,80.0,725.0,3846.34,2676.21,3846.34,2.95,15.65,10.89,15.65,0.0,96.0,54.12,76.5,
NVIDIA GeForce RTX 3090,hybrid,0.0,5944335786.0,1840642974.33,800762547.0,0.0,91.0,40.56,31.0,71.0,81.0,74.89,75.0,513.45,3636.12,2915.71,3636.12,2.09,14.8,11.86,14.8,2.0,98.0,30.69,30.0,
NVIDIA RTX A4000,combinator,2948074206.0,2953021384.0,2950547795.0,2950547795.0,87.0,87.0,87.0,87.0,85.0,85.0,85.0,85.0,974.71,4024.68,3618.35,4024.68,5.95,24.58,22.1,24.58,0.0,96.0,77.44,94.0,
NVIDIA RTX A4000,dict4,253578727.0,253818368.0,253698547.5,253698547.5,15.0,23.0,19.0,19.0,70.0,70.0,70.0,70.0,727.91,2503.88,1912.33,2503.88,4.44,15.29,11.68,15.29,1.0,52.0,20.89,20.0,
NVIDIA RTX A4000,force,568226766.0,3206063339.0,2769525431.6,3191514980.0,73.0,91.0,85.7,89.5,84.0,87.0,85.7,86.0,743.73,3793.7,3140.42,3793.7,4.54,23.17,19.18,23.17,0.0,94.0,53.64,78.0,
NVIDIA RTX A4000,hybrid,1792366619.0,3104319039.0,2847451516.15,3018806798.0,16.0,92.0,81.31,90.0,77.0,84.0,80.92,81.0,975.64,4025.61,3556.53,4025.61,5.96,24.58,21.72,24.58,0.0,97.0,43.38,29.0,
Radeon RX Vega,combinator,619673449.0,625465777.0,620957670.14,620174071.5,14.0,40.0,34.0,36.5,62.0,65.0,63.5,63.0,9376.94,10670.0,10388.8,10661.22,57.5,65.4,63.69,65.4,0,0,0,0,
Radeon RX Vega,dict3,50778771.0,50778771.0,50778771.0,50778771.0,0.0,0.0,0.0,0.0,70.0,70.0,70.0,70.0,4577.45,5900.72,5422.7,5867.38,28.1,36.2,33.26,36.0,0,0,0,0,
Radeon RX Vega,dict4,100772228.0,104643108.0,102278729.83,102309008.5,0.0,53.0,20.08,16.0,71.0,71.0,71.0,71.0,7039.1,8381.24,7971.26,8321.03,43.2,51.4,48.87,51.0,0,0,0,0,
Radeon RX Vega,force,18806787.0,426431877.0,394033538.48,425190675.0,2.0,94.0,57.65,64.0,67.0,70.0,69.39,70.0,7313.29,8922.62,8249.89,8388.79,44.8,54.7,50.59,51.45,0,0,0,0,
Radeon RX Vega,hybrid,415476035.0,709785542.0,476238693.73,417933006.0,0.0,58.0,30.4,29.0,58.0,59.0,58.13,58.0,8491.81,10098.78,9272.21,8942.74,52.1,61.9,56.85,54.85,0,0,0,0,
