GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,2566933278.0,2938805156.0,2703798257.88,2657487545.0,22.0,52.0,47.0,51.0,67.0,69.0,68.12,68.0,1534.98,4561.62,4057.28,4561.62,13.63,40.5,36.02,40.5,0.0,53.0,36.28,51.0,
NVIDIA GeForce GTX 1080 Ti,dict3,31476048.0,40623396.0,34936168.67,32709062.0,10.0,12.0,11.33,12.0,64.0,65.0,64.33,64.0,1713.92,4689.7,3575.74,4689.45,15.22,41.63,31.74,41.63,5.0,55.0,13.12,7.0,
NVIDIA GeForce GTX 1080 Ti,dict4,805895978.0,805895978.0,805895978.0,805895978.0,35.0,35.0,35.0,35.0,66.0,66.0,66.0,66.0,1145.16,4106.46,2922.07,4106.46,10.17,36.46,25.94,36.46,0.0,35.0,13.2,0.0,
NVIDIA GeForce GTX 1080 Ti,force,115627328.0,8633298586.0,4240338093.0,3696351377.0,74.0,97.0,90.83,93.5,55.0,58.0,56.5,56.5,1145.0,4171.65,2108.81,1283.65,10.17,37.04,18.72,11.4,0.0,97.0,16.0,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,0.0,1335452661.0,886612729.95,1279939587.5,0.0,97.0,45.6,58.5,53.0,58.0,54.95,55.0,1146.06,4172.71,2701.02,2728.71,10.17,37.04,23.98,24.23,0.0,96.0,25.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,force,29769923.0,25582345702.0,11737551129.43,13571984091.0,56.0,76.0,63.43,56.0,72.0,82.0,75.86,75.0,338.56,3344.46,1285.18,456.46,4.13,40.83,15.69,5.57,0.0,70.0,17.29,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,7799465161.0,10381994299.0,9090729730.0,9090729730.0,2.0,66.0,34.0,34.0,71.0,77.0,74.0,74.0,338.56,3344.46,2010.38,3344.46,4.13,40.83,24.54,40.83,0.0,54.0,18.73,3.0,
NVIDIA GeForce RTX 3070,combinator,7293271716.0,7675751367.0,7422614073.25,7360716605.0,36.0,69.0,50.25,48.0,75.0,76.0,75.25,75.0,356.11,3378.07,2202.54,3378.07,4.35,41.24,26.89,41.24,0.0,62.0,29.38,38.0,
NVIDIA GeForce RTX 3070,dict4,594289316.0,594289316.0,594289316.0,594289316.0,7.0,7.0,7.0,7.0,72.0,72.0,72.0,72.0,356.11,3312.07,2129.88,3312.07,4.35,40.43,26.0,40.43,0.0,15.0,5.6,0.0,
NVIDIA GeForce RTX 3070,force,0.0,25995096645.0,8298852042.67,2627830081.0,72.0,93.0,80.17,75.0,69.0,72.0,70.5,71.0,356.11,3378.07,1191.58,510.07,4.35,41.24,14.55,6.23,0.0,99.0,18.75,0.0,
