GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,2267064479.0,2354358134.0,2314695760.0,2316724438.0,95.0,96.0,95.67,96.0,63.0,66.0,64.11,63.0,2241.52,5281.0,4933.7,5267.59,19.9,46.88,43.8,46.76,1.0,98.0,78.89,95.0,
NVIDIA GeForce GTX 1080 Ti,dict4,282847717.0,282847717.0,282847717.0,282847717.0,46.0,46.0,46.0,46.0,64.0,64.0,64.0,64.0,1145.16,2223.52,1864.18,2223.52,10.17,19.74,16.55,19.74,0.0,46.0,22.33,21.5,
NVIDIA GeForce GTX 1080 Ti,force,321211703.0,4076964092.0,3407244899.0,4039390997.0,93.0,96.0,94.3,94.0,57.0,62.0,60.2,60.5,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,305489860.0,910061608.0,561517690.11,491568128.0,24.0,74.0,41.67,44.0,53.0,55.0,53.56,53.0,1141.75,4168.4,2917.66,4168.4,10.14,37.01,25.9,37.01,0.0,98.0,18.95,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,1523645936.0,2039010462.0,1904919161.15,1950941555.0,46.0,51.0,48.46,49.0,71.0,76.0,74.0,74.0,327.78,3333.68,2255.35,3333.68,4.0,40.69,27.53,40.69,0.0,51.0,27.11,43.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,324040223.0,324040223.0,324040223.0,324040223.0,34.0,34.0,34.0,34.0,78.0,78.0,78.0,78.0,338.56,2070.46,1493.32,2070.46,4.13,25.27,18.23,25.27,0.0,34.0,21.5,30.0,
NVIDIA GeForce RTX 2080 SUPER,force,133226727.0,6881899639.0,3423270882.5,3338978582.0,48.0,83.0,64.25,63.0,70.0,80.0,73.25,71.5,338.56,3344.46,1517.47,456.46,4.13,40.83,18.52,5.57,0.0,77.0,18.88,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,10623067.0,5341213421.0,2117050281.62,1085551885.0,1.0,74.0,35.88,25.0,57.0,78.0,64.5,62.0,338.56,3344.46,1560.03,456.46,4.13,40.83,19.04,5.57,0.0,61.0,10.89,0.5,
NVIDIA GeForce RTX 3070,combinator,5133143321.0,5133143321.0,5133143321.0,5133143321.0,88.0,88.0,88.0,88.0,75.0,75.0,75.0,75.0,356.11,3378.07,1092.43,510.07,4.35,41.24,13.34,6.23,0.0,88.0,17.36,0.0,
NVIDIA GeForce RTX 3070,dict4,254138510.0,255330271.0,254734390.5,254734390.5,17.0,24.0,20.5,20.5,63.0,63.0,63.0,63.0,356.11,2058.07,1346.51,2058.07,4.35,25.12,16.44,25.12,0.0,17.0,7.86,12.0,
