GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,1638359273.0,1697263980.0,1668900950.75,1668411888.0,93.0,94.0,93.12,93.0,68.0,72.0,69.25,68.0,2177.06,5325.18,4742.4,5213.49,19.33,47.28,42.1,46.28,1.0,96.0,78.0,94.0,
NVIDIA GeForce GTX 1080 Ti,dict4,259487677.0,261913281.0,260700479.0,260700479.0,43.0,47.0,45.0,45.0,70.0,70.0,70.0,70.0,1148.1,2230.46,1838.7,2230.46,10.19,19.8,16.32,19.8,0.0,40.0,21.88,30.0,
NVIDIA GeForce GTX 1080 Ti,force,398170931.0,1517998476.0,1411984407.81,1516273198.0,95.0,97.0,95.25,95.0,61.0,65.0,64.19,65.0,1140.73,4171.65,3231.64,4171.65,10.13,37.04,28.69,37.04,0.0,98.0,57.27,92.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,0.0,797444302.0,712850248.81,796746866.5,24.0,96.0,85.75,94.0,55.0,57.0,56.44,57.0,1143.6,4172.84,2705.58,2728.84,10.15,37.05,24.02,24.23,0.0,94.0,30.11,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,2315400492.0,2427836496.0,2359467926.85,2355327067.0,81.0,90.0,89.0,90.0,85.0,90.0,87.46,87.0,327.78,3333.68,2284.6,3333.68,4.0,40.69,27.89,40.69,0.0,71.0,39.64,68.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,200570672.0,206698938.0,203335075.33,202735616.0,30.0,30.0,30.0,30.0,71.0,72.0,71.33,71.0,338.56,2070.46,1421.24,2070.46,4.13,25.27,17.35,25.27,0.0,29.0,16.25,19.5,
NVIDIA GeForce RTX 2080 SUPER,force,522661848.0,2626815772.0,2283725707.33,2586925976.5,65.0,93.0,85.17,92.0,73.0,87.0,82.67,85.0,338.56,3344.46,1780.74,456.46,4.13,40.83,21.74,5.57,0.0,93.0,33.4,31.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,1875822500.0,2518267240.0,2402436116.92,2434040299.5,46.0,93.0,86.67,93.0,75.0,88.0,85.08,86.0,338.56,3344.46,2095.56,3344.46,4.13,40.83,25.58,40.83,0.0,93.0,23.19,1.0,
NVIDIA GeForce RTX 3070,combinator,2388808535.0,2396136018.0,2392118442.67,2391410775.0,89.0,90.0,89.67,90.0,78.0,79.0,78.33,78.0,356.11,3378.07,2333.31,3378.07,4.35,41.24,28.48,41.24,0.0,95.0,52.6,87.0,
NVIDIA GeForce RTX 3070,dict4,376406844.0,376406844.0,376406844.0,376406844.0,30.0,30.0,30.0,30.0,73.0,73.0,73.0,73.0,356.11,2058.07,1490.91,2058.07,4.35,25.12,18.2,25.12,0.0,27.0,12.5,11.5,
NVIDIA GeForce RTX 3070,force,483207269.0,2582156585.0,2303696362.83,2571631038.0,50.0,95.0,87.58,92.0,64.0,73.0,70.08,70.5,356.11,3378.07,2077.85,3378.07,4.35,41.24,25.36,41.24,0.0,94.0,49.44,79.5,
NVIDIA GeForce RTX 3070,hybrid,1604608388.0,2518246632.0,2352673160.5,2450332242.5,38.0,93.0,82.43,92.0,69.0,78.0,75.0,76.0,501.25,3522.23,1441.31,654.23,6.12,43.0,17.59,7.99,0.0,92.0,8.29,0.0,
NVIDIA GeForce RTX 3090,combinator,3944507408.0,3944507408.0,3944507408.0,3944507408.0,90.0,90.0,90.0,90.0,84.0,84.0,84.0,84.0,499.16,3621.83,2581.16,3621.83,2.03,14.74,10.5,14.74,0.0,90.0,44.83,44.5,
NVIDIA GeForce RTX 3090,dict4,288856800.0,288856800.0,288856800.0,288856800.0,16.0,16.0,16.0,16.0,78.0,78.0,78.0,78.0,540.61,3553.34,2241.0,2822.34,2.2,14.46,9.12,11.48,0.0,16.0,6.88,4.0,
NVIDIA GeForce RTX 3090,force,0.0,4271063737.0,3157366717.78,4213460815.0,76.0,93.0,89.56,92.0,78.0,82.0,80.33,80.0,719.36,3846.34,2131.48,980.34,2.93,15.65,8.67,3.99,0.0,92.0,23.25,0.5,
NVIDIA GeForce RTX 3090,hybrid,0.0,4112607570.0,2230818365.29,2256225403.0,2.0,93.0,59.86,57.0,71.0,81.0,76.29,75.0,511.28,3632.62,2295.94,3632.62,2.08,14.78,9.34,14.78,0.0,96.0,26.86,0.0,
