GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,3093910854.0,3268352616.0,3207908439.0,3228662588.0,94.0,94.0,94.0,94.0,83.0,84.0,83.38,83.0,2219.58,5238.31,4902.93,5238.31,19.71,46.5,43.53,46.5,6.0,98.0,73.61,93.5,
NVIDIA GeForce GTX 1080 Ti,force,19527729396.0,20931376271.0,19959793786.89,19795950406.0,96.0,97.0,96.22,96.0,62.0,63.0,62.78,63.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,0.0,2102808785.0,1446452446.0,1497553378.5,51.0,98.0,93.25,97.0,57.0,64.0,58.08,57.0,1141.75,4168.4,3324.65,4168.4,10.14,37.01,29.52,37.01,0.0,96.0,47.3,31.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,2537371970.0,2596111307.0,2558218170.23,2553468822.0,83.0,84.0,83.54,84.0,84.0,86.0,84.77,85.0,327.78,3333.68,2634.87,3333.68,4.0,40.69,32.16,40.69,0.0,63.0,41.33,62.0,
NVIDIA GeForce RTX 2080 SUPER,force,33579270706.0,34394213273.0,33891686706.38,33823053458.5,94.0,94.0,94.0,94.0,86.0,86.0,86.0,86.0,338.56,3344.46,2134.59,3344.46,4.13,40.83,26.06,40.83,0.0,89.0,51.88,88.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,2604264821.0,2671219154.0,2619741163.27,2613004135.0,68.0,89.0,84.45,88.0,79.0,85.0,83.27,84.0,338.56,3344.46,2706.42,3344.46,4.13,40.83,33.04,40.83,0.0,81.0,52.22,78.0,
NVIDIA GeForce RTX 3070,combinator,4171744986.0,4206757436.0,4186125283.5,4183597385.5,84.0,89.0,86.12,85.5,75.0,80.0,78.12,78.5,356.11,3378.07,2448.18,3378.07,4.35,41.24,29.89,41.24,0.0,85.0,44.53,63.0,
NVIDIA GeForce RTX 3070,force,34255359756.0,34336246589.0,34307934614.25,34314412901.0,93.0,93.0,93.0,93.0,75.0,78.0,76.62,76.5,356.11,3378.07,2237.19,3378.07,4.35,41.24,27.31,41.24,0.0,96.0,55.22,92.5,
NVIDIA GeForce RTX 3070,hybrid,3950299073.0,3991005252.0,3960171547.6,3958959547.0,77.0,84.0,81.9,82.0,75.0,78.0,76.9,77.0,500.27,3522.23,2754.06,3522.23,6.11,43.0,33.62,43.0,0.0,92.0,52.39,89.0,
NVIDIA GeForce RTX 3090,combinator,5540467096.0,5584510463.0,5558125078.67,5554418603.0,77.0,80.0,78.17,78.0,85.0,86.0,85.5,85.5,499.16,3621.83,3102.05,3621.83,2.03,14.74,12.62,14.74,0.0,78.0,53.72,64.5,
NVIDIA GeForce RTX 3090,force,57864267898.0,57955573200.0,57883354192.25,57871211660.5,85.0,94.0,92.12,93.0,82.0,84.0,83.5,84.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,6115693740.0,6166226925.0,6136719613.7,6135686726.5,74.0,77.0,76.7,77.0,83.0,85.0,84.6,85.0,520.7,3643.93,2655.27,3643.93,2.12,14.83,10.8,14.83,0.0,90.0,44.33,76.0,
NVIDIA RTX A4000,combinator,3618639863.0,3655280952.0,3632600605.8,3629525614.0,67.0,88.0,85.2,87.0,83.0,86.0,84.7,85.0,954.11,4083.25,3153.07,3993.62,5.83,24.93,19.25,24.39,0.0,94.0,59.41,91.5,
NVIDIA RTX A4000,force,28974178415.0,29093248776.0,29029138636.0,29026428810.0,88.0,90.0,88.22,88.0,85.0,87.0,86.44,87.0,,,,,,,,,,,,,
NVIDIA RTX A4000,hybrid,3751997297.0,3871582658.0,3770184659.5,3760176309.0,62.0,91.0,87.33,90.0,83.0,87.0,85.58,86.0,1064.16,4114.12,3318.05,4114.12,6.5,25.12,20.26,25.12,1.0,97.0,65.77,93.0,
Radeon RX Vega,combinator,949193412.0,966590186.0,962333831.92,964093725.0,12.0,42.0,35.77,39.0,68.0,69.0,68.77,69.0,9268.23,10586.92,10266.33,10546.86,56.8,64.9,62.94,64.7,0,0,0,0,
Radeon RX Vega,hybrid,0.0,959030506.0,873054734.58,954179514.5,0.0,57.0,35.33,39.5,58.0,65.0,62.08,62.5,7967.89,9585.67,9293.47,9579.24,48.8,58.8,56.95,58.7,0,0,0,0,
