GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,116813274.0,119096557.0,117975928.62,117930587.0,92.0,93.0,92.5,92.5,60.0,62.0,60.62,60.0,2239.66,5315.38,4782.96,5280.91,19.88,47.19,42.46,46.88,1.0,96.0,73.83,94.0,
NVIDIA GeForce GTX 1080 Ti,dict3,39520228.0,39520228.0,39520228.0,39520228.0,25.0,25.0,25.0,25.0,68.0,68.0,68.0,68.0,1700.45,2811.32,2443.94,2808.09,15.1,24.96,21.7,24.93,3.0,20.0,13.0,17.0,
NVIDIA GeForce GTX 1080 Ti,dict4,142397174.0,144925780.0,143659425.6,143545477.0,44.0,48.0,46.2,46.0,66.0,66.0,66.0,66.0,1145.16,2230.46,1989.36,2230.46,10.17,19.8,17.66,19.8,0.0,51.0,33.33,44.0,
NVIDIA GeForce GTX 1080 Ti,force,62960410.0,350948939.0,322678851.29,350638899.0,95.0,98.0,95.86,96.0,57.0,59.0,58.14,58.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,33109534.0,34057881.0,33551035.45,33410649.0,95.0,97.0,96.0,96.0,54.0,54.0,54.0,54.0,1145.54,4178.84,2785.81,3641.84,10.17,37.1,24.73,32.33,0.0,72.0,17.65,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,255051327.0,255510398.0,255298222.31,255343304.0,91.0,92.0,91.77,92.0,75.0,79.0,77.46,78.0,327.78,3339.68,1976.99,3339.68,4.0,40.77,24.13,40.77,0.0,93.0,45.24,49.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,169539272.0,171049700.0,170088771.0,169883056.0,35.0,39.0,37.25,37.5,76.0,79.0,78.0,78.5,338.56,2070.46,1637.64,2070.46,4.13,25.27,19.99,25.27,0.0,37.0,23.08,28.0,
NVIDIA GeForce RTX 2080 SUPER,force,233649316.0,675974725.0,642545186.15,671685160.0,57.0,92.0,87.05,92.0,69.0,83.0,79.4,81.5,338.56,3350.46,2249.66,3350.46,4.13,40.9,27.46,40.9,0.0,93.0,49.26,61.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,229135536.0,240780763.0,231273662.3,229474789.0,84.0,86.0,85.2,85.0,70.0,76.0,73.5,73.5,338.56,3350.46,2032.14,3350.46,4.13,40.9,24.81,40.9,0.0,94.0,41.0,28.0,
NVIDIA GeForce RTX 3070,combinator,325669849.0,327588533.0,326347960.46,326204232.0,87.0,88.0,87.85,88.0,70.0,73.0,71.62,72.0,356.11,3388.07,2051.87,3388.07,4.35,41.36,25.05,41.36,0.0,91.0,43.28,1.0,
