GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,76623.0,79189.0,77560.75,77243.0,95.0,97.0,96.25,96.5,83.0,85.0,84.12,84.0,2228.39,8384.44,7700.47,8384.44,19.78,74.44,68.36,74.44,6.0,97.0,75.89,96.0,
NVIDIA GeForce GTX 1080 Ti,dict1,430.0,430.0,430.0,430.0,70.0,70.0,70.0,70.0,59.0,59.0,59.0,59.0,1601.58,7699.73,4653.01,4654.34,14.22,68.36,41.31,41.32,2.0,75.0,22.83,7.5,
NVIDIA GeForce GTX 1080 Ti,dict2,33.0,37.0,34.84,34.0,60.0,66.0,63.32,63.0,59.0,61.0,59.53,59.0,1641.48,7747.26,7157.26,7732.13,14.57,68.78,63.54,68.64,3.0,83.0,64.76,78.0,
NVIDIA GeForce GTX 1080 Ti,force,3.0,3.0,3.0,3.0,77.0,78.0,77.38,77.0,54.0,54.0,54.0,54.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,26188.0,26660.0,26600.0,26658.0,91.0,94.0,93.12,94.0,56.0,57.0,56.5,56.5,1146.19,7302.84,2819.26,1284.84,10.18,64.83,25.03,11.41,0.0,98.0,22.42,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,59850.0,62383.0,61764.79,61953.0,63.0,75.0,70.93,71.5,81.0,86.0,84.86,85.0,327.78,6463.68,2366.74,445.68,4.0,78.9,28.89,5.44,0.0,77.0,21.22,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,52.0,52.0,52.0,52.0,41.0,41.0,41.0,41.0,60.0,61.0,60.65,61.0,338.56,6408.46,5580.83,6408.46,4.13,78.23,68.13,78.23,0.0,41.0,35.05,40.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,80810.0,86892.0,85697.56,86848.5,90.0,92.0,90.89,91.0,85.0,89.0,86.72,86.0,338.56,6408.46,5616.82,6408.46,4.13,78.23,68.56,78.23,0.0,92.0,77.13,91.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,72216.0,78192.0,77062.83,78192.0,91.0,92.0,91.39,91.0,87.0,88.0,87.94,88.0,338.56,6408.46,5856.7,6408.46,4.13,78.23,71.49,78.23,0.0,93.0,80.73,91.0,
NVIDIA GeForce RTX 2080 SUPER,force,5.0,5.0,5.0,5.0,41.0,41.0,41.0,41.0,61.0,61.0,61.0,61.0,338.56,6474.46,2027.01,456.46,4.13,79.03,24.74,5.57,0.0,49.0,10.05,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,62460.0,65426.0,63396.78,63324.0,68.0,73.0,70.44,70.0,82.0,85.0,83.78,84.0,338.56,6474.46,1922.31,456.46,4.13,79.03,23.47,5.57,0.0,72.0,14.82,0.0,
NVIDIA GeForce RTX 3070,combinator,84206.0,85158.0,84512.62,84409.0,89.0,92.0,90.46,90.0,70.0,76.0,73.46,74.0,356.11,6484.07,2415.61,510.07,4.35,79.15,29.49,6.23,0.0,77.0,20.5,0.0,
NVIDIA GeForce RTX 3070,dict2,80.0,81.0,80.9,81.0,46.0,60.0,58.1,59.0,60.0,60.0,60.0,60.0,356.11,6418.07,5205.81,6418.07,4.35,78.35,63.55,78.35,0.0,61.0,46.8,60.0,
NVIDIA GeForce RTX 3070,dict3,82681.0,84215.0,83450.06,83272.0,91.0,93.0,92.0,92.0,84.0,84.0,84.0,84.0,356.11,6418.07,5627.47,6418.07,4.35,78.35,68.69,78.35,0.0,93.0,77.83,90.0,
