GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,dict1,437.0,437.0,437.0,437.0,39.0,39.0,39.0,39.0,60.0,60.0,60.0,60.0,1610.58,6651.23,4131.19,4131.77,14.3,59.05,36.68,36.68,2.0,100.0,41.67,34.0,
NVIDIA GeForce GTX 1080 Ti,dict2,46.0,51.0,47.78,47.0,84.0,88.0,86.67,87.0,59.0,60.0,59.17,59.0,1685.8,7002.11,6156.06,6836.16,14.97,62.16,54.65,60.69,0.0,88.0,66.05,81.0,
NVIDIA GeForce GTX 1080 Ti,dict3,78567.0,83254.0,79644.39,79235.5,96.0,97.0,96.61,97.0,82.0,89.0,84.11,83.5,1152.25,6192.9,3673.45,3674.04,10.23,54.98,32.61,32.62,0.0,98.0,32.5,0.0,
NVIDIA GeForce GTX 1080 Ti,dict4,96788.0,103992.0,98420.56,97816.5,97.0,98.0,97.78,98.0,82.0,86.0,84.06,84.0,1143.66,6186.46,5748.05,6186.46,10.15,54.92,51.03,54.92,0.0,98.0,84.96,98.0,
NVIDIA GeForce GTX 1080 Ti,force,4.0,5.0,4.56,5.0,84.0,88.0,86.44,87.0,56.0,59.0,57.22,57.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,40505.0,40532.0,40525.75,40531.0,94.0,95.0,94.38,94.0,57.0,57.0,57.0,57.0,1146.19,6252.84,2676.3,1284.84,10.18,55.51,23.76,11.41,0.0,98.0,24.52,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,81034.0,83618.0,81896.69,81675.0,82.0,83.0,82.92,83.0,86.0,89.0,87.38,87.0,327.78,5413.68,2116.93,445.68,4.0,66.08,25.84,5.44,0.0,81.0,25.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,110.0,111.0,110.57,111.0,64.0,67.0,65.86,66.0,61.0,61.0,61.0,61.0,338.56,5358.46,3998.2,5358.46,4.13,65.41,48.81,65.41,0.0,77.0,54.0,64.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,99996.0,105473.0,102539.44,101755.0,94.0,95.0,94.89,95.0,86.0,90.0,87.17,87.0,338.56,5358.46,4703.77,5358.46,4.13,65.41,57.42,65.41,0.0,95.0,80.17,95.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,93255.0,97593.0,94282.22,93908.0,95.0,95.0,95.0,95.0,87.0,88.0,87.89,88.0,338.56,5358.46,4703.77,5358.46,4.13,65.41,57.42,65.41,0.0,95.0,80.87,95.0,
NVIDIA GeForce RTX 2080 SUPER,force,11.0,80975.0,36306.19,14378.5,59.0,75.0,67.35,67.0,66.0,87.0,75.46,70.0,338.56,5424.46,2535.98,456.46,4.13,66.22,30.96,5.57,0.0,81.0,28.7,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,105144.0,108047.0,106352.0,106105.5,95.0,96.0,95.12,95.0,85.0,87.0,86.12,86.0,338.56,5424.46,1662.04,456.46,4.13,66.22,20.29,5.57,0.0,81.0,19.62,0.0,
NVIDIA GeForce RTX 3070,combinator,103246.0,104167.0,103623.46,103568.0,94.0,96.0,95.0,95.0,72.0,79.0,76.0,76.0,356.11,5442.07,2144.49,510.07,4.35,66.43,26.18,6.23,0.0,95.0,26.42,0.0,
NVIDIA GeForce RTX 3070,dict2,119.0,121.0,120.17,120.0,59.0,70.0,65.17,65.5,60.0,60.0,60.0,60.0,356.11,5376.07,4463.44,5376.07,4.35,65.63,54.49,65.63,0.0,72.0,48.64,71.0,
NVIDIA GeForce RTX 3070,dict3,98222.0,100578.0,98885.72,98298.5,50.0,96.0,92.61,95.0,83.0,85.0,84.44,85.0,356.11,5376.07,4721.38,5376.07,4.35,65.63,57.63,65.63,0.0,95.0,77.57,94.0,
NVIDIA GeForce RTX 3070,dict4,98372.0,100099.0,99031.59,98639.0,95.0,96.0,95.12,95.0,83.0,85.0,84.06,84.0,356.11,5376.07,4898.83,5376.07,4.35,65.63,59.8,65.63,0.0,95.0,79.24,94.0,
NVIDIA GeForce RTX 3070,force,11.0,90941.0,37904.32,8492.0,56.0,86.0,73.81,74.0,67.0,77.0,71.06,70.0,356.11,5442.07,2572.31,510.07,4.35,66.43,31.4,6.23,0.0,83.0,29.84,0.0,
NVIDIA GeForce RTX 3070,hybrid,103979.0,104605.0,104197.62,104168.5,95.0,96.0,95.38,95.0,71.0,74.0,72.5,72.5,514.27,5596.73,2034.13,664.73,6.28,68.32,24.83,8.11,0.0,95.0,23.88,0.0,
NVIDIA GeForce RTX 3090,combinator,142538.0,144957.0,143430.0,143261.0,79.0,83.0,80.07,80.0,81.0,85.0,83.5,83.5,499.16,5683.83,5107.83,5683.83,2.03,23.13,20.78,23.13,0.0,95.0,73.39,90.0,
NVIDIA GeForce RTX 3090,dict2,118.0,118.0,118.0,118.0,36.0,69.0,62.83,68.0,74.0,74.0,74.0,74.0,499.91,5618.58,4715.44,5618.58,2.03,22.86,19.19,22.86,0.0,70.0,50.71,59.0,
