GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,74876.0,77060.0,75636.12,75390.0,97.0,98.0,97.5,97.5,83.0,84.0,83.5,83.5,2227.41,8782.06,7799.13,8782.06,19.77,77.97,69.24,77.97,6.0,98.0,78.2,97.5,
NVIDIA GeForce GTX 1080 Ti,dict2,59.0,66.0,61.6,61.0,69.0,90.0,87.2,89.0,57.0,59.0,57.33,57.0,1641.84,8133.33,7367.1,8129.52,14.58,72.21,65.4,72.17,3.0,98.0,73.47,82.0,
NVIDIA GeForce GTX 1080 Ti,dict4,74810.0,78750.0,75770.06,75368.5,97.0,98.0,97.61,98.0,82.0,86.0,83.78,84.0,1148.1,7637.21,6825.77,7637.21,10.19,67.8,60.6,67.8,0.0,98.0,79.88,97.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,6.0,5.33,6.0,87.0,98.0,89.11,88.0,54.0,57.0,55.0,54.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,29741.0,29802.0,29786.88,29798.5,95.0,95.0,95.0,95.0,56.0,57.0,56.75,57.0,1146.19,7700.84,3795.3,1284.84,10.18,68.37,33.69,11.41,0.0,98.0,33.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,92412.0,95488.0,93651.46,93362.0,94.0,95.0,94.69,95.0,85.0,89.0,86.69,86.0,327.78,6861.68,3458.06,445.68,4.0,83.76,42.21,5.44,0.0,94.0,40.26,0.5,
NVIDIA GeForce RTX 2080 SUPER,dict2,109.0,109.0,109.0,109.0,69.0,71.0,69.86,70.0,61.0,62.0,61.14,61.0,338.56,6806.46,5728.56,6806.46,4.13,83.09,69.93,83.09,0.0,74.0,57.67,72.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,89174.0,94529.0,91136.89,90911.0,93.0,94.0,93.67,94.0,85.0,89.0,87.17,87.0,338.56,6806.46,5962.9,6806.46,4.13,83.09,72.79,83.09,0.0,94.0,79.91,94.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,84289.0,90509.0,86043.11,85205.0,94.0,94.0,94.0,94.0,87.0,89.0,87.78,88.0,338.56,6806.46,5962.9,6806.46,4.13,83.09,72.79,83.09,0.0,94.0,79.57,94.0,
NVIDIA GeForce RTX 2080 SUPER,force,11.0,7655.0,4057.91,7517.0,66.0,71.0,68.61,69.0,61.0,65.0,62.87,63.0,338.56,6872.46,4161.73,6872.46,4.13,83.89,50.8,83.89,0.0,73.0,41.0,68.5,
