GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,8152139956.0,8152139956.0,8152139956.0,8152139956.0,90.0,90.0,90.0,90.0,71.0,71.0,71.0,71.0,1662.2,4689.5,3176.07,3176.18,14.76,41.63,28.2,28.2,6.0,97.0,35.17,6.5,
NVIDIA GeForce GTX 1080 Ti,dict4,783655133.0,783655133.0,783655133.0,783655133.0,36.0,36.0,36.0,36.0,66.0,66.0,66.0,66.0,1148.1,4109.4,2923.83,4106.46,10.19,36.48,25.96,36.46,0.0,14.0,3.0,0.0,
NVIDIA GeForce GTX 1080 Ti,force,657679558.0,5393397761.0,3642379125.17,3992290785.5,94.0,98.0,95.83,96.0,57.0,64.0,59.5,57.5,1143.66,4171.65,2833.74,4171.65,10.15,37.04,25.16,37.04,0.0,98.0,40.64,18.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,4968323878.0,7921295534.0,6116713630.33,5460521479.0,30.0,97.0,74.67,97.0,60.0,67.0,62.67,61.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,force,760789016.0,18935049762.0,9372609237.25,8897299085.5,65.0,78.0,69.0,66.5,73.0,81.0,76.75,76.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,9920383945.0,9920383945.0,9920383945.0,9920383945.0,20.0,20.0,20.0,20.0,77.0,77.0,77.0,77.0,338.56,3344.46,2010.38,3344.46,4.13,40.83,24.54,40.83,0.0,62.0,12.64,1.0,
NVIDIA GeForce RTX 3070,combinator,3836762083.0,5252758227.0,4777894131.5,4920444328.0,33.0,58.0,50.17,56.0,69.0,70.0,69.83,70.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,force,310412499.0,18915344392.0,10222720353.0,10832562260.5,60.0,94.0,79.75,82.5,66.0,72.0,69.75,70.5,356.11,3378.07,1913.38,1944.07,4.35,41.24,23.36,23.73,0.0,96.0,34.2,0.0,
NVIDIA GeForce RTX 3070,hybrid,10884979.0,5478192595.0,3743005874.82,4816644058.0,1.0,68.0,45.59,60.0,61.0,69.0,66.18,67.0,505.5,3527.46,1900.03,659.46,6.17,43.06,23.19,8.05,0.0,5.0,1.56,0.0,
NVIDIA GeForce RTX 3090,combinator,7290477260.0,7351797161.0,7318652837.67,7313684092.0,28.0,32.0,29.33,28.0,81.0,82.0,81.67,82.0,540.61,3663.34,1952.48,797.34,2.2,14.91,7.94,3.24,0.0,63.0,9.0,0.0,
NVIDIA GeForce RTX 3090,force,1421041461.0,31559336516.0,15025368506.25,13560548024.0,50.0,93.0,79.25,87.0,80.0,82.0,80.5,80.0,651.03,3772.37,1978.71,906.37,2.65,15.35,8.05,3.69,3.0,97.0,33.8,4.0,
NVIDIA GeForce RTX 3090,hybrid,5378431526.0,13529334760.0,11199499653.0,13197298897.0,18.0,70.0,56.75,69.0,77.0,83.0,80.88,82.0,520.1,3642.77,2081.88,2082.11,2.12,14.82,8.47,8.47,0.0,91.0,27.67,4.5,
NVIDIA RTX A4000,combinator,5140382489.0,5573604795.0,5299620593.8,5246842430.0,57.0,63.0,61.8,63.0,84.0,85.0,84.4,84.0,744.04,3794.01,2984.47,3794.01,4.54,23.17,18.22,23.17,0.0,64.0,39.91,61.0,
NVIDIA RTX A4000,dict4,579867266.0,579867266.0,579867266.0,579867266.0,9.0,9.0,9.0,9.0,83.0,83.0,83.0,83.0,804.26,3804.1,2303.78,2307.55,4.91,23.23,14.07,14.09,3.0,97.0,22.33,8.5,
NVIDIA RTX A4000,force,813325085.0,16697089846.0,11035842858.33,14155850500.5,93.0,96.0,94.67,95.0,82.0,83.0,82.33,82.0,,,,,,,,,,,,,
NVIDIA RTX A4000,hybrid,737001694.0,5640166647.0,4213332189.53,5308537475.0,12.0,66.0,52.4,65.0,73.0,84.0,79.73,81.0,,,,,,,,,,,,,
Radeon RX Vega,combinator,647021239.0,655167105.0,652047600.92,652539043.0,23.0,59.0,39.38,40.0,66.0,68.0,67.0,67.0,5594.49,6891.58,6290.19,5964.42,34.3,42.2,38.56,36.6,0,0,0,0,
Radeon RX Vega,dict3,42434309.0,42434309.0,42434309.0,42434309.0,0.0,0.0,0.0,0.0,69.0,69.0,69.0,69.0,5036.32,6355.86,5652.06,5328.84,30.9,39.0,34.66,32.7,0,0,0,0,
Radeon RX Vega,dict4,286450921.0,286450921.0,286450921.0,286450921.0,14.0,14.0,14.0,14.0,72.0,72.0,72.0,72.0,6471.26,7798.62,7163.78,6821.29,39.7,47.8,43.93,41.8,0,0,0,0,
Radeon RX Vega,force,160639410.0,13369901946.0,6140979549.6,5396636177.0,6.0,18.0,13.4,15.0,59.0,61.0,59.6,59.0,7355.97,9003.55,8219.87,7989.89,45.1,55.2,50.4,48.95,0,0,0,0,
Radeon RX Vega,hybrid,521188724.0,694057260.0,646617177.69,686354995.5,0.0,56.0,38.75,41.5,57.0,60.0,58.81,59.0,8623.16,10215.05,9330.11,9192.56,52.9,62.6,57.2,56.4,0,0,0,0,
