GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,181821.0,181952.0,181883.38,181871.5,96.0,96.0,96.0,96.0,63.0,63.0,63.0,63.0,2126.64,9923.94,9057.61,9923.94,18.88,88.1,80.41,88.1,3.0,100.0,79.72,94.0,
NVIDIA GeForce GTX 1080 Ti,dict2,232.0,234.0,232.67,232.0,0.0,87.0,58.0,87.0,53.0,53.0,53.0,53.0,2156.04,9886.68,6989.61,9886.68,19.14,87.77,62.05,87.77,3.0,100.0,52.5,65.5,
NVIDIA GeForce GTX 1080 Ti,dict3,256836.0,262691.0,259821.6,258993.0,97.0,98.0,97.2,97.0,86.0,91.0,88.8,90.0,1145.16,8869.52,8197.87,8869.52,10.17,78.74,72.78,78.74,0.0,98.0,80.09,97.0,
NVIDIA GeForce GTX 1080 Ti,dict4,269289.0,270951.0,270382.83,270595.0,97.0,98.0,97.67,98.0,86.0,91.0,89.5,90.0,1143.85,8880.09,7913.41,8880.09,10.15,78.84,70.25,78.84,0.0,99.0,79.38,97.5,
NVIDIA GeForce GTX 1080 Ti,force,0.0,9585.0,4429.63,395.0,80.0,97.0,87.32,89.0,50.0,52.0,50.21,50.0,1139.23,8941.15,4752.32,1280.46,10.11,79.38,42.19,11.37,0.0,100.0,38.3,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,104588.0,104611.0,104603.5,104607.5,95.0,95.0,95.0,95.0,53.0,54.0,53.25,53.0,2170.07,9970.81,4866.77,2312.81,19.27,88.52,43.21,20.53,0.0,98.0,31.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,313152.0,320125.0,316247.38,316008.0,94.0,94.0,94.0,94.0,82.0,87.0,85.54,86.0,327.78,7357.68,2844.74,445.68,4.0,89.82,34.73,5.44,0.0,78.0,24.67,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,316.0,316.0,316.0,316.0,64.0,64.0,64.0,64.0,61.0,61.0,61.0,61.0,338.56,7300.46,4316.93,7300.46,4.13,89.12,52.7,89.12,0.0,68.0,34.43,51.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,300702.0,311357.0,304763.44,304919.0,93.0,94.0,93.78,94.0,83.0,91.0,87.33,87.0,338.56,7300.46,6393.03,7300.46,4.13,89.12,78.04,89.12,0.0,95.0,77.22,94.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,282486.0,289533.0,284679.57,284497.0,94.0,95.0,94.57,95.0,85.0,92.0,89.0,88.0,338.56,7300.46,6392.47,7300.46,4.13,89.12,78.03,89.12,0.0,95.0,77.57,94.0,
NVIDIA GeForce RTX 2080 SUPER,force,1332.0,273294.0,171117.61,264608.5,69.0,82.0,77.5,80.5,61.0,84.0,74.44,81.0,338.56,7366.46,3530.17,456.46,4.13,89.92,43.09,5.57,0.0,81.0,30.68,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,317140.0,321327.0,318744.62,318516.5,94.0,94.0,94.0,94.0,83.0,87.0,85.38,85.0,338.56,7368.46,2425.73,456.46,4.13,89.95,29.61,5.57,0.0,80.0,19.6,0.0,
NVIDIA GeForce RTX 3070,combinator,315821.0,318152.0,316616.46,316351.0,94.0,94.0,94.0,94.0,69.0,74.0,72.0,72.0,356.11,7426.07,3230.75,510.07,4.35,90.65,39.44,6.23,0.0,98.0,35.02,0.0,
NVIDIA GeForce RTX 3070,dict2,365.0,365.0,365.0,365.0,65.0,65.0,65.0,65.0,61.0,61.0,61.0,61.0,356.11,7360.07,3858.42,3858.58,4.35,89.84,47.1,47.1,0.0,76.0,34.5,29.0,
