GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,202481.0,224770.0,212687.56,210977.0,95.0,96.0,95.78,96.0,64.0,72.0,66.11,64.0,2138.23,9964.88,8707.97,9934.88,18.98,88.47,77.31,88.2,2.0,99.0,76.53,96.0,
NVIDIA GeForce GTX 1080 Ti,dict2,230.0,230.0,230.0,230.0,86.0,87.0,86.33,86.0,54.0,54.0,54.0,54.0,2161.89,9894.68,6995.42,9894.68,19.19,87.84,62.1,87.84,3.0,100.0,50.5,58.0,
NVIDIA GeForce GTX 1080 Ti,dict3,255596.0,260378.0,257797.43,257213.0,97.0,98.0,97.14,97.0,86.0,91.0,89.43,90.0,1145.16,8876.46,7587.97,8876.46,10.17,78.8,67.36,78.8,0.0,97.0,72.75,97.0,
NVIDIA GeForce GTX 1080 Ti,dict4,273815.0,273815.0,273815.0,273815.0,97.0,97.0,97.0,97.0,91.0,91.0,91.0,91.0,1140.73,8875.65,6298.29,8875.65,10.13,78.8,55.92,78.8,0.0,99.0,54.11,97.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,102521.0,46054.35,9721.5,86.0,96.0,91.88,93.0,51.0,60.0,54.38,55.0,1141.1,8938.46,8102.72,8938.46,10.13,79.35,71.93,79.35,0.0,98.0,74.78,89.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,174495.0,224999.0,200296.12,199283.5,95.0,97.0,96.38,97.0,56.0,68.0,60.25,57.5,2170.07,9970.81,8406.94,9970.81,19.27,88.52,74.64,88.52,0.0,98.0,67.8,97.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,300501.0,309268.0,303416.85,302789.0,94.0,95.0,94.54,95.0,85.0,90.0,87.08,87.0,327.78,7357.68,6247.79,7357.68,4.0,89.82,76.27,89.82,0.0,78.0,62.05,77.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,373.0,373.0,373.0,373.0,68.0,68.0,68.0,68.0,62.0,62.0,62.0,62.0,338.56,7300.46,4979.99,7300.46,4.13,89.12,60.79,89.12,0.0,65.0,48.5,61.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,287370.0,300451.0,291846.12,291411.5,86.0,95.0,93.5,94.0,84.0,91.0,88.06,88.0,338.56,7300.46,6392.86,7300.46,4.13,89.12,78.04,89.12,0.0,95.0,78.26,94.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,287414.0,290400.0,288409.33,287414.0,93.0,94.0,93.67,94.0,88.0,92.0,90.67,92.0,338.56,7300.46,5694.7,7300.46,4.13,89.12,69.52,89.12,0.0,95.0,69.62,93.0,
NVIDIA GeForce RTX 2080 SUPER,force,1327.0,270164.0,168992.44,260978.0,65.0,85.0,77.67,80.5,65.0,86.0,76.72,82.5,338.56,7366.46,6449.86,7366.46,4.13,89.92,78.73,89.92,0.0,87.0,55.57,64.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,308209.0,315764.0,311105.67,310133.0,93.0,94.0,93.67,94.0,84.0,88.0,86.22,87.0,338.56,7368.46,6287.01,7368.46,4.13,89.95,76.75,89.95,0.0,94.0,73.85,93.0,
NVIDIA GeForce RTX 3070,combinator,317569.0,318759.0,318151.62,318098.0,94.0,96.0,94.92,95.0,76.0,80.0,78.69,79.0,356.11,7426.07,6248.35,7426.07,4.35,90.65,76.27,90.65,0.0,94.0,73.5,93.0,
NVIDIA GeForce RTX 3070,dict2,409.0,409.0,409.0,409.0,66.0,66.0,66.0,66.0,60.0,60.0,60.0,60.0,356.11,7360.07,4358.51,7360.07,4.35,89.84,53.2,89.84,0.0,65.0,25.0,0.0,
NVIDIA GeForce RTX 3070,dict3,311825.0,317100.0,313424.5,312895.5,94.0,97.0,94.72,94.0,79.0,83.0,81.5,82.0,356.11,7360.07,6405.07,7360.07,4.35,89.84,78.19,89.84,0.0,95.0,76.41,93.0,
