GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,205998.0,224816.0,215751.0,215080.0,90.0,96.0,95.0,96.0,64.0,72.0,66.89,65.0,2139.08,9966.38,8903.78,9936.38,18.99,88.48,79.05,88.21,2.0,99.0,79.0,98.0,
NVIDIA GeForce GTX 1080 Ti,dict2,230.0,230.0,230.0,230.0,38.0,87.0,70.67,87.0,54.0,54.0,54.0,54.0,2150.95,9882.25,7305.29,9882.25,19.1,87.73,64.86,87.73,3.0,100.0,46.44,74.0,
NVIDIA GeForce GTX 1080 Ti,dict3,255169.0,262686.0,257530.57,257093.0,34.0,98.0,90.0,97.0,84.0,91.0,88.43,89.0,1132.73,8864.02,6931.28,8864.02,10.06,78.69,61.53,78.69,0.0,99.0,60.88,97.0,
NVIDIA GeForce GTX 1080 Ti,dict4,270398.0,272855.0,271550.29,271760.0,95.0,98.0,97.0,97.0,88.0,91.0,89.71,90.0,1145.0,8875.65,7158.14,8875.65,10.17,78.8,63.55,78.8,0.0,98.0,64.89,97.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,102523.0,46074.38,9727.0,85.0,95.0,91.58,92.0,51.0,59.0,53.58,54.5,1141.81,8938.46,7921.51,8938.46,10.14,79.35,70.33,79.35,0.0,98.0,73.83,90.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,180576.0,225256.0,206107.62,210953.0,95.0,97.0,96.25,97.0,56.0,68.0,61.0,58.5,2173.01,9973.75,8409.88,9973.75,19.29,88.55,74.66,88.55,0.0,97.0,66.87,97.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,305916.0,314545.0,308912.31,308379.0,94.0,95.0,94.15,94.0,86.0,89.0,87.31,87.0,327.78,7357.68,6247.79,7357.68,4.0,89.82,76.27,89.82,0.0,79.0,62.42,76.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,378.0,378.0,378.0,378.0,68.0,68.0,68.0,68.0,62.0,62.0,62.0,62.0,338.56,7300.46,4979.99,7300.46,4.13,89.12,60.79,89.12,0.0,65.0,35.67,41.5,
NVIDIA GeForce RTX 2080 SUPER,dict3,286338.0,295262.0,289447.25,288094.5,86.0,93.0,87.75,86.0,87.0,91.0,89.0,89.0,338.56,7300.46,6667.6,7300.46,4.13,89.12,81.39,89.12,0.0,94.0,78.09,86.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,286767.0,290080.0,287871.33,286767.0,93.0,95.0,94.33,95.0,89.0,92.0,91.0,92.0,338.56,7300.46,6430.26,7300.46,4.13,89.12,78.49,89.12,0.0,95.0,73.71,94.0,
NVIDIA GeForce RTX 2080 SUPER,force,1300.0,268610.0,173429.32,259328.0,71.0,82.0,78.32,80.0,64.0,85.0,76.21,83.0,338.56,7366.46,6408.2,7366.46,4.13,89.92,78.23,89.92,0.0,72.0,53.14,63.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,246958.0,251842.0,248757.12,248361.5,79.0,81.0,80.0,80.0,84.0,86.0,85.0,85.0,338.56,7368.46,6287.01,7368.46,4.13,89.95,76.75,89.95,0.0,94.0,72.31,93.0,
NVIDIA GeForce RTX 3070,combinator,313430.0,314960.0,314040.31,313949.0,93.0,95.0,94.08,94.0,75.0,78.0,76.38,77.0,356.11,7426.07,6640.57,7426.07,4.35,90.65,81.06,90.65,0.0,94.0,75.83,93.0,
NVIDIA GeForce RTX 3070,dict2,358.0,358.0,358.0,358.0,65.0,65.0,65.0,65.0,61.0,61.0,61.0,61.0,356.11,7360.07,4358.51,7360.07,4.35,89.84,53.2,89.84,0.0,76.0,27.0,0.0,
NVIDIA GeForce RTX 3070,dict3,310887.0,314086.0,312436.33,313068.0,93.0,99.0,94.33,94.0,78.0,82.0,80.89,81.0,356.11,7360.07,6446.6,7360.07,4.35,89.84,78.69,89.84,0.0,95.0,75.09,93.0,
NVIDIA GeForce RTX 3070,dict4,312186.0,312689.0,312344.72,312281.5,93.0,98.0,94.78,94.0,78.0,82.0,81.11,81.0,356.11,7360.07,6446.6,7360.07,4.35,89.84,78.69,89.84,0.0,95.0,76.0,93.0,
NVIDIA GeForce RTX 3070,force,1260.0,298034.0,188291.06,295618.0,67.0,89.0,82.89,88.0,62.0,72.0,67.67,69.0,356.11,7426.07,6416.17,7426.07,4.35,90.65,78.32,90.65,0.0,94.0,61.57,68.0,
NVIDIA GeForce RTX 3070,hybrid,313522.0,315801.0,314671.0,314834.5,94.0,95.0,94.5,94.5,73.0,74.0,73.75,74.0,497.5,7567.46,6479.85,7567.46,6.07,92.38,79.1,92.38,0.0,93.0,69.54,93.0,
NVIDIA GeForce RTX 3090,combinator,513761.0,516720.0,514832.77,514690.0,93.0,94.0,93.46,93.0,83.0,85.0,84.38,85.0,499.91,8430.58,7485.47,8430.58,2.03,34.3,30.46,34.3,0.0,87.0,62.83,75.0,
NVIDIA GeForce RTX 3090,dict2,373.0,373.0,373.0,373.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,505.84,8370.52,5002.02,8370.52,2.06,34.06,20.35,34.06,0.0,67.0,25.86,1.0,
NVIDIA GeForce RTX 3090,dict3,471954.0,487256.0,475082.56,473888.5,48.0,96.0,87.5,95.0,83.0,86.0,85.28,85.0,537.73,8405.34,7721.39,8405.34,2.19,34.2,31.42,34.2,0.0,95.0,77.83,94.0,
NVIDIA GeForce RTX 3090,dict4,505655.0,511482.0,507227.06,506500.0,88.0,97.0,94.94,95.0,84.0,86.0,85.76,86.0,705.03,8569.7,7543.99,8569.7,2.87,34.87,30.7,34.87,0.0,97.0,78.0,94.0,
NVIDIA GeForce RTX 3090,force,1304.0,322788.0,204636.83,285920.0,34.0,75.0,62.22,65.5,75.0,82.0,78.39,78.5,651.09,8588.63,8038.05,8584.63,2.65,34.95,32.71,34.93,3.0,98.0,79.62,94.0,
NVIDIA GeForce RTX 3090,hybrid,514742.0,518990.0,516264.0,515636.0,93.0,95.0,93.22,93.0,80.0,82.0,81.33,81.0,568.73,8499.4,6800.06,8499.4,2.31,34.58,27.67,34.58,3.0,97.0,65.07,97.0,
NVIDIA RTX A4000,combinator,278777.0,281255.0,279963.92,280002.0,94.0,95.0,94.54,95.0,83.0,87.0,85.46,86.0,743.42,8583.39,7712.39,8583.39,4.54,52.41,47.1,52.41,0.0,97.0,77.22,96.5,
NVIDIA RTX A4000,dict2,393.0,393.0,393.0,393.0,53.0,53.0,53.0,53.0,74.0,74.0,74.0,74.0,743.39,8517.36,5186.22,8517.36,4.54,52.01,31.67,52.01,0.0,97.0,42.86,66.0,
NVIDIA RTX A4000,dict3,262085.0,263097.0,262496.55,262534.0,87.0,99.0,95.55,95.0,90.0,91.0,90.18,90.0,709.59,8527.87,7483.49,8486.56,4.33,52.08,45.7,51.82,0.0,98.0,73.74,97.0,
