GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,112571.0,112779.0,112693.75,112697.0,95.0,95.0,95.0,95.0,61.0,62.0,61.62,62.0,2139.73,9936.38,8737.07,9936.38,19.0,88.21,77.57,88.21,2.0,99.0,75.31,97.0,
NVIDIA GeForce GTX 1080 Ti,dict2,77.0,107.0,91.55,89.0,59.0,70.0,67.09,69.0,50.0,55.0,52.0,51.0,2162.54,9893.18,8175.68,9893.18,19.2,87.83,72.58,87.83,3.0,93.0,55.11,91.0,
NVIDIA GeForce GTX 1080 Ti,dict3,161983.0,170247.0,164008.72,162828.0,56.0,97.0,92.17,97.0,78.0,90.0,86.72,87.0,1148.1,8876.46,7901.94,8876.46,10.19,78.8,70.15,78.8,0.0,97.0,78.91,96.0,
NVIDIA GeForce GTX 1080 Ti,dict4,171168.0,177306.0,173508.41,173002.0,84.0,97.0,95.82,97.0,79.0,91.0,86.76,88.0,1140.73,8875.65,8203.23,8875.65,10.13,78.8,72.83,78.8,0.0,100.0,84.39,97.0,
NVIDIA GeForce GTX 1080 Ti,force,5.0,5.0,5.0,5.0,68.0,69.0,68.75,69.0,51.0,51.0,51.0,51.0,1144.1,8942.9,4538.9,1284.9,10.16,79.39,40.3,11.41,0.0,97.0,34.28,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,66698.0,66765.0,66735.25,66740.5,96.0,100.0,96.75,96.0,52.0,53.0,52.75,53.0,2173.01,9972.25,4366.98,2314.25,19.29,88.53,38.77,20.55,0.0,97.0,24.84,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,174285.0,178490.0,175829.85,175466.0,85.0,86.0,85.38,85.0,83.0,87.0,85.31,85.0,327.78,7357.68,2371.34,445.68,4.0,89.82,28.95,5.44,0.0,85.0,23.41,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,246.0,248.0,247.0,247.0,65.0,65.0,65.0,65.0,61.0,62.0,61.5,61.5,338.56,7302.46,5312.91,7302.46,4.13,89.14,64.85,89.14,0.0,74.0,45.0,71.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,198538.0,209570.0,202625.24,202038.0,95.0,97.0,95.88,96.0,82.0,89.0,86.82,87.0,338.56,7302.46,6696.95,7302.46,4.13,89.14,81.75,89.14,0.0,97.0,81.26,96.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,195313.0,195313.0,195313.0,195313.0,97.0,97.0,97.0,97.0,92.0,92.0,92.0,92.0,338.56,7302.46,6394.21,7302.46,4.13,89.14,78.05,89.14,0.0,96.0,81.65,96.0,
NVIDIA GeForce RTX 2080 SUPER,force,22.0,131274.0,69337.64,72328.0,58.0,69.0,65.18,65.0,59.0,81.0,69.91,70.0,338.56,7368.46,3360.6,456.46,4.13,89.95,41.02,5.57,0.0,72.0,24.75,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,175982.0,177731.0,176727.38,176539.5,85.0,86.0,85.62,86.0,82.0,86.0,83.25,83.0,338.56,7368.46,1940.39,456.46,4.13,89.95,23.69,5.57,0.0,84.0,17.18,0.0,
NVIDIA GeForce RTX 3070,combinator,211903.0,213103.0,212386.46,212259.0,95.0,96.0,95.85,96.0,68.0,73.0,70.77,71.0,356.11,7426.07,2809.01,510.07,4.35,90.65,34.29,6.23,0.0,85.0,17.48,0.0,
NVIDIA GeForce RTX 3070,dict2,297.0,297.0,297.0,297.0,69.0,69.0,69.0,69.0,60.0,60.0,60.0,60.0,356.11,7360.07,5359.08,7360.07,4.35,89.84,65.42,89.84,0.0,94.0,45.57,75.0,
NVIDIA GeForce RTX 3070,dict3,199767.0,204012.0,201032.11,200647.5,86.0,97.0,95.56,96.0,79.0,83.0,81.67,82.0,356.11,7360.07,6446.6,7360.07,4.35,89.84,78.69,89.84,0.0,100.0,81.39,95.0,
NVIDIA GeForce RTX 3070,dict4,206702.0,207889.0,207233.56,207121.0,95.0,97.0,96.06,96.0,80.0,83.0,81.61,82.0,356.11,7360.07,6446.6,7360.07,4.35,89.84,78.69,89.84,0.0,96.0,79.39,95.0,
NVIDIA GeForce RTX 3070,force,1027.0,204833.0,116186.45,202278.5,55.0,92.0,79.59,92.0,58.0,71.0,63.91,65.0,356.11,7426.07,2959.28,510.07,4.35,90.65,36.12,6.23,0.0,95.0,25.94,0.0,
NVIDIA GeForce RTX 3070,hybrid,160752.0,162623.0,161715.62,161932.5,70.0,78.0,73.25,72.5,67.0,69.0,68.0,68.0,495.57,7565.53,2239.62,649.53,6.05,92.35,27.34,7.93,0.0,96.0,18.44,0.0,
NVIDIA GeForce RTX 3090,combinator,346643.0,348828.0,347454.08,347285.0,95.0,96.0,95.46,95.0,78.0,82.0,80.62,81.0,499.91,8430.58,7549.47,8430.58,2.03,34.3,30.72,34.3,0.0,95.0,75.72,93.0,
NVIDIA GeForce RTX 3090,dict2,255.0,256.0,255.5,255.5,68.0,74.0,71.0,71.0,73.0,74.0,73.5,73.5,497.84,8362.52,5413.43,8362.52,2.03,34.03,22.03,34.03,0.0,74.0,33.75,24.5,
NVIDIA GeForce RTX 3090,dict3,320685.0,326813.0,322743.29,322443.0,96.0,98.0,96.94,97.0,85.0,86.0,85.88,86.0,540.61,8405.34,7379.63,8405.34,2.2,34.2,30.03,34.2,0.0,97.0,72.78,96.0,
