GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,386422.0,386886.0,386558.5,386511.0,96.0,96.0,96.0,96.0,66.0,67.0,66.75,67.0,2137.39,9944.88,8382.77,9943.19,18.98,88.29,74.42,88.27,3.0,100.0,69.3,97.0,
NVIDIA GeForce GTX 1080 Ti,dict3,530672.0,543815.0,533963.5,533104.0,97.0,98.0,97.39,97.0,79.0,90.0,86.28,86.5,1133.38,8874.02,7864.99,8874.02,10.06,78.78,69.82,78.78,0.0,100.0,73.04,96.0,
NVIDIA GeForce GTX 1080 Ti,dict4,556924.0,563457.0,560023.0,560171.0,28.0,97.0,90.0,97.0,80.0,91.0,86.8,86.0,1148.16,8891.02,7923.25,8890.9,10.19,78.93,70.34,78.93,0.0,98.0,79.75,97.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,166348.0,93295.91,153173.0,66.0,96.0,84.55,89.0,49.0,53.0,50.82,51.5,1139.23,8952.9,5878.59,8952.9,10.11,79.48,52.19,79.48,0.0,99.0,51.75,79.5,
NVIDIA GeForce GTX 1080 Ti,hybrid,219577.0,219927.0,219795.5,219806.5,94.0,95.0,94.75,95.0,55.0,55.0,55.0,55.0,2172.16,9978.81,5518.59,2310.81,19.28,88.59,48.99,20.51,0.0,99.0,36.83,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,657868.0,672244.0,663885.69,663449.0,94.0,94.0,94.0,94.0,82.0,88.0,85.92,86.0,327.78,7355.68,3427.54,445.68,4.0,89.79,41.84,5.44,0.0,94.0,36.49,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,599936.0,628524.0,609937.27,607572.0,84.0,93.0,88.87,87.0,85.0,91.0,87.4,87.0,338.56,7300.46,6667.6,7300.46,4.13,89.12,81.39,89.12,1.0,94.0,78.09,86.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,622133.0,634573.0,626447.4,624317.0,93.0,94.0,93.4,93.0,86.0,91.0,88.2,87.0,338.56,7300.46,6668.01,7300.46,4.13,89.12,81.4,89.12,1.0,94.0,80.41,93.0,
NVIDIA GeForce RTX 2080 SUPER,force,2835.0,670622.0,513589.36,583692.0,58.0,95.0,79.05,71.0,60.0,87.0,78.91,81.0,338.56,7366.46,4248.17,7366.46,4.13,89.92,51.86,89.92,0.0,94.0,42.32,62.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,670683.0,679905.0,674429.0,674137.5,94.0,94.0,94.0,94.0,83.0,86.0,85.0,85.0,338.56,7366.46,2746.16,456.46,4.13,89.92,33.52,5.57,0.0,93.0,28.91,0.0,
