GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,436224.0,474199.0,456328.78,456065.0,94.0,95.0,94.56,95.0,67.0,75.0,69.78,67.0,2131.85,9938.5,7012.89,9938.5,18.93,88.23,62.26,88.23,3.0,100.0,50.62,50.0,
NVIDIA GeForce GTX 1080 Ti,dict3,508651.0,525293.0,513489.14,512055.0,37.0,97.0,89.71,97.0,84.0,91.0,87.5,87.0,1143.66,8886.46,7918.79,8886.46,10.15,78.89,70.3,78.89,0.0,98.0,75.46,96.5,
NVIDIA GeForce GTX 1080 Ti,dict4,561993.0,574249.0,566495.5,564204.0,89.0,97.0,95.88,97.0,85.0,91.0,88.0,88.5,1144.29,8885.65,8212.52,8885.65,10.16,78.89,72.91,78.89,0.0,99.0,81.61,97.0,
NVIDIA GeForce GTX 1080 Ti,force,1945.0,177925.0,141804.14,175743.0,84.0,94.0,92.5,94.0,55.0,55.0,55.0,55.0,1144.23,8953.46,8052.59,8953.46,10.16,79.49,71.49,79.49,0.0,98.0,73.81,93.5,
NVIDIA GeForce GTX 1080 Ti,hybrid,353719.0,474280.0,415273.78,408464.0,50.0,97.0,90.67,96.0,57.0,70.0,61.33,58.0,2173.01,9983.75,8305.17,9983.75,19.29,88.63,73.73,88.63,0.0,97.0,61.86,90.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,639117.0,659629.0,646126.38,645031.0,94.0,94.0,94.0,94.0,85.0,90.0,87.69,88.0,327.78,7355.68,6184.46,7355.68,4.0,89.79,75.49,89.79,0.0,93.0,74.72,93.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,581099.0,602469.0,587863.12,585537.0,85.0,94.0,89.41,88.0,83.0,91.0,87.82,88.0,338.56,7300.46,6392.47,7300.46,4.13,89.12,78.03,89.12,0.0,94.0,73.83,86.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,595164.0,608155.0,598850.14,597846.0,93.0,94.0,93.29,93.0,86.0,91.0,87.71,87.0,338.56,7300.46,6392.43,7300.46,4.13,89.12,78.03,89.12,0.0,94.0,78.22,93.0,
NVIDIA GeForce RTX 2080 SUPER,force,3014.0,658578.0,484241.7,491039.0,67.0,94.0,78.96,70.0,68.0,88.0,82.17,84.0,338.56,7366.46,6523.19,7366.46,4.13,89.92,79.63,89.92,0.0,94.0,66.64,66.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,639799.0,663143.0,648274.78,641494.0,84.0,93.0,91.56,93.0,84.0,88.0,86.56,87.0,338.56,7366.46,6285.32,7366.46,4.13,89.92,76.73,89.92,0.0,93.0,63.46,92.0,
NVIDIA GeForce RTX 3070,combinator,642256.0,644380.0,642951.77,642852.0,92.0,94.0,92.77,93.0,78.0,80.0,78.85,79.0,356.11,7424.07,6246.19,7424.07,4.35,90.63,76.25,90.63,0.0,93.0,75.5,92.0,
NVIDIA GeForce RTX 3070,dict3,572891.0,580978.0,575364.06,574741.5,54.0,94.0,83.5,92.5,78.0,80.0,79.17,79.0,356.11,7358.07,6444.86,7358.07,4.35,89.82,78.67,89.82,0.0,93.0,67.48,91.0,
NVIDIA GeForce RTX 3070,dict4,644753.0,652623.0,648137.5,648323.0,54.0,94.0,91.22,94.0,79.0,82.0,80.56,80.5,356.11,7358.07,6444.81,7358.07,4.35,89.82,78.67,89.82,0.0,93.0,74.61,92.0,
NVIDIA GeForce RTX 3070,force,2965.0,124042.0,102104.4,122297.0,65.0,77.0,71.93,73.0,68.0,69.0,68.27,68.0,356.11,7424.07,6410.49,7424.07,4.35,90.63,78.25,90.63,0.0,95.0,59.88,72.0,
NVIDIA GeForce RTX 3070,hybrid,634436.0,646436.0,640586.12,640503.5,88.0,93.0,91.88,92.0,75.0,76.0,75.75,76.0,495.57,7565.46,6478.01,7565.46,6.05,92.35,79.08,92.35,0.0,93.0,69.38,91.0,
