GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,437287.0,476288.0,457574.11,456604.0,95.0,96.0,95.67,96.0,68.0,76.0,70.67,68.0,2142.02,9946.38,8905.84,9946.38,19.02,88.3,79.06,88.3,2.0,98.0,77.6,97.0,
NVIDIA GeForce GTX 1080 Ti,dict2,471.0,471.0,471.0,471.0,39.0,39.0,39.0,39.0,53.0,53.0,53.0,53.0,2159.6,9900.25,6030.8,6032.57,19.17,87.89,53.54,53.56,3.0,93.0,44.17,42.5,
NVIDIA GeForce GTX 1080 Ti,dict3,507566.0,552444.0,531971.29,540204.0,88.0,97.0,95.71,97.0,85.0,91.0,88.29,89.0,1132.73,8874.02,7864.35,8874.02,10.06,78.78,69.82,78.78,0.0,97.0,70.43,96.0,
NVIDIA GeForce GTX 1080 Ti,dict4,578494.0,578494.0,578494.0,578494.0,97.0,97.0,97.0,97.0,91.0,91.0,91.0,91.0,1145.41,8886.21,8213.1,8886.21,10.17,78.89,72.91,78.89,0.0,98.0,84.57,97.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,163783.0,124433.47,161850.0,83.0,97.0,89.73,90.0,53.0,55.0,53.27,53.0,1146.25,8952.9,8052.21,8952.9,10.18,79.48,71.49,79.48,0.0,97.0,75.27,93.5,
NVIDIA GeForce GTX 1080 Ti,hybrid,351985.0,474608.0,411273.56,402529.0,79.0,97.0,93.78,96.0,57.0,70.0,61.33,58.0,2168.07,9980.31,8301.63,9980.31,19.25,88.6,73.7,88.6,0.0,97.0,68.71,95.5,
NVIDIA GeForce RTX 2080 SUPER,combinator,647743.0,665415.0,654429.46,653304.0,94.0,94.0,94.0,94.0,85.0,89.0,87.54,88.0,327.78,7355.68,6184.46,7355.68,4.0,89.79,75.49,89.79,0.0,94.0,74.28,93.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,590131.0,602624.0,595614.29,595164.0,85.0,93.0,87.57,86.0,85.0,91.0,88.0,87.0,338.56,7300.46,6667.6,7300.46,4.13,89.12,81.39,89.12,0.0,94.0,77.36,86.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,600258.0,627984.0,609361.11,608365.5,85.0,94.0,92.83,93.0,86.0,90.0,87.56,87.0,338.56,7300.46,6392.43,7300.46,4.13,89.12,78.03,89.12,0.0,94.0,79.96,93.0,
NVIDIA GeForce RTX 2080 SUPER,force,2967.0,662617.0,493196.92,571016.0,56.0,95.0,80.21,77.0,66.0,88.0,81.25,84.0,338.56,7366.46,6488.05,7366.46,4.13,89.92,79.2,89.92,0.0,93.0,66.92,68.5,
NVIDIA GeForce RTX 2080 SUPER,hybrid,658648.0,670841.0,663917.25,663627.5,92.0,94.0,93.25,94.0,85.0,87.0,85.88,86.0,338.56,7366.46,6285.32,7366.46,4.13,89.92,76.73,89.92,0.0,94.0,72.38,93.0,
NVIDIA GeForce RTX 3070,combinator,655909.0,659088.0,657348.62,657218.0,93.0,94.0,93.46,93.0,74.0,78.0,76.38,76.0,356.11,7424.07,6246.19,7424.07,4.35,90.63,76.25,90.63,0.0,94.0,75.11,92.0,
NVIDIA GeForce RTX 3070,dict3,575082.0,588034.0,579059.44,577570.5,56.0,94.0,84.11,92.0,75.0,79.0,77.39,77.5,356.11,7358.07,6444.86,7358.07,4.35,89.82,78.67,89.82,0.0,94.0,74.43,93.0,
NVIDIA GeForce RTX 3070,dict4,646753.0,653719.0,649963.56,650484.0,91.0,94.0,93.83,94.0,77.0,80.0,78.89,79.0,356.11,7358.07,6444.81,7358.07,4.35,89.82,78.67,89.82,0.0,93.0,72.57,91.0,
NVIDIA GeForce RTX 3070,force,3010.0,648329.0,499507.57,641220.0,71.0,94.0,85.14,92.0,65.0,76.0,71.86,73.0,356.11,7424.07,6460.35,7424.07,4.35,90.63,78.86,90.63,0.0,94.0,65.59,84.0,
NVIDIA GeForce RTX 3070,hybrid,639186.0,649878.0,644939.12,645102.0,92.0,93.0,92.12,92.0,72.0,74.0,73.38,73.5,495.57,7563.53,6476.22,7563.53,6.05,92.33,79.06,92.33,0.0,96.0,68.23,91.0,
NVIDIA GeForce RTX 3090,combinator,1060189.0,1066168.0,1062013.38,1061430.0,91.0,93.0,92.0,92.0,84.0,86.0,85.08,85.0,499.91,8428.58,7505.02,8428.58,2.03,34.3,30.54,34.3,0.0,94.0,75.67,92.0,
NVIDIA GeForce RTX 3090,dict3,921832.0,957512.0,928853.17,927601.0,49.0,96.0,80.22,90.0,83.0,86.0,84.22,84.0,540.61,8403.34,7719.69,8403.34,2.2,34.19,31.41,34.19,0.0,94.0,70.48,93.0,
NVIDIA GeForce RTX 3090,dict4,1045651.0,1063182.0,1052706.67,1053309.5,94.0,96.0,94.67,95.0,84.0,86.0,85.0,85.0,703.59,8567.7,7432.09,8567.7,2.86,34.86,30.24,34.86,0.0,98.0,76.75,94.0,
NVIDIA GeForce RTX 3090,force,2682.0,1066906.0,803676.19,1063023.0,56.0,92.0,79.76,91.0,76.0,84.0,81.14,82.0,653.96,8586.63,7592.16,8582.63,2.66,34.94,30.89,34.92,3.0,97.0,66.58,81.0,
NVIDIA GeForce RTX 3090,hybrid,1051718.0,1071433.0,1062804.75,1066709.5,45.0,92.0,86.0,92.0,80.0,83.0,82.12,82.0,559.23,8501.9,7359.27,8487.9,2.28,34.59,29.94,34.54,3.0,98.0,69.79,96.0,
NVIDIA RTX A4000,combinator,580602.0,585150.0,582831.62,582860.0,94.0,95.0,94.92,95.0,84.0,87.0,85.69,86.0,743.42,8595.39,7723.06,8595.39,4.54,52.49,47.16,52.49,0.0,97.0,78.11,96.0,
NVIDIA RTX A4000,dict3,503988.0,518299.0,509475.39,508310.0,50.0,94.0,79.33,93.5,88.0,90.0,88.83,89.0,707.02,8493.62,7815.47,8492.06,4.32,51.87,47.73,51.86,0.0,98.0,77.57,96.0,
NVIDIA RTX A4000,dict4,543643.0,557380.0,547697.93,544223.0,93.0,95.0,93.93,94.0,89.0,91.0,89.87,90.0,847.11,8633.07,7812.29,8633.07,5.17,52.72,47.71,52.72,0.0,97.0,81.65,96.0,
NVIDIA RTX A4000,force,2656.0,603798.0,485668.62,576043.0,61.0,95.0,89.0,94.0,80.0,88.0,85.0,85.0,726.22,8578.19,7705.86,8578.19,4.43,52.38,47.06,52.38,0.0,97.0,64.67,86.5,
NVIDIA RTX A4000,hybrid,572598.0,582846.0,577277.33,579475.0,93.0,94.0,93.22,93.0,82.0,85.0,84.0,84.0,1487.27,9339.23,7641.81,9339.23,9.08,57.03,46.66,57.03,0.0,98.0,70.07,95.5,
Radeon RX Vega,combinator,198049.0,233776.0,223754.75,227516.0,16.0,96.0,66.92,72.5,75.0,76.0,75.25,75.0,5582.83,6893.94,6684.82,6891.01,34.2,42.3,40.95,42.2,0,0,0,0,
Radeon RX Vega,dict2,146.0,156.0,152.0,153.0,0.0,86.0,52.0,61.0,74.0,74.0,74.0,74.0,4562.96,5864.89,5423.36,5696.91,28.0,36.0,33.23,34.9,0,0,0,0,
Radeon RX Vega,dict3,223633.0,240795.0,236425.71,238561.0,0.0,97.0,72.94,95.0,76.0,77.0,76.24,76.0,7838.17,9542.23,9103.42,9265.96,48.0,58.5,55.81,56.8,0,0,0,0,
Radeon RX Vega,dict4,228718.0,245631.0,240518.47,242596.0,14.0,97.0,79.71,95.0,76.0,77.0,76.65,77.0,7765.63,9112.3,8898.73,9054.49,47.6,55.9,54.54,55.5,0,0,0,0,
Radeon RX Vega,force,15.0,62335.0,36967.86,61062.0,11.0,92.0,68.71,87.0,74.0,75.0,74.57,75.0,,,,,,,,,,,,,
Radeon RX Vega,hybrid,197217.0,225201.0,216546.62,219961.0,14.0,96.0,71.0,84.0,73.0,74.0,73.62,74.0,8792.56,10411.7,10061.67,10409.34,53.9,63.8,61.67,63.8,0,0,0,0,
