GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,67823.0,70846.0,69485.56,69428.0,88.0,97.0,96.0,97.0,70.0,74.0,71.0,70.0,2256.66,8300.94,7626.55,8297.62,20.03,73.69,67.71,73.66,1.0,100.0,81.56,97.0,
NVIDIA GeForce GTX 1080 Ti,dict2,53.0,61.0,56.53,56.0,65.0,83.0,75.94,76.0,58.0,60.0,58.35,58.0,1666.91,7648.33,6983.75,7648.33,14.8,67.9,62.0,67.9,0.0,75.0,56.89,71.0,
NVIDIA GeForce GTX 1080 Ti,dict4,78103.0,81692.0,79071.67,78758.0,96.0,97.0,96.94,97.0,82.0,85.0,83.61,84.0,1143.79,7130.46,6349.89,7130.46,10.15,63.3,56.37,63.3,0.0,97.0,81.7,97.0,
NVIDIA GeForce GTX 1080 Ti,force,5.0,6.0,5.44,5.0,74.0,85.0,77.89,76.0,55.0,57.0,55.67,55.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,61763.0,71012.0,66901.33,71012.0,97.0,98.0,97.78,98.0,57.0,72.0,62.67,59.0,1146.75,7197.4,6266.3,7196.84,10.18,63.9,55.63,63.89,0.0,97.0,67.38,97.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,84030.0,87196.0,85010.31,84728.0,85.0,87.0,85.23,85.0,86.0,88.0,86.62,86.0,327.78,6357.68,5357.46,6357.68,4.0,77.61,65.4,77.61,0.0,73.0,56.83,71.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,87.0,88.0,87.11,87.0,56.0,58.0,57.56,58.0,60.0,60.0,60.0,60.0,338.56,6302.46,5024.62,6302.46,4.13,76.93,61.34,76.93,0.0,59.0,45.79,58.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,97259.0,101318.0,98966.5,98650.5,91.0,92.0,91.17,91.0,85.0,89.0,86.72,86.5,338.56,6302.46,5524.99,6302.46,4.13,76.93,67.44,76.93,0.0,92.0,77.57,92.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,92346.0,97299.0,94239.61,93718.0,91.0,92.0,91.94,92.0,86.0,88.0,87.28,87.0,338.56,6302.46,5524.64,6302.46,4.13,76.93,67.44,76.93,0.0,92.0,77.57,92.0,
NVIDIA GeForce RTX 2080 SUPER,force,8.0,7084.0,3455.26,319.0,58.0,67.0,61.0,62.0,63.0,65.0,64.26,64.0,338.56,6368.46,5507.14,6368.46,4.13,77.74,67.23,77.74,0.0,60.0,42.67,44.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,75237.0,77236.0,75925.11,75617.0,71.0,75.0,73.56,74.0,84.0,85.0,84.89,85.0,338.56,6368.46,5440.86,6368.46,4.13,77.74,66.42,77.74,0.0,84.0,64.62,83.0,
NVIDIA GeForce RTX 3070,combinator,93104.0,93730.0,93369.92,93392.0,91.0,92.0,91.54,92.0,79.0,83.0,81.0,81.0,356.11,6380.07,5376.19,6380.07,4.35,77.88,65.63,77.88,0.0,85.0,63.28,81.0,
NVIDIA GeForce RTX 3070,dict2,101.0,102.0,101.25,101.0,68.0,74.0,69.62,69.0,59.0,59.0,59.0,59.0,356.11,6314.07,4825.49,6314.07,4.35,77.08,58.9,77.08,0.0,76.0,54.17,75.0,
NVIDIA GeForce RTX 3070,dict3,100437.0,101181.0,100791.44,100644.0,96.0,96.0,96.0,96.0,76.0,82.0,79.39,79.5,356.11,6314.07,5537.03,6314.07,4.35,77.08,67.59,77.08,0.0,93.0,75.26,91.0,
