GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,2619288040.0,2758293551.0,2690759538.78,2693744465.0,95.0,95.0,95.0,95.0,62.0,65.0,62.89,62.0,1557.16,4583.81,4049.8,4583.81,13.82,40.69,35.95,40.69,0.0,95.0,68.18,93.0,
NVIDIA GeForce GTX 1080 Ti,dict4,276846753.0,276846753.0,276846753.0,276846753.0,47.0,47.0,47.0,47.0,66.0,66.0,66.0,66.0,1145.16,2230.46,1868.8,2230.46,10.17,19.8,16.59,19.8,0.0,47.0,23.5,23.5,
NVIDIA GeForce GTX 1080 Ti,force,0.0,998570435.0,769146475.79,955683665.5,59.0,96.0,88.5,92.5,55.0,65.0,56.57,55.5,1149.44,4176.09,2456.93,1288.09,10.2,37.07,21.81,11.44,0.0,97.0,38.92,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,774299996.0,1427688340.0,1258566682.4,1411473174.5,19.0,96.0,74.6,94.5,52.0,55.0,53.7,54.0,1140.91,4168.27,2540.68,1280.27,10.13,37.01,22.56,11.37,0.0,95.0,21.61,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,3555929503.0,3768378457.0,3624304098.78,3610174016.0,63.0,71.0,67.67,70.0,77.0,82.0,79.67,80.0,327.78,3333.68,2120.56,3333.68,4.0,40.69,25.89,40.69,0.0,64.0,34.08,46.5,
NVIDIA GeForce RTX 2080 SUPER,dict4,216073646.0,218485212.0,217279429.0,217279429.0,26.0,28.0,27.0,27.0,64.0,64.0,64.0,64.0,338.56,2070.46,1422.24,2070.46,4.13,25.27,17.36,25.27,0.0,33.0,14.12,15.5,
NVIDIA GeForce RTX 2080 SUPER,force,436037383.0,9517631213.0,6488595444.0,7640956437.0,66.0,93.0,79.86,80.0,74.0,86.0,80.29,78.0,338.56,3344.46,1880.89,1900.46,4.13,40.83,22.96,23.2,0.0,72.0,33.25,36.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,2119720569.0,4301968517.0,3564918400.07,3746655996.5,33.0,66.0,57.5,62.0,68.0,79.0,75.14,76.0,338.56,3344.46,1653.95,456.46,4.13,40.83,20.19,5.57,0.0,61.0,15.53,0.0,
NVIDIA GeForce RTX 3070,combinator,2885518177.0,4056573980.0,3324125492.0,3299579230.5,44.0,69.0,52.6,49.5,68.0,71.0,69.2,69.0,356.11,3378.07,1993.07,3378.07,4.35,41.24,24.33,41.24,0.0,73.0,27.22,0.0,
NVIDIA GeForce RTX 3070,dict4,137673089.0,144798753.0,141959071.4,143199812.0,14.0,27.0,19.2,15.0,58.0,60.0,59.0,59.0,356.11,2058.07,1547.68,2058.07,4.35,25.12,18.89,25.12,0.0,28.0,10.2,12.0,
NVIDIA GeForce RTX 3070,force,202967463.0,9348663479.0,5419662679.0,8273384927.0,88.0,96.0,94.14,95.0,71.0,73.0,72.14,72.0,356.11,3378.07,1798.38,510.07,4.35,41.24,21.95,6.23,0.0,95.0,29.69,0.0,
NVIDIA GeForce RTX 3070,hybrid,2111888658.0,7237331124.0,4698155485.0,4721701079.0,15.0,90.0,50.75,49.0,62.0,68.0,65.0,65.0,432.34,3453.32,1274.94,585.63,5.28,42.15,15.56,7.15,0.0,53.0,5.06,0.0,
NVIDIA GeForce RTX 3090,combinator,3920547015.0,4265285880.0,4083457250.62,4063074421.0,38.0,69.0,55.62,57.0,75.0,77.0,76.12,76.0,498.06,3620.73,1749.53,508.73,2.03,14.73,7.12,2.07,0.0,74.0,14.8,0.0,
NVIDIA GeForce RTX 3090,dict4,155044027.0,160941850.0,158154379.5,158315820.5,10.0,17.0,12.75,12.0,70.0,72.0,71.25,71.5,541.8,3555.97,2886.47,3555.97,2.2,14.47,11.75,14.47,0.0,22.0,9.33,10.0,
NVIDIA GeForce RTX 3090,force,1082262795.0,15928865703.0,10994049488.83,14364025856.5,77.0,95.0,91.33,94.0,79.0,81.0,80.5,81.0,725.0,3846.34,2110.72,980.34,2.95,15.65,8.59,3.99,0.0,95.0,25.0,0.0,
NVIDIA GeForce RTX 3090,hybrid,1556995731.0,6940915084.0,5933411986.77,6580500641.0,17.0,70.0,61.15,68.0,72.0,81.0,78.85,80.0,507.49,3630.16,2589.57,3630.16,2.06,14.77,10.54,14.77,3.0,71.0,19.89,6.0,
NVIDIA RTX A4000,combinator,6006960674.0,6006960674.0,6006960674.0,6006960674.0,86.0,86.0,86.0,86.0,79.0,79.0,79.0,79.0,1011.36,4061.32,2872.56,4059.73,6.18,24.8,17.54,24.79,7.0,66.0,39.15,51.0,
NVIDIA RTX A4000,dict4,137350125.0,142785490.0,140529434.6,141309171.0,15.0,23.0,17.6,16.0,68.0,69.0,68.6,69.0,737.21,2524.68,2075.12,2520.43,4.5,15.42,12.67,15.39,0.0,22.0,9.75,11.5,
NVIDIA RTX A4000,force,474216298.0,8164494568.0,5678570374.5,7100562066.0,79.0,96.0,91.5,93.5,79.0,82.0,80.67,80.5,702.66,3752.63,2160.48,864.63,4.29,22.92,13.19,5.28,0.0,97.0,32.31,4.0,
NVIDIA RTX A4000,hybrid,10682021.0,6632093394.0,3287526794.33,2431672393.0,2.0,91.0,45.0,29.5,72.0,78.0,75.67,75.5,915.64,3969.36,2076.48,1077.61,5.59,24.24,12.68,6.58,0.0,99.0,18.0,1.0,
Radeon RX Vega,combinator,277557103.0,278688223.0,278085854.38,277974023.0,16.0,44.0,40.08,42.0,57.0,58.0,57.85,58.0,8969.21,10334.28,9972.63,10306.97,55.0,63.4,61.15,63.2,0,0,0,0,
Radeon RX Vega,dict3,27945070.0,28200511.0,28089423.67,28122690.0,0.0,29.0,9.67,0.0,71.0,71.0,71.0,71.0,4731.2,6113.64,5644.56,6096.32,29.0,37.5,34.58,37.35,0,0,0,0,
Radeon RX Vega,dict4,120473461.0,124791041.0,121462929.56,121166470.0,0.0,55.0,26.67,20.0,72.0,72.0,72.0,72.0,6936.38,8276.34,8013.84,8265.61,42.5,50.7,49.11,50.7,0,0,0,0,
Radeon RX Vega,force,308085033.0,1387628564.0,1294789675.0,1382245505.0,4.0,95.0,58.31,56.5,71.0,72.0,71.5,71.5,7572.95,9212.61,8776.4,9199.59,46.4,56.5,53.8,56.4,0,0,0,0,
Radeon RX Vega,hybrid,244757449.0,263775042.0,247341685.27,245792930.0,27.0,58.0,50.73,55.0,58.0,60.0,59.09,59.0,8265.81,9891.28,9488.44,9868.87,50.7,60.6,58.17,60.5,0,0,0,0,
