GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,409994.0,429841.0,419549.5,418558.0,95.0,99.0,97.5,98.0,76.0,91.0,82.5,80.0,1534.33,6305.62,5775.52,6305.62,13.62,55.98,51.27,55.98,0.0,98.0,81.28,97.0,
NVIDIA GeForce GTX 1080 Ti,dict2,180.0,180.0,180.0,180.0,61.0,62.0,61.75,62.0,60.0,60.0,60.0,60.0,1663.59,6373.39,4603.26,6362.3,14.77,56.58,40.87,56.48,0.0,97.0,45.0,44.0,
NVIDIA GeForce GTX 1080 Ti,dict3,375051.0,396365.0,381576.17,378834.0,98.0,98.0,98.0,98.0,80.0,89.0,85.06,86.0,1706.11,6435.82,5833.28,6417.26,15.15,57.14,51.79,56.97,5.0,99.0,78.46,98.0,
NVIDIA GeForce GTX 1080 Ti,force,9.0,140080.0,58702.5,13306.0,68.0,83.0,74.93,71.0,53.0,57.0,54.33,53.0,1147.23,5920.09,4621.8,5920.09,10.18,52.56,41.03,52.56,0.0,99.0,61.17,86.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,195652.0,195904.0,195750.25,195728.5,95.0,96.0,95.88,96.0,59.0,59.0,59.0,59.0,1146.06,5916.71,3818.55,5916.71,10.17,52.53,33.9,52.53,0.0,98.0,48.85,48.5,
NVIDIA GeForce RTX 2080 SUPER,combinator,492447.0,513407.0,500564.92,498644.0,98.0,98.0,98.0,98.0,86.0,88.0,86.77,87.0,327.78,5077.68,3177.54,5077.68,4.0,61.98,38.79,61.98,0.0,68.0,38.56,66.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,471516.0,498060.0,478484.44,477381.5,85.0,95.0,92.17,94.0,84.0,88.0,86.72,87.0,338.56,5022.46,4411.6,5022.46,4.13,61.31,53.85,61.31,0.0,95.0,79.61,95.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,452938.0,472095.0,459452.33,457679.5,95.0,95.0,95.0,95.0,87.0,88.0,87.39,87.0,338.56,5022.46,4412.12,5022.46,4.13,61.31,53.86,61.31,0.0,95.0,80.26,95.0,
NVIDIA GeForce RTX 2080 SUPER,force,1899.0,315083.0,216899.19,301491.0,59.0,80.0,65.69,64.0,63.0,83.0,75.75,80.0,338.56,5088.46,3792.02,5088.46,4.13,62.12,46.29,62.12,0.0,95.0,53.86,66.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,491662.0,503246.0,496014.12,495314.0,95.0,95.0,95.0,95.0,85.0,88.0,86.38,86.5,338.56,5088.46,2972.33,5088.46,4.13,62.12,36.28,62.12,0.0,67.0,33.64,45.0,
NVIDIA GeForce RTX 3070,combinator,483552.0,487405.0,485479.08,485398.0,94.0,96.0,95.0,95.0,78.0,83.0,80.54,81.0,356.11,5110.07,3329.38,5110.07,4.35,62.38,40.64,62.38,0.0,81.0,43.62,77.0,
NVIDIA GeForce RTX 3070,dict3,460409.0,470698.0,463049.89,462130.0,94.0,95.0,94.83,95.0,77.0,82.0,79.83,80.0,356.11,5044.07,4432.68,5044.07,4.35,61.57,54.11,61.57,0.0,96.0,75.39,94.0,
NVIDIA GeForce RTX 3070,dict4,481811.0,483991.0,482797.83,482703.5,94.0,96.0,95.06,95.0,77.0,81.0,79.61,80.0,356.11,5044.07,4617.94,5044.07,4.35,61.57,56.37,61.57,0.0,95.0,81.59,94.0,
NVIDIA GeForce RTX 3070,force,2051.0,487937.0,355938.24,378675.0,68.0,95.0,84.8,83.0,62.0,77.0,70.68,70.0,356.11,5110.07,3743.6,5110.07,4.35,62.38,45.7,62.38,0.0,99.0,58.15,70.5,
